Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),Prosent av arbeidsstyrken i fjor,År,Måned
August 2015,,,,,,2015,august
I alt,84702.0,3.1,5775.0,7.0,2.9,2015,august
Østfold,5165.0,3.6,-205.0,-4.0,3.8,2015,august
Akershus,8436.0,2.7,260.0,3.0,2.7,2015,august
Oslo,13147.0,3.6,-139.0,-1.0,3.7,2015,august
Hedmark,2516.0,2.6,-386.0,-13.0,3.0,2015,august
Oppland,2029.0,2.1,-166.0,-8.0,2.3,2015,august
Buskerud,4304.0,3.0,18.0,0.0,3.0,2015,august
Vestfold,3783.0,3.0,-293.0,-7.0,3.3,2015,august
Telemark,3048.0,3.5,-183.0,-6.0,3.7,2015,august
Aust-Agder,2417.0,4.2,369.0,18.0,3.6,2015,august
Vest-Agder,3427.0,3.7,545.0,19.0,3.1,2015,august
Rogaland,9291.0,3.6,3649.0,65.0,2.2,2015,august
Hordaland,8107.0,2.9,1388.0,21.0,2.5,2015,august
Sogn og Fjordane,1156.0,2.0,24.0,2.0,2.0,2015,august
Møre og Romsdal,3999.0,2.9,758.0,23.0,2.4,2015,august
Sør-Trøndelag,4651.0,2.8,248.0,6.0,2.7,2015,august
Nord-Trøndelag,2116.0,3.1,122.0,6.0,2.9,2015,august
Nordland,3487.0,2.8,-185.0,-5.0,3.0,2015,august
Troms,2100.0,2.4,34.0,2.0,2.4,2015,august
Finnmark,1450.0,3.7,-23.0,-2.0,3.8,2015,august
Øvrige områder,7.0,,,,,2015,august
Ukjent,66.0,,-64.0,-49.0,,2015,august
