Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),Prosent av arbeidsstyrken i fjor,År,Måned
Mai 2017,,,,,,2017,mai
I alt,70927.0,2.6,-9415.0,-12.0,2.9,2017,mai
Østfold,3928.0,2.7,-560.0,-12.0,3.1,2017,mai
Akershus,6370.0,2.0,-961.0,-13.0,2.3,2017,mai
Oslo,9971.0,2.6,-1698.0,-15.0,3.1,2017,mai
Hedmark,1910.0,1.9,-201.0,-10.0,2.1,2017,mai
Oppland,1459.0,1.5,-333.0,-19.0,1.8,2017,mai
Buskerud,3556.0,2.4,-250.0,-7.0,2.6,2017,mai
Vestfold,3676.0,2.9,-66.0,-2.0,3.0,2017,mai
Telemark,2373.0,2.8,-439.0,-16.0,3.2,2017,mai
Aust-Agder,1664.0,2.9,-442.0,-21.0,3.6,2017,mai
Vest-Agder,2760.0,3.0,-666.0,-19.0,3.6,2017,mai
Rogaland,9847.0,3.9,-1252.0,-11.0,4.3,2017,mai
Hordaland,8188.0,2.9,-802.0,-9.0,3.2,2017,mai
Sogn og Fjordane,855.0,1.4,-127.0,-13.0,1.7,2017,mai
Møre og Romsdal,3723.0,2.6,-540.0,-13.0,3.0,2017,mai
Sør-Trøndelag,3772.0,2.2,-284.0,-7.0,2.4,2017,mai
Nord-Trøndelag,1454.0,2.1,-98.0,-6.0,2.2,2017,mai
Nordland,2568.0,2.1,-477.0,-16.0,2.4,2017,mai
Troms,1633.0,1.8,-121.0,-7.0,2.0,2017,mai
Finnmark,1211.0,3.0,-87.0,-7.0,3.2,2017,mai
Øvrige områder,8.0,,-6.0,-43.0,,2017,mai
Ukjent,,,,,,2017,mai
