Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),År,Måned
September 2013,,,,,2013,september
I alt,69564.0,2.6,6504.0,10.0,2013,september
Østfold,4906.0,3.5,266.0,6.0,2013,september
Akershus,7143.0,2.4,855.0,14.0,2013,september
Oslo,12175.0,3.4,1082.0,10.0,2013,september
Hedmark,2590.0,2.7,188.0,8.0,2013,september
Oppland,2138.0,2.2,204.0,11.0,2013,september
Buskerud,3675.0,2.6,522.0,17.0,2013,september
Vestfold,3697.0,3.0,105.0,3.0,2013,september
Telemark,2683.0,3.1,-78.0,-3.0,2013,september
Aust-Agder,1869.0,3.3,281.0,18.0,2013,september
Vest-Agder,2450.0,2.7,-65.0,-3.0,2013,september
Rogaland,4777.0,1.9,664.0,16.0,2013,september
Hordaland,5728.0,2.1,637.0,13.0,2013,september
Sogn og Fjordane,1040.0,1.8,134.0,15.0,2013,september
Møre og Romsdal,2784.0,2.0,383.0,16.0,2013,september
Sør-Trøndelag,3585.0,2.2,209.0,6.0,2013,september
Nord-Trøndelag,1492.0,2.2,127.0,9.0,2013,september
Nordland,3562.0,2.9,532.0,18.0,2013,september
Troms,1825.0,2.2,155.0,9.0,2013,september
Finnmark,1315.0,3.4,187.0,17.0,2013,september
Øvrige områder,8.0,,5.0,167.0,2013,september
Ukjent,122.0,,111.0,1009.0,2013,september
