Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),År,Måned
Desember 2012,,,,,2012,desember
I alt,62569.0,2.4,-1086.0,-2.0,2012,desember
Østfold,4502.0,3.2,120.0,3.0,2012,desember
Akershus,6179.0,2.1,114.0,2.0,2012,desember
Oslo,10544.0,3.1,417.0,4.0,2012,desember
Hedmark,2400.0,2.5,3.0,0.0,2012,desember
Oppland,2060.0,2.1,-78.0,-4.0,2012,desember
Buskerud,3105.0,2.2,-338.0,-10.0,2012,desember
Vestfold,3391.0,2.8,-113.0,-3.0,2012,desember
Telemark,2863.0,3.3,33.0,1.0,2012,desember
Aust-Agder,1641.0,2.9,-99.0,-6.0,2012,desember
Vest-Agder,2526.0,2.8,148.0,6.0,2012,desember
Rogaland,4060.0,1.7,-315.0,-7.0,2012,desember
Hordaland,4967.0,1.9,-712.0,-13.0,2012,desember
Sogn og Fjordane,971.0,1.7,-20.0,-2.0,2012,desember
Møre og Romsdal,2544.0,1.9,-139.0,-5.0,2012,desember
Sør-Trøndelag,3344.0,2.1,43.0,1.0,2012,desember
Nord-Trøndelag,1441.0,2.2,-63.0,-4.0,2012,desember
Nordland,3081.0,2.6,-122.0,-4.0,2012,desember
Troms,1734.0,2.1,-12.0,-1.0,2012,desember
Finnmark,1201.0,3.1,50.0,4.0,2012,desember
Øvrige områder,4.0,,0.0,0.0,2012,desember
Ukjent,11.0,,-3.0,-21.0,2012,desember
"1) NAV har endret variabelen for fordeling på fylke. Finn lenke til mer informasjon om dette i ""Om tabellene""",,,,,2012,desember
