Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),Prosent av arbeidsstyrken i fjor,År,Måned
April 2017,,,,,,2017,april
I alt,78212.0,2.8,-7259.0,-8.0,3.1,2017,april
Østfold,4405.0,3.1,-274.0,-6.0,3.3,2017,april
Akershus,6973.0,2.2,-780.0,-10.0,2.5,2017,april
Oslo,10708.0,2.9,-1663.0,-13.0,3.3,2017,april
Hedmark,2065.0,2.1,-293.0,-12.0,2.4,2017,april
Oppland,1756.0,1.8,-263.0,-13.0,2.1,2017,april
Buskerud,3804.0,2.6,-331.0,-8.0,2.8,2017,april
Vestfold,4039.0,3.2,176.0,5.0,3.1,2017,april
Telemark,2641.0,3.0,-331.0,-11.0,3.4,2017,april
Aust-Agder,1833.0,3.2,-339.0,-16.0,3.8,2017,april
Vest-Agder,3153.0,3.3,-399.0,-11.0,3.7,2017,april
Rogaland,10865.0,4.2,-898.0,-8.0,4.5,2017,april
Hordaland,9152.0,3.3,-258.0,-3.0,3.4,2017,april
Sogn og Fjordane,1007.0,1.7,-197.0,-16.0,2.1,2017,april
Møre og Romsdal,4273.0,3.0,-337.0,-7.0,3.3,2017,april
Sør-Trøndelag,3974.0,2.4,-471.0,-11.0,2.6,2017,april
Nord-Trøndelag,1546.0,2.2,-162.0,-9.0,2.4,2017,april
Nordland,2833.0,2.3,-384.0,-12.0,2.6,2017,april
Troms,1765.0,2.0,-124.0,-7.0,2.2,2017,april
Finnmark,1413.0,3.5,83.0,6.0,3.3,2017,april
Øvrige områder,7.0,,-5.0,-42.0,,2017,april
Ukjent,,,,,,2017,april
