Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),År,Måned
Mars 2013,,,,,2013,mars
I alt,69969.0,2.7,2300.0,3.0,2013,mars
Østfold,5053.0,3.6,371.0,8.0,2013,mars
Akershus,6834.0,2.3,182.0,3.0,2013,mars
Oslo,11809.0,3.4,894.0,8.0,2013,mars
Hedmark,2768.0,2.9,181.0,7.0,2013,mars
Oppland,2341.0,2.4,81.0,4.0,2013,mars
Buskerud,3668.0,2.6,128.0,4.0,2013,mars
Vestfold,3686.0,3.0,-77.0,-2.0,2013,mars
Telemark,2886.0,3.3,-197.0,-6.0,2013,mars
Aust-Agder,1900.0,3.4,153.0,9.0,2013,mars
Vest-Agder,2724.0,3.0,152.0,6.0,2013,mars
Rogaland,4380.0,1.8,-166.0,-4.0,2013,mars
Hordaland,5545.0,2.1,-49.0,-1.0,2013,mars
Sogn og Fjordane,1170.0,2.1,75.0,7.0,2013,mars
Møre og Romsdal,2851.0,2.1,191.0,7.0,2013,mars
Sør-Trøndelag,3778.0,2.4,99.0,3.0,2013,mars
Nord-Trøndelag,1707.0,2.6,-58.0,-3.0,2013,mars
Nordland,3565.0,3.0,132.0,4.0,2013,mars
Troms,1975.0,2.4,36.0,2.0,2013,mars
Finnmark,1314.0,3.4,180.0,16.0,2013,mars
Øvrige områder,3.0,,-1.0,-25.0,2013,mars
Ukjent,12.0,,-7.0,-37.0,2013,mars
1) NAV har endret variabelen for fordeling på fylke. Finn lenke til mer informasjon om dette i 'Om tabellene'.,,,,,2013,mars
