Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),Prosent av arbeidsstyrken i fjor,År,Måned
Mai 2015,,,,,,2015,mai
I alt,74994.0,2.7,2499.0,3.0,2.7,2015,mai
Østfold,4846.0,3.4,-482.0,-9.0,3.7,2015,mai
Akershus,7585.0,2.4,259.0,4.0,2.4,2015,mai
Oslo,12229.0,3.3,-414.0,-3.0,3.5,2015,mai
Hedmark,2374.0,2.4,-323.0,-12.0,2.8,2015,mai
Oppland,1911.0,2.0,-225.0,-11.0,2.2,2015,mai
Buskerud,3984.0,2.7,-92.0,-2.0,2.8,2015,mai
Vestfold,3448.0,2.8,-243.0,-7.0,3.0,2015,mai
Telemark,2848.0,3.3,-51.0,-2.0,3.3,2015,mai
Aust-Agder,1887.0,3.3,-4.0,0.0,3.3,2015,mai
Vest-Agder,2895.0,3.1,406.0,16.0,2.7,2015,mai
Rogaland,7635.0,3.0,2515.0,49.0,2.0,2015,mai
Hordaland,7054.0,2.6,1140.0,19.0,2.2,2015,mai
Sogn og Fjordane,1070.0,1.9,-6.0,-1.0,1.9,2015,mai
Møre og Romsdal,3205.0,2.3,324.0,11.0,2.1,2015,mai
Sør-Trøndelag,4089.0,2.5,141.0,4.0,2.4,2015,mai
Nord-Trøndelag,1711.0,2.5,-49.0,-3.0,2.6,2015,mai
Nordland,3075.0,2.5,-262.0,-8.0,2.7,2015,mai
Troms,1771.0,2.1,-90.0,-5.0,2.2,2015,mai
Finnmark,1273.0,3.2,-33.0,-3.0,3.3,2015,mai
Øvrige områder,12.0,,,,,2015,mai
Ukjent,92.0,,-21.0,-19.0,,2015,mai
