Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),År,Måned
April 2013,,,,,2013,april
I alt,68655.0,2.6,1899.0,3.0,2013,april
Østfold,4795.0,3.4,-77.0,-2.0,2013,april
Akershus,6815.0,2.3,259.0,4.0,2013,april
Oslo,11792.0,3.3,1014.0,9.0,2013,april
Hedmark,2781.0,2.9,100.0,4.0,2013,april
Oppland,2253.0,2.3,22.0,1.0,2013,april
Buskerud,3685.0,2.6,142.0,4.0,2013,april
Vestfold,3627.0,3.0,35.0,1.0,2013,april
Telemark,2824.0,3.2,-71.0,-2.0,2013,april
Aust-Agder,1802.0,3.2,152.0,9.0,2013,april
Vest-Agder,2480.0,2.7,89.0,4.0,2013,april
Rogaland,4283.0,1.7,-95.0,-2.0,2013,april
Hordaland,5392.0,2.0,-94.0,-2.0,2013,april
Sogn og Fjordane,1135.0,2.0,19.0,2.0,2013,april
Møre og Romsdal,2731.0,2.0,17.0,1.0,2013,april
Sør-Trøndelag,3718.0,2.3,83.0,2.0,2013,april
Nord-Trøndelag,1570.0,2.3,-108.0,-6.0,2013,april
Nordland,3499.0,2.9,118.0,3.0,2013,april
Troms,2018.0,2.4,69.0,4.0,2013,april
Finnmark,1440.0,3.7,226.0,19.0,2013,april
Øvrige områder,3.0,,0.0,0.0,2013,april
Ukjent,12.0,,-1.0,-8.0,2013,april
"1) NAV har endret variabelen for fordeling på fylke. Finn lenke til mer informasjon om dette i ""Om tabellene""",,,,,2013,april
