Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),Prosent av arbeidsstyrken i fjor,År,Måned
September 2022,,,,,,2022,september
I alt,46011.0,1.6,-21613.0,-32.0,2.4,2022,september
Oslo,7845.0,2.0,-4397.0,-36.0,3.2,2022,september
Rogaland,3857.0,1.5,-2209.0,-36.0,2.4,2022,september
Møre og Romsdal,1991.0,1.4,-833.0,-29.0,2.1,2022,september
Nordland - Nordlánnda,1412.0,1.2,-736.0,-34.0,1.8,2022,september
Viken,11871.0,1.8,-5655.0,-32.0,2.8,2022,september
Innlandet,2580.0,1.4,-721.0,-22.0,1.8,2022,september
Vestfold og Telemark,4264.0,2.0,-1359.0,-24.0,2.8,2022,september
Agder,2530.0,1.6,-892.0,-26.0,2.3,2022,september
Vestland,5055.0,1.5,-2662.0,-34.0,2.3,2022,september
Trøndelag - Trööndelage,2972.0,1.2,-1477.0,-33.0,1.9,2022,september
Troms og Finnmark - Romsa ja Finnmárku,1614.0,1.3,-637.0,-28.0,1.8,2022,september
Øvrige områder,9.0,,-22.0,-71.0,,2022,september
Ukjent,11.0,,-13.0,-54.0,,2022,september
