Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),Prosent av arbeidsstyrken i fjor,År,Måned
Mars 2015,,,,,,2015,mars
I alt,81011.0,3.0,4086.0,5.0,2.9,2015,mars
Østfold,5214.0,3.7,-389.0,-7.0,3.9,2015,mars
Akershus,8292.0,2.7,424.0,5.0,2.6,2015,mars
Oslo,13127.0,3.7,-74.0,-1.0,3.7,2015,mars
Hedmark,2656.0,2.7,-373.0,-12.0,3.1,2015,mars
Oppland,2296.0,2.4,-45.0,-2.0,2.4,2015,mars
Buskerud,4285.0,3.0,146.0,4.0,2.9,2015,mars
Vestfold,3919.0,3.2,-140.0,-3.0,3.3,2015,mars
Telemark,3264.0,3.8,252.0,8.0,3.5,2015,mars
Aust-Agder,2150.0,3.7,66.0,3.0,3.6,2015,mars
Vest-Agder,3102.0,3.4,425.0,16.0,2.9,2015,mars
Rogaland,7674.0,3.0,2280.0,42.0,2.1,2015,mars
Hordaland,7214.0,2.7,1052.0,17.0,2.3,2015,mars
Sogn og Fjordane,1246.0,2.2,-47.0,-4.0,2.3,2015,mars
Møre og Romsdal,3398.0,2.5,368.0,12.0,2.2,2015,mars
Sør-Trøndelag,4423.0,2.7,191.0,5.0,2.6,2015,mars
Nord-Trøndelag,1978.0,2.9,60.0,3.0,2.8,2015,mars
Nordland,3344.0,2.7,-90.0,-3.0,2.8,2015,mars
Troms,1890.0,2.2,-74.0,-4.0,2.3,2015,mars
Finnmark,1364.0,3.5,2.0,0.0,3.5,2015,mars
Øvrige områder,21.0,,10.0,91.0,,2015,mars
Ukjent,154.0,,42.0,38.0,,2015,mars
