Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),År,Måned
Juli 2013,,,,,2013,juli
I alt,74620.0,2.8,2882.0,4.0,2013,juli
Østfold,5352.0,3.8,153.0,3.0,2013,juli
Akershus,7463.0,2.5,315.0,4.0,2013,juli
Oslo,12963.0,3.7,850.0,7.0,2013,juli
Hedmark,2933.0,3.0,185.0,7.0,2013,juli
Oppland,2299.0,2.4,87.0,4.0,2013,juli
Buskerud,3989.0,2.8,340.0,9.0,2013,juli
Vestfold,3888.0,3.2,-4.0,0.0,2013,juli
Telemark,2893.0,3.3,-193.0,-6.0,2013,juli
Aust-Agder,1909.0,3.4,68.0,4.0,2013,juli
Vest-Agder,2666.0,2.9,64.0,2.0,2013,juli
Rogaland,4823.0,2.0,247.0,5.0,2013,juli
Hordaland,6091.0,2.3,94.0,2.0,2013,juli
Sogn og Fjordane,1127.0,2.0,23.0,2.0,2013,juli
Møre og Romsdal,3103.0,2.3,172.0,6.0,2013,juli
Sør-Trøndelag,3983.0,2.5,80.0,2.0,2013,juli
Nord-Trøndelag,1690.0,2.5,-55.0,-3.0,2013,juli
Nordland,3781.0,3.1,184.0,5.0,2013,juli
Troms,2199.0,2.6,128.0,6.0,2013,juli
Finnmark,1383.0,3.6,74.0,6.0,2013,juli
Øvrige områder,9.0,,5.0,125.0,2013,juli
Ukjent,76.0,,65.0,591.0,2013,juli
"1) NAV har endret variabelen for fordeling på fylke. Mer informasjon om dette finner du i ""Om tabellene"".",,,,,2013,juli
