Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),År,Måned
Østfold,4650.0,3.3634165263923004,-466.0,-9.10867865519937,2012,mars
Akershus,6632.0,2.28000167727264,-472.0,-6.64414414414414,2012,mars
Oslo,10897.0,3.22679302934649,-815.0,-6.95867486338797,2012,mars
Hedmark,2579.0,2.6872317802220698,-257.0,-9.06205923836389,2012,mars
Oppland,2249.0,2.33870113946115,-184.0,-7.562679819153301,2012,mars
Buskerud,3555.0,2.55326836018289,-230.0,-6.07661822985469,2012,mars
Vestfold,3754.0,3.11827826317416,-328.0,-8.03527682508574,2012,mars
Telemark,3087.0,3.57511022851196,100.0,3.3478406427853997,2012,mars
Aust-Agder,1757.0,3.15693782995794,-198.0,-10.12787723785166,2012,mars
Vest-Agder,2563.0,2.87965763555996,-9.0,-0.34992223950233,2012,mars
Rogaland,4558.0,1.9229518179488598,-601.0,-11.64954448536538,2012,mars
Hordaland,5603.0,2.16982901205218,-908.0,-13.945630471509752,2012,mars
Sogn og Fjordane,1090.0,1.93952652385262,-164.0,-13.07814992025518,2012,mars
Møre og Romsdal,2685.0,2.01035328196537,-599.0,-18.239951278928128,2012,mars
Sør-Trøndelag,3673.0,2.35438242456148,-1027.0,-21.85106382978723,2012,mars
Nord-Trøndelag,1760.0,2.64972748079794,-77.0,-4.19161676646706,2012,mars
Nordland,3443.0,2.86467607207298,-100.0,-2.82246683601467,2012,mars
Troms,1957.0,2.3551851187538,-78.0,-3.83292383292383,2012,mars
Finnmark,1138.0,2.9941402990472596,-111.0,-8.8871096877502,2012,mars
Ikke i et fylkesdistrikt,39.0,,3.0,,2012,mars
Riket,67669.0,2.604330492088,-6521.0,-8.78959428494406,2012,mars
