Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),År,Måned
Januar 2013,,,,,2013,januar
I alt,71540.0,2.7,9.0,0.0,2013,januar
Østfold,5063.0,3.6,184.0,4.0,2013,januar
Akershus,6981.0,2.4,147.0,2.0,2013,januar
Oslo,11956.0,3.5,693.0,6.0,2013,januar
Hedmark,2808.0,2.9,60.0,2.0,2013,januar
Oppland,2517.0,2.6,34.0,1.0,2013,januar
Buskerud,3583.0,2.6,-235.0,-6.0,2013,januar
Vestfold,3883.0,3.2,-181.0,-4.0,2013,januar
Telemark,3123.0,3.6,-139.0,-4.0,2013,januar
Aust-Agder,2006.0,3.6,77.0,4.0,2013,januar
Vest-Agder,2793.0,3.1,107.0,4.0,2013,januar
Rogaland,4373.0,1.8,-255.0,-6.0,2013,januar
Hordaland,5586.0,2.1,-605.0,-10.0,2013,januar
Sogn og Fjordane,1140.0,2.0,112.0,11.0,2013,januar
Møre og Romsdal,2920.0,2.2,-33.0,-1.0,2013,januar
Sør-Trøndelag,3998.0,2.5,-139.0,-3.0,2013,januar
Nord-Trøndelag,1694.0,2.6,-113.0,-6.0,2013,januar
Nordland,3724.0,3.1,235.0,7.0,2013,januar
Troms,1938.0,2.3,-110.0,-5.0,2013,januar
Finnmark,1432.0,3.7,165.0,13.0,2013,januar
Øvrige områder,6.0,,1.0,20.0,2013,januar
Ukjent,16.0,,4.0,33.0,2013,januar
