Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),År,Måned
Akershus,6986.0,2.41029316489609,1044.0,17.56984180410636,2010,mai
Oslo,12007.0,3.59180880329393,1098.0,10.06508387569896,2010,mai
Hedmark,2543.0,2.6380911838633803,20.0,0.79270709472849,2010,mai
Oppland,2158.0,2.23754807864037,-222.0,-9.32773109243697,2010,mai
Buskerud,3740.0,2.69411725306854,258.0,7.40953475014359,2010,mai
Vestfold,3593.0,2.98014711094353,-46.0,-1.2640835394339098,2010,mai
Telemark,2794.0,3.22612297772952,149.0,5.63327032136105,2010,mai
Aust-Agder,1766.0,3.18202303294579,280.0,18.842530282637952,2010,mai
Vest-Agder,2330.0,2.64319194581978,116.0,5.2393857271906,2010,mai
Rogaland,5207.0,2.23378741908703,951.0,22.34492481203007,2010,mai
Hordaland,6106.0,2.3848617102629097,183.0,3.08965051494175,2010,mai
Sogn og Fjordane,1241.0,2.21709556836004,174.0,16.30740393626991,2010,mai
Møre og Romsdal,3010.0,2.26405033912089,115.0,3.97236614853195,2010,mai
Sør-Trøndelag,4266.0,2.74150756979337,-379.0,-8.15931108719052,2010,mai
Nord-Trøndelag,1835.0,2.74688673695303,-113.0,-5.800821355236129,2010,mai
Nordland,3152.0,2.62061790927784,-325.0,-9.34713833764739,2010,mai
Troms,2038.0,2.45127477955546,-210.0,-9.34163701067615,2010,mai
Finnmark,1355.0,3.5694732640261897,-110.0,-7.50853242320819,2010,mai
Ikke i et fylkesdistrikt,29.0,,7.0,31.818181818181817,2010,mai
Riket,70594.0,2.72780572279382,3052.0,4.51866986467679,2010,mai
