Gradering,Vann,Hav,Fjord,Himmel,Gress,Gran,Korn,Stein,Berg,Strand,Siv,Bark,Nype,Plomme,Blåveis
100,#005260,#1C6C6C,#14828C,#009BC2,#1F9562,#2F7542,#A5983A,#7B7B7A,#727062,#8A6C3E,#BC7726,#996954,#B7173D,#5A2E61,#414681
90,#196370,#337B7B,#2B8E97,#19A5C8,#35A072,#448355,#AEA24E,#888887,#807E72,#967B51,#C3853C,#A37675,#BE2E50,#6A4371,#54598B
80,#337580,#499898,#4398A3,#33AFCE,#4CAA81,#599168,#B7AD61,#959595,#8E8D81,#A18965,#C99251,#AD776,#C54564,#7B5891,#676B9A
70,#4C8690,#609898,#5AA7AE,#4CB9D4,#62B591,#6D9E7B,#C0B775,#A3A3A2,#9C9B91,#AD9878,#DA0A67,#B89867,#CD5777,#8D6990,#7A7DA7
60,#6697A0,#77A7A7,#72B4BA,#66C3DA,#79BFA1,#82AC8E,#C9C189,#B0B0AF,#AAA9A1,#B9A788,#D7A77D,#C2A259,#D44788,#9C82A0,#8A92C0
50,#80A8AF,#8DB5B5,#89C0C5,#80CDE0,#8FCAB0,#97BAA0,#D2C89C,#BDBDBC,#B8B7B0,#C4B59E,#DD8B92,#CCB49A,#D88B96,#AC96B0,#A0AAC0
40,#99BABF,#A4C4C4,#A1CDD1,#99D7E7,#A5D5C0,#ACCBB3,#DBD6B0,#CACACA,#C7C6C0,#D0C4B2,#E4C9A8,#D6C3BB,#E2A2B1,#BDA8C0,#B3B5CD
30,#B2CBCF,#BBD3D3,#B8D9DC,#B2E1ED,#BCDF00,#C1D6C6,#E4E0C4,#D7D7D7,#D5D4D0,#DCD3C5,#EBD6BE,#E0D2CC,#E9B9C5,#CDC0D0,#C6C7D9
20,#CDDCDD,#D2E2E2,#D0E6E8,#CCEBF3,#D2EAEO,#D5E3D9,#EDEAD8,#E5E5E4,#E3E2E0,#E8E2D8,#F2E4D4,#EBE1DD,#F1D1D8,#DED5DF,#D9DAE6
10,#E5EEEF,#E8F0F0,#F7F2F3,#E5F5F9,#F9F4EF,#EAF1EC,#F6F5EB,#F2F2F2,#F1F1EF,#F3F0EC,#F8F1E9,#F5F0EE,#F8E8EC,#EEEAFF,#ECECF2
