Kommune;Utbygd effekt (kWp);Potensiell effekt (kWp);Utbygd ifht. Potensial (%);Antall installasjoner (#);Potensiell kraftproduksjon (GWh)
Porsgrunn;3 317,00;553 847,00;0,60 %;188;466,09
Skien;4 503,00;790 634,00;0,57 %;266;665,39
Notodden;4 381,00;637 860,00;0,69 %;327;228,12
Siljan;188;45 240,00;0,42 %;16;38,83
Bamble;2 270,00;259 959,00;0,87 %;101;223,31
Kragerø;791;254 326,00;0,31 %;63;219,26
Drangedal;283;120 219,00;0,24 %;23;103,28
Nome;1 010,00;156 352,00;0,65 %;65;131,74
Midt-Telemark;2 487,00;259 579,00;0,96 %;169;218,34
Seljord;544;111 949,00;0,49 %;10;94,73
Hjartdal;147;99 872,00;0,15 %;13;85,58
Tinn;148;187 253,00;0,08 %;13;160,81
Kviteseid;336;97 024,00;0,35 %;25;82,9
Nissedal;131;97 482,00;0,13 %;14;84,23
Fyresdal;213;64 562,00;0,33 %;8;55,29
Tokke;73;93 617,00;0,08 %;7;71,16
Vinje;470;215 127,00;0,22 %;29;186,36
