objectid,stfstatusfirmaid,orfkode,firorgnr,konsernopporgnr,konsernoppnavn,firorgnrknytning,firfirmanavn1,fylfylkenavn,fylkesnavn,kommune_id,firkommnr,kommunenavn,knrkommnavn,firantansatt,ansatt_kd,firoms,firdriftres,etablertdato,sektorkode,status_po,nakkategori1,naktittel1,nakgruppetekst1,nakkategori2,nakkategori3,nakkategori4,nakkategori5,koordinat_y,koordinat_x,load_date,geometry_x,geometry_y,longitude,latitude
3354,9,Underenhet til næringsdrivende og offentlig forvaltning,815501152,,,915476600.0,Ekstrahjelpen Vidar Håkonsløkken,Telemark,Telemark,4020.0,4020,Midt-Telemark,MIDT-TELEMARK,,0-1,0.0,0.0,2015-06-01,,,7,Annen teknisk konsulentvirksomhet,"Faglig, vitenskapelig og teknisk tjenesteyting",71,711,7112,71129,170700.0,6598528.0,2025-11-05 03:14:43,170699.66999999993,6598528.09,9.196766542370195,59.39606704370469
3354,9,Underenhet til næringsdrivende og offentlig forvaltning,815501152,,,915476600.0,Ekstrahjelpen Vidar Håkonsløkken,Telemark,Telemark,4020.0,4020,Midt-Telemark,MIDT-TELEMARK,,0-1,0.0,0.0,2015-06-01,,,7,Annen teknisk konsulentvirksomhet,"Faglig, vitenskapelig og teknisk tjenesteyting",71,711,7112,71129,170700.0,6598528.0,2025-11-05 03:14:43,170699.66999999993,6598528.09,9.196766542370195,59.39606704370469
7327,1,Aksjeselskap,815559762,,,,Norsjø Kammermusikkfest AS,Telemark,Telemark,4020.0,4020,Midt-Telemark,MIDT-TELEMARK,,0-1,1030.0,-39.0,2015-03-23,Private aksjeselskaper mv.,Privat sektor,9,Utøvende kunstnerisk virksomhet og underholdningsvirksomhet innenfor musikk,"Kulturell virksomhet, idrett og fritidsaktiviteter",90,902,9020,90201,163221.0,6600777.0,2025-11-05 03:14:43,163220.90000000037,6600777.0,9.06225398733604,59.41024372814309
7327,1,Aksjeselskap,815559762,,,,Norsjø Kammermusikkfest AS,Telemark,Telemark,4020.0,4020,Midt-Telemark,MIDT-TELEMARK,,0-1,1030.0,-39.0,2015-03-23,Private aksjeselskaper mv.,Privat sektor,9,Utøvende kunstnerisk virksomhet og underholdningsvirksomhet innenfor musikk,"Kulturell virksomhet, idrett og fritidsaktiviteter",90,902,9020,90201,163221.0,6600777.0,2025-11-05 03:14:43,163220.90000000037,6600777.0,9.06225398733604,59.41024372814309
7327,1,Aksjeselskap,815559762,,,,Norsjø Kammermusikkfest AS,Telemark,Telemark,4020.0,4020,Midt-Telemark,MIDT-TELEMARK,,0-1,1030.0,-39.0,2015-03-23,Private aksjeselskaper mv.,Privat sektor,9,Utøvende kunstnerisk virksomhet og underholdningsvirksomhet innenfor musikk,"Kulturell virksomhet, idrett og fritidsaktiviteter",90,902,9020,90201,163221.0,6600777.0,2025-11-05 03:14:43,163220.90000000037,6600777.0,9.06225398733604,59.41024372814309
5960,9,Underenhet til næringsdrivende og offentlig forvaltning,815622162,,,915526837.0,Drangedal Grill,Telemark,Telemark,4016.0,4016,Drangedal,DRANGEDAL,,0-1,0.0,0.0,2015-06-23,,,5,Drift av restauranter,Overnattings- og serveringsvirksomhet,56,561,5611,56110,160138.0,6565921.0,2025-11-05 03:14:43,160137.78000000026,6565920.99,9.062818969629502,59.09644505620806
5960,9,Underenhet til næringsdrivende og offentlig forvaltning,815622162,,,915526837.0,Drangedal Grill,Telemark,Telemark,4016.0,4016,Drangedal,DRANGEDAL,,0-1,0.0,0.0,2015-06-23,,,5,Drift av restauranter,Overnattings- og serveringsvirksomhet,56,561,5611,56110,160138.0,6565921.0,2025-11-05 03:14:43,160137.78000000026,6565920.99,9.062818969629502,59.09644505620806
10498,1,Aksjeselskap,815720032,,,,Star Wash Stathelle AS,Telemark,Telemark,4012.0,4012,Bamble,BAMBLE,,0-1,35574.0,2861.0,2015-07-15,Private aksjeselskaper mv.,Privat sektor,9,Reparasjon og vedlikehold av motorvogner,Annen tjenesteyting,95,953,9531,95310,196742.0,6554857.0,2025-11-05 03:14:43,196741.53000000023,6554857.300000001,9.71418110915676,59.02513269957093
10498,1,Aksjeselskap,815720032,,,,Star Wash Stathelle AS,Telemark,Telemark,4012.0,4012,Bamble,BAMBLE,,0-1,35574.0,2861.0,2015-07-15,Private aksjeselskaper mv.,Privat sektor,9,Reparasjon og vedlikehold av motorvogner,Annen tjenesteyting,95,953,9531,95310,196742.0,6554857.0,2025-11-05 03:14:43,196741.53000000023,6554857.300000001,9.71418110915676,59.02513269957093
10281,1,Enkeltpersonforetak,815761162,,,,Clausen Ship Consult,Telemark,Telemark,4014.0,4014,Kragerø,KRAGERØ,,0-1,0.0,0.0,2015-08-10,Personlig næringsdrivende,Privat sektor,7,Annen teknisk konsulentvirksomhet,"Faglig, vitenskapelig og teknisk tjenesteyting",71,711,7112,71129,177867.0,6538711.0,2025-11-05 03:14:43,177867.36000000034,6538710.74,9.410431385234167,58.86701690097783
10281,1,Enkeltpersonforetak,815761162,,,,Clausen Ship Consult,Telemark,Telemark,4014.0,4014,Kragerø,KRAGERØ,,0-1,0.0,0.0,2015-08-10,Personlig næringsdrivende,Privat sektor,7,Annen teknisk konsulentvirksomhet,"Faglig, vitenskapelig og teknisk tjenesteyting",71,711,7112,71129,177867.0,6538711.0,2025-11-05 03:14:43,177867.36000000034,6538710.74,9.410431385234167,58.86701690097783
10281,1,Enkeltpersonforetak,815761162,,,,Clausen Ship Consult,Telemark,Telemark,4014.0,4014,Kragerø,KRAGERØ,,0-1,0.0,0.0,2015-08-10,Personlig næringsdrivende,Privat sektor,7,Annen teknisk konsulentvirksomhet,"Faglig, vitenskapelig og teknisk tjenesteyting",71,711,7112,71129,177867.0,6538711.0,2025-11-05 03:14:43,177867.36000000034,6538710.74,9.410431385234167,58.86701690097783
16148,9,Underenhet til næringsdrivende og offentlig forvaltning,815963962,,,915955649.0,Røverven AS,Telemark,Telemark,4001.0,4001,Porsgrunn,PORSGRUNN,,0-1,0.0,0.0,2015-09-01,,,6,Utleie av egen eller leid fast eiendom,Eiendomsvirksomhet,68,682,6820,68200,196294.0,6558079.0,2025-11-05 03:14:43,196294.09999999963,6558079.300000001,9.701977089116406,59.05362697741637
16148,9,Underenhet til næringsdrivende og offentlig forvaltning,815963962,,,915955649.0,Røverven AS,Telemark,Telemark,4001.0,4001,Porsgrunn,PORSGRUNN,,0-1,0.0,0.0,2015-09-01,,,6,Utleie av egen eller leid fast eiendom,Eiendomsvirksomhet,68,682,6820,68200,196294.0,6558079.0,2025-11-05 03:14:43,196294.09999999963,6558079.300000001,9.701977089116406,59.05362697741637
18492,9,Underenhet til næringsdrivende og offentlig forvaltning,816044162,,,916039166.0,Prora-Lab AS,Telemark,Telemark,4012.0,4012,Bamble,BAMBLE,,0-1,0.0,0.0,2015-10-05,,,7,Forskning og eksperimentell utvikling innenfor naturvitenskap og teknikk,"Faglig, vitenskapelig og teknisk tjenesteyting",72,721,7210,72100,195697.0,6556390.0,2025-11-05 03:14:43,195696.59999999963,6556390.18,9.693940841340073,59.03809740680581
18492,9,Underenhet til næringsdrivende og offentlig forvaltning,816044162,,,916039166.0,Prora-Lab AS,Telemark,Telemark,4012.0,4012,Bamble,BAMBLE,,0-1,0.0,0.0,2015-10-05,,,7,Forskning og eksperimentell utvikling innenfor naturvitenskap og teknikk,"Faglig, vitenskapelig og teknisk tjenesteyting",72,721,7210,72100,195697.0,6556390.0,2025-11-05 03:14:43,195696.59999999963,6556390.18,9.693940841340073,59.03809740680581
21128,1,Forening/lag/innretning,816087082,,,,Telemark Airshow,Telemark,Telemark,4005.0,4005,Notodden,NOTODDEN,,0-1,0.0,0.0,2015-10-13,Ideelle organisasjoner,Privat sektor,9,Andre tjenester tilknyttet kunstnerisk virksomhet og underholdningsvirksomhet,"Kulturell virksomhet, idrett og fritidsaktiviteter",90,903,9039,90390,173502.0,6617263.0,2025-11-05 03:14:43,173502.24000000022,6617263.4,9.217229143838692,59.56563841514558
21128,1,Forening/lag/innretning,816087082,,,,Telemark Airshow,Telemark,Telemark,4005.0,4005,Notodden,NOTODDEN,,0-1,0.0,0.0,2015-10-13,Ideelle organisasjoner,Privat sektor,9,Andre tjenester tilknyttet kunstnerisk virksomhet og underholdningsvirksomhet,"Kulturell virksomhet, idrett og fritidsaktiviteter",90,903,9039,90390,173502.0,6617263.0,2025-11-05 03:14:43,173502.24000000022,6617263.4,9.217229143838692,59.56563841514558
21128,1,Forening/lag/innretning,816087082,,,,Telemark Airshow,Telemark,Telemark,4005.0,4005,Notodden,NOTODDEN,,0-1,0.0,0.0,2015-10-13,Ideelle organisasjoner,Privat sektor,9,Andre tjenester tilknyttet kunstnerisk virksomhet og underholdningsvirksomhet,"Kulturell virksomhet, idrett og fritidsaktiviteter",90,903,9039,90390,173502.0,6617263.0,2025-11-05 03:14:43,173502.24000000022,6617263.4,9.217229143838692,59.56563841514558
20008,9,Underenhet til næringsdrivende og offentlig forvaltning,816088062,,,921510381.0,Helene Funner Gjerjordet,Telemark,Telemark,4024.0,4024,Hjartdal,HJARTDAL,,0-1,0.0,0.0,2015-05-01,,,1,Husdyrhold ikke nevnt annet sted,"Jordbruk, skogbruk og fiske",14,148,1489,1489,144944.0,6624179.0,2025-11-05 03:14:43,144943.58000000007,6624178.8100000005,8.7032383879461,59.60412277165171
20008,9,Underenhet til næringsdrivende og offentlig forvaltning,816088062,,,921510381.0,Helene Funner Gjerjordet,Telemark,Telemark,4024.0,4024,Hjartdal,HJARTDAL,,0-1,0.0,0.0,2015-05-01,,,1,Husdyrhold ikke nevnt annet sted,"Jordbruk, skogbruk og fiske",14,148,1489,1489,144944.0,6624179.0,2025-11-05 03:14:43,144943.58000000007,6624178.8100000005,8.7032383879461,59.60412277165171
22374,3,Aksjeselskap,816097762,915920497.0,Trinse AS,,Zuperhero AS,Telemark,Telemark,4014.0,4014,Kragerø,KRAGERØ,,0-1,16.0,9.0,2015-08-20,Private aksjeselskaper mv.,Privat sektor,4,"Engroshandel med maskiner og utstyr til bergverksdrift, olje- og gassutvinning og bygge- og anleggsvirksomhet",Varehandel,46,466,4663,46630,177369.0,6540072.0,2025-11-05 03:14:43,177368.5,6540071.57,9.399851918492883,58.87880612470572
22374,3,Aksjeselskap,816097762,915920497.0,Trinse AS,,Zuperhero AS,Telemark,Telemark,4014.0,4014,Kragerø,KRAGERØ,,0-1,16.0,9.0,2015-08-20,Private aksjeselskaper mv.,Privat sektor,4,"Engroshandel med maskiner og utstyr til bergverksdrift, olje- og gassutvinning og bygge- og anleggsvirksomhet",Varehandel,46,466,4663,46630,177369.0,6540072.0,2025-11-05 03:14:43,177368.5,6540071.57,9.399851918492883,58.87880612470572
41329,1,Tingsrettslig sameie,816205042,,,,Flekstveitvegen Sameige,Telemark,Telemark,4028.0,4028,Kviteseid,KVITESEID,,0-1,0.0,0.0,2015-10-06,,,0,,,0,0,0,0,125954.0,6603509.0,2025-11-05 03:14:43,125953.75,6603508.6,8.405235184474025,59.40318341995391
41329,1,Tingsrettslig sameie,816205042,,,,Flekstveitvegen Sameige,Telemark,Telemark,4028.0,4028,Kviteseid,KVITESEID,,0-1,0.0,0.0,2015-10-06,,,0,,,0,0,0,0,125954.0,6603509.0,2025-11-05 03:14:43,125953.75,6603508.6,8.405235184474025,59.40318341995391
25946,1,Enkeltpersonforetak,816219302,,,,Aud Kile,Telemark,Telemark,4032.0,4032,Fyresdal,FYRESDAL,,0-1,0.0,0.0,2015-11-25,Personlig næringsdrivende,Privat sektor,2,Avvirkning,"Jordbruk, skogbruk og fiske",22,220,2200,2200,102188.0,6576443.0,2025-11-05 03:14:43,102188.25,6576443.32,8.039375271591874,59.14017768380774
25946,1,Enkeltpersonforetak,816219302,,,,Aud Kile,Telemark,Telemark,4032.0,4032,Fyresdal,FYRESDAL,,0-1,0.0,0.0,2015-11-25,Personlig næringsdrivende,Privat sektor,2,Avvirkning,"Jordbruk, skogbruk og fiske",22,220,2200,2200,102188.0,6576443.0,2025-11-05 03:14:43,102188.25,6576443.32,8.039375271591874,59.14017768380774
25946,1,Enkeltpersonforetak,816219302,,,,Aud Kile,Telemark,Telemark,4032.0,4032,Fyresdal,FYRESDAL,,0-1,0.0,0.0,2015-11-25,Personlig næringsdrivende,Privat sektor,2,Avvirkning,"Jordbruk, skogbruk og fiske",22,220,2200,2200,102188.0,6576443.0,2025-11-05 03:14:43,102188.25,6576443.32,8.039375271591874,59.14017768380774
23678,9,Underenhet til næringsdrivende og offentlig forvaltning,816221412,,,916189958.0,Andrèsen Elektro,Telemark,Telemark,4012.0,4012,Bamble,BAMBLE,,0-1,0.0,0.0,2015-11-09,,,4,Elektrisk installasjonsarbeid,Bygge- og anleggsvirksomhet,43,432,4321,43210,196001.0,6556846.0,2025-11-05 03:14:43,196001.0499999998,6556846.23,9.698593544917772,59.04239218683981
23678,9,Underenhet til næringsdrivende og offentlig forvaltning,816221412,,,916189958.0,Andrèsen Elektro,Telemark,Telemark,4012.0,4012,Bamble,BAMBLE,,0-1,0.0,0.0,2015-11-09,,,4,Elektrisk installasjonsarbeid,Bygge- og anleggsvirksomhet,43,432,4321,43210,196001.0,6556846.0,2025-11-05 03:14:43,196001.0499999998,6556846.23,9.698593544917772,59.04239218683981
24314,9,Underenhet til næringsdrivende og offentlig forvaltning,816248582,,,916216955.0,Knut Erik Solberg,Telemark,Telemark,4010.0,4010,Siljan,SILJAN,,0-1,0.0,0.0,2015-11-09,,,3,Reparasjon og vedlikehold av maskiner,Industri,33,331,3312,33120,198802.0,6583503.0,2025-11-05 03:14:43,198802.00999999975,6583502.91,9.71042619025293,59.28275145170421
24314,9,Underenhet til næringsdrivende og offentlig forvaltning,816248582,,,916216955.0,Knut Erik Solberg,Telemark,Telemark,4010.0,4010,Siljan,SILJAN,,0-1,0.0,0.0,2015-11-09,,,3,Reparasjon og vedlikehold av maskiner,Industri,33,331,3312,33120,198802.0,6583503.0,2025-11-05 03:14:43,198802.00999999975,6583502.91,9.71042619025293,59.28275145170421
26794,1,Aksjeselskap,816319692,,,,VEL Hjem AS,Telemark,Telemark,4003.0,4003,Skien,SKIEN,,0-1,487.0,273.0,2015-11-21,Private aksjeselskaper mv.,Privat sektor,6,Utleie av egen eller leid fast eiendom,Eiendomsvirksomhet,68,682,6820,68200,190625.0,6579908.0,2025-11-05 03:14:43,190624.86000000036,6579907.99,9.572686886211136,59.244714850876576
26794,1,Aksjeselskap,816319692,,,,VEL Hjem AS,Telemark,Telemark,4003.0,4003,Skien,SKIEN,,0-1,487.0,273.0,2015-11-21,Private aksjeselskaper mv.,Privat sektor,6,Utleie av egen eller leid fast eiendom,Eiendomsvirksomhet,68,682,6820,68200,190625.0,6579908.0,2025-11-05 03:14:43,190624.86000000036,6579907.99,9.572686886211136,59.244714850876576
26794,1,Aksjeselskap,816319692,,,,VEL Hjem AS,Telemark,Telemark,4003.0,4003,Skien,SKIEN,,0-1,487.0,273.0,2015-11-21,Private aksjeselskaper mv.,Privat sektor,6,Utleie av egen eller leid fast eiendom,Eiendomsvirksomhet,68,682,6820,68200,190625.0,6579908.0,2025-11-05 03:14:43,190624.86000000036,6579907.99,9.572686886211136,59.244714850876576
26980,1,Aksjeselskap,816325102,,,,Lundegata Eiendom AS,Telemark,Telemark,4003.0,4003,Skien,SKIEN,,0-1,380.0,247.0,2015-11-19,Private aksjeselskaper mv.,Privat sektor,6,Utleie av egen eller leid fast eiendom,Eiendomsvirksomhet,68,682,6820,68200,192007.0,6575856.0,2025-11-05 03:14:43,192006.9400000004,6575855.8100000005,9.602548653428842,59.20949312399254
26980,1,Aksjeselskap,816325102,,,,Lundegata Eiendom AS,Telemark,Telemark,4003.0,4003,Skien,SKIEN,,0-1,380.0,247.0,2015-11-19,Private aksjeselskaper mv.,Privat sektor,6,Utleie av egen eller leid fast eiendom,Eiendomsvirksomhet,68,682,6820,68200,192007.0,6575856.0,2025-11-05 03:14:43,192006.9400000004,6575855.8100000005,9.602548653428842,59.20949312399254
26980,1,Aksjeselskap,816325102,,,,Lundegata Eiendom AS,Telemark,Telemark,4003.0,4003,Skien,SKIEN,,0-1,380.0,247.0,2015-11-19,Private aksjeselskaper mv.,Privat sektor,6,Utleie av egen eller leid fast eiendom,Eiendomsvirksomhet,68,682,6820,68200,192007.0,6575856.0,2025-11-05 03:14:43,192006.9400000004,6575855.8100000005,9.602548653428842,59.20949312399254
27688,3,Enkeltpersonforetak,816351022,,,,Fykerud Konsulent Tjenester,Telemark,Akershus,3201.0,4003,Bærum,SKIEN,,0-1,0.0,0.0,2015-12-07,Personlig næringsdrivende,Privat sektor,6,Konsulentvirksomhet tilknyttet informasjonsteknologi og forvaltning og drift av IT-systemer,"Telekommunikasjon, dataprogrammering, konsulentvirksomhet, datainfrastruktur og andre tjenester tilk",62,622,6220,62200,252032.0,6650101.0,2025-11-05 03:14:43,252031.6399999997,6650100.779999999,10.563696149989465,59.91359075855153
27688,3,Enkeltpersonforetak,816351022,,,,Fykerud Konsulent Tjenester,Telemark,Akershus,3201.0,4003,Bærum,SKIEN,,0-1,0.0,0.0,2015-12-07,Personlig næringsdrivende,Privat sektor,6,Konsulentvirksomhet tilknyttet informasjonsteknologi og forvaltning og drift av IT-systemer,"Telekommunikasjon, dataprogrammering, konsulentvirksomhet, datainfrastruktur og andre tjenester tilk",62,622,6220,62200,252032.0,6650101.0,2025-11-05 03:14:43,252031.6399999997,6650100.779999999,10.563696149989465,59.91359075855153
32084,1,Aksjeselskap,816353912,,,,Asbjørn Pedersen AS,Telemark,Telemark,4014.0,4014,Kragerø,KRAGERØ,,0-1,825.0,-95.0,2015-11-25,Private aksjeselskaper mv.,Privat sektor,4,Grunnarbeid,Bygge- og anleggsvirksomhet,43,431,4312,43120,169431.0,6543665.0,2025-11-05 03:14:43,169430.95999999996,6543664.880000001,9.25752389114482,58.90488738530692
32084,1,Aksjeselskap,816353912,,,,Asbjørn Pedersen AS,Telemark,Telemark,4014.0,4014,Kragerø,KRAGERØ,,0-1,825.0,-95.0,2015-11-25,Private aksjeselskaper mv.,Privat sektor,4,Grunnarbeid,Bygge- og anleggsvirksomhet,43,431,4312,43120,169431.0,6543665.0,2025-11-05 03:14:43,169430.95999999996,6543664.880000001,9.25752389114482,58.90488738530692
32084,1,Aksjeselskap,816353912,,,,Asbjørn Pedersen AS,Telemark,Telemark,4014.0,4014,Kragerø,KRAGERØ,,0-1,825.0,-95.0,2015-11-25,Private aksjeselskaper mv.,Privat sektor,4,Grunnarbeid,Bygge- og anleggsvirksomhet,43,431,4312,43120,169431.0,6543665.0,2025-11-05 03:14:43,169430.95999999996,6543664.880000001,9.25752389114482,58.90488738530692
28642,3,Aksjeselskap,816373042,,,,Rørvik Holding AS,Telemark,Telemark,4014.0,4014,Kragerø,KRAGERØ,,0-1,0.0,0.0,2015-10-06,Private aksjeselskaper mv.,Privat sektor,6,Utleie av egen eller leid fast eiendom,Eiendomsvirksomhet,68,682,6820,68200,176533.0,6538469.0,2025-11-05 03:14:43,176532.71999999974,6538469.48,9.387751184623328,58.86385920498413
28642,3,Aksjeselskap,816373042,,,,Rørvik Holding AS,Telemark,Telemark,4014.0,4014,Kragerø,KRAGERØ,,0-1,0.0,0.0,2015-10-06,Private aksjeselskaper mv.,Privat sektor,6,Utleie av egen eller leid fast eiendom,Eiendomsvirksomhet,68,682,6820,68200,176533.0,6538469.0,2025-11-05 03:14:43,176532.71999999974,6538469.48,9.387751184623328,58.86385920498413
28642,3,Aksjeselskap,816373042,,,,Rørvik Holding AS,Telemark,Telemark,4014.0,4014,Kragerø,KRAGERØ,,0-1,0.0,0.0,2015-10-06,Private aksjeselskaper mv.,Privat sektor,6,Utleie av egen eller leid fast eiendom,Eiendomsvirksomhet,68,682,6820,68200,176533.0,6538469.0,2025-11-05 03:14:43,176532.71999999974,6538469.48,9.387751184623328,58.86385920498413
29326,9,Underenhet til næringsdrivende og offentlig forvaltning,816384192,,,969779501.0,Thunes Bjørn B.T.Industriservice,Telemark,Telemark,4003.0,4003,Skien,SKIEN,,0-1,0.0,0.0,2014-01-01,,,4,Grunnarbeid,Bygge- og anleggsvirksomhet,43,431,4312,43120,185105.0,6578851.0,2025-11-05 03:14:43,185104.83000000007,6578850.83,9.477898854262037,59.23120052990155
29326,9,Underenhet til næringsdrivende og offentlig forvaltning,816384192,,,969779501.0,Thunes Bjørn B.T.Industriservice,Telemark,Telemark,4003.0,4003,Skien,SKIEN,,0-1,0.0,0.0,2014-01-01,,,4,Grunnarbeid,Bygge- og anleggsvirksomhet,43,431,4312,43120,185105.0,6578851.0,2025-11-05 03:14:43,185104.83000000007,6578850.83,9.477898854262037,59.23120052990155
29831,9,,816410452,,,980515842.0,BCC Grenland,Telemark,Telemark,4012.0,4012,Bamble,BAMBLE,,0-1,0.0,0.0,2014-01-01,,,9,Aktiviteter i religiøse organisasjoner,Annen tjenesteyting,94,949,9491,94910,196223.0,6554975.0,2025-11-05 03:14:43,196222.59999999963,6554974.82,9.705018764773444,59.0258151808358
29831,9,,816410452,,,980515842.0,BCC Grenland,Telemark,Telemark,4012.0,4012,Bamble,BAMBLE,,0-1,0.0,0.0,2014-01-01,,,9,Aktiviteter i religiøse organisasjoner,Annen tjenesteyting,94,949,9491,94910,196223.0,6554975.0,2025-11-05 03:14:43,196222.59999999963,6554974.82,9.705018764773444,59.0258151808358
29831,9,,816410452,,,980515842.0,BCC Grenland,Telemark,Telemark,4012.0,4012,Bamble,BAMBLE,,0-1,0.0,0.0,2014-01-01,,,9,Aktiviteter i religiøse organisasjoner,Annen tjenesteyting,94,949,9491,94910,196223.0,6554975.0,2025-11-05 03:14:43,196222.59999999963,6554974.82,9.705018764773444,59.0258151808358
29841,9,Underenhet til næringsdrivende og offentlig forvaltning,816414032,,,983566138.0,Theodore Bruce Bawer,Telemark,Telemark,4005.0,4005,Notodden,NOTODDEN,,0-1,0.0,0.0,2014-01-01,,,7,Oversettelses- og tolkevirksomhet,"Faglig, vitenskapelig og teknisk tjenesteyting",74,743,7430,74300,176345.0,6617023.0,2025-11-05 03:14:43,176344.8200000003,6617022.92,9.267648132379705,59.56569774652316
29841,9,Underenhet til næringsdrivende og offentlig forvaltning,816414032,,,983566138.0,Theodore Bruce Bawer,Telemark,Telemark,4005.0,4005,Notodden,NOTODDEN,,0-1,0.0,0.0,2014-01-01,,,7,Oversettelses- og tolkevirksomhet,"Faglig, vitenskapelig og teknisk tjenesteyting",74,743,7430,74300,176345.0,6617023.0,2025-11-05 03:14:43,176344.8200000003,6617022.92,9.267648132379705,59.56569774652316
