Levekårssone;Levekårssone_navn;Kommunenummer;Kommune;Antall_respondenter
400101;Sentrum vest;4001;Porsgrunn;516
400102;Sentrum øst;4001;Porsgrunn;533
400103;Sentrum sør;4001;Porsgrunn;553
400104;Herøya – Stridsklev;4001;Porsgrunn;508
400105;Heistad – Skjelsvik – Brevik;4001;Porsgrunn;519
400106;Tveten – Moheim – Langangen;4001;Porsgrunn;526
400301;Nenset – Klyve;4003;Skien;483
400302;Borgestad – Menstad – Bøle;4003;Skien;545
400303;Kjørbekk – Gråtenmoen;4003;Skien;490
400304;Gimsøy – Moflata;4003;Skien;590
400305;Bratsberg – Gjerpen;4003;Skien;563
400306;Sentrum – Bakken – Falkum;4003;Skien;567
400307;Øvre Falkum – Nordre bydel;4003;Skien;550
400308;Vadrette – Einaren;4003;Skien;565
400309;Strømdal – Hyni;4003;Skien;480
400310;Strømdalsjordet – Nyhus – Ravnåsen;4003;Skien;584
400311;Stigeråsen;4003;Skien;474
400312;Rising – Venstøp;4003;Skien;550
400313;Skotfoss – Åfoss – Melum – Kilebygda;4003;Skien;474
400501;Omland Notodden;4005;Notodden;490
400502;Sentrum;4005;Notodden;522
400503;Tveiten – Høgås;4005;Notodden;580
401201;Rugtvedt – Herre;4012;Bamble;458
401202;Stathelle;4012;Bamble;538
401203;Langesund;4012;Bamble;575
401401;Ytre Kragerø;4014;Kragerø;498
401402;Sentrum;4014;Kragerø;564
401601;Drangedal nord/øst;4016;Drangedal;540
401602;Drangedal sør;4016;Drangedal;560
401801;Lunde;4018;Nome;582
401802;Ulefoss;4018;Nome;542
402001;Midt – Telemark øst;4020;Midt-Telemark;556
402002;Midt – Telemark vest;4020;Midt-Telemark;627
402003;Bø sentrum;4020;Midt-Telemark;594
402601;Rjukan;4026;Tinn;580
402602;Bygdene i Tinn;4026;Tinn;606
403601;Åmot – Haukeli – Vågsli;4036;Vinje;629
403602;Rauland – Øyfjell – Møsstrond;4036;Vinje;585
