År;Region;Alder;Utflytting;Innflytting;Nettoflytting
2016;3801 Horten;0 år;9;12;3
2016;3801 Horten;1 år;23;22;-1
2016;3801 Horten;2 år;12;19;7
2016;3801 Horten;3 år;11;18;7
2016;3801 Horten;4 år;12;17;5
2016;3801 Horten;5 år;13;18;5
2016;3801 Horten;6 år;7;19;12
2016;3801 Horten;7 år;9;11;2
2016;3801 Horten;8 år;6;14;8
2016;3801 Horten;9 år;9;6;-3
2016;3801 Horten;10 år;13;15;2
2016;3801 Horten;11 år;8;14;6
2016;3801 Horten;12 år;15;18;3
2016;3801 Horten;13 år;9;14;5
2016;3801 Horten;14 år;12;11;-1
2016;3801 Horten;15 år;18;24;6
2016;3801 Horten;16 år;14;11;-3
2016;3801 Horten;17 år;13;11;-2
2016;3801 Horten;18 år;15;16;1
2016;3801 Horten;19 år;47;44;-3
2016;3801 Horten;20 år;55;56;1
2016;3801 Horten;21 år;66;67;1
2016;3801 Horten;22 år;78;66;-12
2016;3801 Horten;23 år;67;66;-1
2016;3801 Horten;24 år;70;64;-6
2016;3801 Horten;25 år;84;64;-20
2016;3801 Horten;26 år;70;51;-19
2016;3801 Horten;27 år;64;70;6
2016;3801 Horten;28 år;51;53;2
2016;3801 Horten;29 år;53;35;-18
2016;3801 Horten;30 år;51;44;-7
2016;3801 Horten;31 år;33;42;9
2016;3801 Horten;32 år;31;31;0
2016;3801 Horten;33 år;20;20;0
2016;3801 Horten;34 år;27;26;-1
2016;3801 Horten;35 år;22;22;0
2016;3801 Horten;36 år;21;22;1
2016;3801 Horten;37 år;26;27;1
2016;3801 Horten;38 år;15;27;12
2016;3801 Horten;39 år;19;25;6
2016;3801 Horten;40 år;20;18;-2
2016;3801 Horten;41 år;12;10;-2
2016;3801 Horten;42 år;18;21;3
2016;3801 Horten;43 år;12;21;9
2016;3801 Horten;44 år;13;10;-3
2016;3801 Horten;45 år;9;14;5
2016;3801 Horten;46 år;11;16;5
2016;3801 Horten;47 år;23;10;-13
2016;3801 Horten;48 år;14;12;-2
2016;3801 Horten;49 år;13;17;4
2016;3801 Horten;50 år;10;13;3
2016;3801 Horten;51 år;11;12;1
2016;3801 Horten;52 år;15;12;-3
2016;3801 Horten;53 år;18;11;-7
2016;3801 Horten;54 år;9;10;1
2016;3801 Horten;55 år;13;18;5
2016;3801 Horten;56 år;10;7;-3
2016;3801 Horten;57 år;13;9;-4
2016;3801 Horten;58 år;5;7;2
2016;3801 Horten;59 år;5;8;3
2016;3801 Horten;60 år;5;11;6
2016;3801 Horten;61 år;12;10;-2
2016;3801 Horten;62 år;8;4;-4
2016;3801 Horten;63 år;5;8;3
2016;3801 Horten;64 år;3;4;1
2016;3801 Horten;65 år;6;2;-4
2016;3801 Horten;66 år;4;4;0
2016;3801 Horten;67 år;5;8;3
2016;3801 Horten;68 år;13;5;-8
2016;3801 Horten;69 år;4;8;4
2016;3801 Horten;70 år;6;9;3
2016;3802 Holmestrand;0 år;5;14;9
2016;3802 Holmestrand;1 år;16;25;9
2016;3802 Holmestrand;2 år;11;26;15
2016;3802 Holmestrand;3 år;12;24;12
2016;3802 Holmestrand;4 år;15;24;9
2016;3802 Holmestrand;5 år;14;20;6
2016;3802 Holmestrand;6 år;9;23;14
2016;3802 Holmestrand;7 år;7;13;6
2016;3802 Holmestrand;8 år;6;13;7
2016;3802 Holmestrand;9 år;5;8;3
2016;3802 Holmestrand;10 år;4;8;4
2016;3802 Holmestrand;11 år;3;9;6
2016;3802 Holmestrand;12 år;7;12;5
2016;3802 Holmestrand;13 år;7;14;7
2016;3802 Holmestrand;14 år;4;10;6
2016;3802 Holmestrand;15 år;17;26;9
2016;3802 Holmestrand;16 år;16;18;2
2016;3802 Holmestrand;17 år;17;11;-6
