Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),År,Måned
Juni 2013,,,,,2013,juni
I alt,66596.0,2.5,2400.0,4.0,2013,juni
Østfold,4747.0,3.4,101.0,2.0,2013,juni
Akershus,6662.0,2.2,336.0,5.0,2013,juni
Oslo,11368.0,3.2,744.0,7.0,2013,juni
Hedmark,2627.0,2.7,167.0,7.0,2013,juni
Oppland,2147.0,2.2,102.0,5.0,2013,juni
Buskerud,3565.0,2.5,216.0,6.0,2013,juni
Vestfold,3590.0,2.9,84.0,2.0,2013,juni
Telemark,2728.0,3.1,-107.0,-4.0,2013,juni
Aust-Agder,1691.0,3.0,-53.0,-3.0,2013,juni
Vest-Agder,2361.0,2.6,52.0,2.0,2013,juni
Rogaland,4301.0,1.7,10.0,0.0,2013,juni
Hordaland,5516.0,2.1,5.0,0.0,2013,juni
Sogn og Fjordane,996.0,1.7,125.0,14.0,2013,juni
Møre og Romsdal,2685.0,2.0,237.0,10.0,2013,juni
Sør-Trøndelag,3477.0,2.2,-56.0,-2.0,2013,juni
Nord-Trøndelag,1461.0,2.2,-69.0,-5.0,2013,juni
Nordland,3431.0,2.8,223.0,7.0,2013,juni
Troms,1957.0,2.3,138.0,8.0,2013,juni
Finnmark,1224.0,3.2,103.0,9.0,2013,juni
Øvrige områder,4.0,,-2.0,-33.0,2013,juni
Ukjent,58.0,,44.0,314.0,2013,juni
"1) NAV har endret variabelen for fordeling på fylke. Mer informasjon om dette finner du i ""Om tabellene"".",,,,,2013,juni
