Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),Prosent av arbeidsstyrken i fjor,År,Måned
November 2015,,,,,,2015,november
I alt,79159.0,2.9,8151.0,11.0,2.6,2015,november
Østfold,4543.0,3.2,-107.0,-2.0,3.3,2015,november
Akershus,7547.0,2.4,26.0,0.0,2.5,2015,november
Oslo,11563.0,3.2,-494.0,-4.0,3.4,2015,november
Hedmark,2177.0,2.2,-293.0,-12.0,2.6,2015,november
Oppland,1871.0,1.9,-36.0,-2.0,2.0,2015,november
Buskerud,3952.0,2.7,-17.0,0.0,2.8,2015,november
Vestfold,3446.0,2.8,-182.0,-5.0,3.0,2015,november
Telemark,2928.0,3.4,112.0,4.0,3.2,2015,november
Aust-Agder,2149.0,3.7,309.0,17.0,3.2,2015,november
Vest-Agder,3188.0,3.4,525.0,20.0,2.9,2015,november
Rogaland,10534.0,4.1,4728.0,81.0,2.3,2015,november
Hordaland,8291.0,3.0,2222.0,37.0,2.2,2015,november
Sogn og Fjordane,1036.0,1.8,113.0,12.0,1.6,2015,november
Møre og Romsdal,3957.0,2.8,1134.0,40.0,2.1,2015,november
Sør-Trøndelag,4127.0,2.5,287.0,7.0,2.3,2015,november
Nord-Trøndelag,1745.0,2.6,-2.0,0.0,2.6,2015,november
Nordland,3142.0,2.6,46.0,1.0,2.5,2015,november
Troms,1734.0,2.0,-20.0,-1.0,2.1,2015,november
Finnmark,1187.0,3.0,-102.0,-8.0,3.3,2015,november
Øvrige områder,14.0,,6.0,75.0,,2015,november
Ukjent,28.0,,-104.0,-79.0,,2015,november
