Geografi,År,Kjønn,Alder,Sykdomsgruppe,Måltall,value
Hele landet,2017,kjønn samlet,0-74 år,Psykiske symptomer og lidelser (P01-29 og P70-99),"per 1000, standardisert",150.885125095111
Hele landet,2017,kjønn samlet,0-74 år,Psykiske symptomer (P01-29),"per 1000, standardisert",103.158823690742
Hele landet,2017,kjønn samlet,0-74 år,Psykiske lidelser (P70-99),"per 1000, standardisert",72.5898950705466
Hele landet,2017,kjønn samlet,0-44 år,Psykiske symptomer og lidelser (P01-29 og P70-99),"per 1000, standardisert",136.087683390515
Hele landet,2017,kjønn samlet,0-44 år,Psykiske symptomer (P01-29),"per 1000, standardisert",89.8007799319366
Hele landet,2017,kjønn samlet,0-44 år,Psykiske lidelser (P70-99),"per 1000, standardisert",70.4158071143578
Hele landet,2017,kjønn samlet,0-24 år,Psykiske symptomer og lidelser (P01-29 og P70-99),"per 1000, standardisert",96.4335896564983
Hele landet,2017,kjønn samlet,0-24 år,Psykiske symptomer (P01-29),"per 1000, standardisert",62.6794738922531
Hele landet,2017,kjønn samlet,0-24 år,Psykiske lidelser (P70-99),"per 1000, standardisert",48.5247541648629
Hele landet,2017,kjønn samlet,0-14 år,Psykiske symptomer og lidelser (P01-29 og P70-99),"per 1000, standardisert",56.0671029185651
Hele landet,2017,kjønn samlet,0-14 år,Psykiske symptomer (P01-29),"per 1000, standardisert",40.0207633214845
Hele landet,2017,kjønn samlet,0-14 år,Psykiske lidelser (P70-99),"per 1000, standardisert",20.4986701033366
Hele landet,2017,kjønn samlet,15-24 år,Psykiske symptomer og lidelser (P01-29 og P70-99),"per 1000, standardisert",149.112330138509
Hele landet,2017,kjønn samlet,15-24 år,Psykiske symptomer (P01-29),"per 1000, standardisert",92.2055561342577
Hele landet,2017,kjønn samlet,15-24 år,Psykiske lidelser (P70-99),"per 1000, standardisert",85.0191841670006
Hele landet,2017,kjønn samlet,25-44 år,Psykiske symptomer og lidelser (P01-29 og P70-99),"per 1000, standardisert",176.392246302076
Hele landet,2017,kjønn samlet,25-44 år,Psykiske symptomer (P01-29),"per 1000, standardisert",117.241456263578
Hele landet,2017,kjønn samlet,25-44 år,Psykiske lidelser (P70-99),"per 1000, standardisert",92.7669687063617
Hele landet,2017,kjønn samlet,45-74 år,Psykiske symptomer og lidelser (P01-29 og P70-99),"per 1000, standardisert",173.822523857176
Hele landet,2017,kjønn samlet,45-74 år,Psykiske symptomer (P01-29),"per 1000, standardisert",123.812800658942
Hele landet,2017,kjønn samlet,45-74 år,Psykiske lidelser (P70-99),"per 1000, standardisert",76.0158056309205
Hele landet,2017,kjønn samlet,75-79 år,Psykiske symptomer og lidelser (P01-29 og P70-99),"per 1000, standardisert",177.921243347302
Hele landet,2017,kjønn samlet,75-79 år,Psykiske symptomer (P01-29),"per 1000, standardisert",128.628407356301
Hele landet,2017,kjønn samlet,75-79 år,Psykiske lidelser (P70-99),"per 1000, standardisert",72.2199213578292
Hele landet,2017,menn,0-74 år,Psykiske symptomer og lidelser (P01-29 og P70-99),"per 1000, standardisert",126.897452780977
Hele landet,2017,menn,0-74 år,Psykiske symptomer (P01-29),"per 1000, standardisert",85.6592459305141
Hele landet,2017,menn,0-74 år,Psykiske lidelser (P70-99),"per 1000, standardisert",61.4219839729555
Hele landet,2017,menn,0-44 år,Psykiske symptomer og lidelser (P01-29 og P70-99),"per 1000, standardisert",118.789435488007
Hele landet,2017,menn,0-44 år,Psykiske symptomer (P01-29),"per 1000, standardisert",77.0183957950865
Hele landet,2017,menn,0-44 år,Psykiske lidelser (P70-99),"per 1000, standardisert",62.0747939356945
Hele landet,2017,menn,0-24 år,Psykiske symptomer og lidelser (P01-29 og P70-99),"per 1000, standardisert",94.0534435279949
Hele landet,2017,menn,0-24 år,Psykiske symptomer (P01-29),"per 1000, standardisert",59.7687025453861
Hele landet,2017,menn,0-24 år,Psykiske lidelser (P70-99),"per 1000, standardisert",47.0504238338808
Hele landet,2017,menn,0-14 år,Psykiske symptomer og lidelser (P01-29 og P70-99),"per 1000, standardisert",68.7229128945908
Hele landet,2017,menn,0-14 år,Psykiske symptomer (P01-29),"per 1000, standardisert",47.4729634047663
Hele landet,2017,menn,0-14 år,Psykiske lidelser (P70-99),"per 1000, standardisert",26.7076457901937
Hele landet,2017,menn,15-24 år,Psykiske symptomer og lidelser (P01-29 og P70-99),"per 1000, standardisert",127.123487318826
Hele landet,2017,menn,15-24 år,Psykiske symptomer (P01-29),"per 1000, standardisert",75.7773986756702
Hele landet,2017,menn,15-24 år,Psykiske lidelser (P70-99),"per 1000, standardisert",73.5228737113706
Hele landet,2017,menn,25-44 år,Psykiske symptomer og lidelser (P01-29 og P70-99),"per 1000, standardisert",143.992702894424
Hele landet,2017,menn,25-44 år,Psykiske symptomer (P01-29),"per 1000, standardisert",94.4726661864215
Hele landet,2017,menn,25-44 år,Psykiske lidelser (P70-99),"per 1000, standardisert",77.4968586493389
Hele landet,2017,menn,45-74 år,Psykiske symptomer og lidelser (P01-29 og P70-99),"per 1000, standardisert",139.719706574168
Hele landet,2017,menn,45-74 år,Psykiske symptomer (P01-29),"per 1000, standardisert",99.2454209512274
Hele landet,2017,menn,45-74 år,Psykiske lidelser (P70-99),"per 1000, standardisert",60.470527665759
Hele landet,2017,menn,75-79 år,Psykiske symptomer og lidelser (P01-29 og P70-99),"per 1000, standardisert",137.654131446815
Hele landet,2017,menn,75-79 år,Psykiske symptomer (P01-29),"per 1000, standardisert",99.0899629033922
Hele landet,2017,menn,75-79 år,Psykiske lidelser (P70-99),"per 1000, standardisert",54.6099867440357
Hele landet,2017,kvinner,0-74 år,Psykiske symptomer og lidelser (P01-29 og P70-99),"per 1000, standardisert",175.786403959457
Hele landet,2017,kvinner,0-74 år,Psykiske symptomer (P01-29),"per 1000, standardisert",121.313815403886
Hele landet,2017,kvinner,0-74 år,Psykiske lidelser (P70-99),"per 1000, standardisert",84.1954155211573
Hele landet,2017,kvinner,0-44 år,Psykiske symptomer og lidelser (P01-29 og P70-99),"per 1000, standardisert",154.219778924042
Hele landet,2017,kvinner,0-44 år,Psykiske symptomer (P01-29),"per 1000, standardisert",103.181102118298
Hele landet,2017,kvinner,0-44 år,Psykiske lidelser (P70-99),"per 1000, standardisert",79.1762381443554
Hele landet,2017,kvinner,0-24 år,Psykiske symptomer og lidelser (P01-29 og P70-99),"per 1000, standardisert",98.8990121910338
Hele landet,2017,kvinner,0-24 år,Psykiske symptomer (P01-29),"per 1000, standardisert",65.6972422152801
Hele landet,2017,kvinner,0-24 år,Psykiske lidelser (P70-99),"per 1000, standardisert",50.0765649607448
Hele landet,2017,kvinner,0-14 år,Psykiske symptomer og lidelser (P01-29 og P70-99),"per 1000, standardisert",42.6580604392756
Hele landet,2017,kvinner,0-14 år,Psykiske symptomer (P01-29),"per 1000, standardisert",32.1003619343656
Hele landet,2017,kvinner,0-14 år,Psykiske lidelser (P70-99),"per 1000, standardisert",13.9266606850156
Hele landet,2017,kvinner,15-24 år,Psykiske symptomer og lidelser (P01-29 og P70-99),"per 1000, standardisert",172.375994453845
Hele landet,2017,kvinner,15-24 år,Psykiske symptomer (P01-29),"per 1000, standardisert",109.574776457416
Hele landet,2017,kvinner,15-24 år,Psykiske lidelser (P70-99),"per 1000, standardisert",97.1944866325773
Hele landet,2017,kvinner,25-44 år,Psykiske symptomer og lidelser (P01-29 og P70-99),"per 1000, standardisert",210.225853974309
Hele landet,2017,kvinner,25-44 år,Psykiske symptomer (P01-29),"per 1000, standardisert",141.007072622649
Hele landet,2017,kvinner,25-44 år,Psykiske lidelser (P70-99),"per 1000, standardisert",108.720778702627
Hele landet,2017,kvinner,45-74 år,Psykiske symptomer og lidelser (P01-29 og P70-99),"per 1000, standardisert",208.604859937202
Hele landet,2017,kvinner,45-74 år,Psykiske symptomer (P01-29),"per 1000, standardisert",148.865792859789
Hele landet,2017,kvinner,45-74 år,Psykiske lidelser (P70-99),"per 1000, standardisert",91.8816141387175
Hele landet,2017,kvinner,75-79 år,Psykiske symptomer og lidelser (P01-29 og P70-99),"per 1000, standardisert",215.104498323023
Hele landet,2017,kvinner,75-79 år,Psykiske symptomer (P01-29),"per 1000, standardisert",155.921815351636
Hele landet,2017,kvinner,75-79 år,Psykiske lidelser (P70-99),"per 1000, standardisert",88.5109511089242
Hele landet,2018,kjønn samlet,0-74 år,Psykiske symptomer og lidelser (P01-29 og P70-99),"per 1000, standardisert",153.205203872991
Hele landet,2018,kjønn samlet,0-74 år,Psykiske symptomer (P01-29),"per 1000, standardisert",105.206670040366
Hele landet,2018,kjønn samlet,0-74 år,Psykiske lidelser (P70-99),"per 1000, standardisert",73.4975451306126
Hele landet,2018,kjønn samlet,0-44 år,Psykiske symptomer og lidelser (P01-29 og P70-99),"per 1000, standardisert",140.084263292241
Hele landet,2018,kjønn samlet,0-44 år,Psykiske symptomer (P01-29),"per 1000, standardisert",92.7919407209469
Hele landet,2018,kjønn samlet,0-44 år,Psykiske lidelser (P70-99),"per 1000, standardisert",72.3652247338014
Hele landet,2018,kjønn samlet,0-24 år,Psykiske symptomer og lidelser (P01-29 og P70-99),"per 1000, standardisert",99.1027633158087
Hele landet,2018,kjønn samlet,0-24 år,Psykiske symptomer (P01-29),"per 1000, standardisert",64.8637429858777
Hele landet,2018,kjønn samlet,0-24 år,Psykiske lidelser (P70-99),"per 1000, standardisert",49.6846660795647
Hele landet,2018,kjønn samlet,0-14 år,Psykiske symptomer og lidelser (P01-29 og P70-99),"per 1000, standardisert",56.0270454954219
Hele landet,2018,kjønn samlet,0-14 år,Psykiske symptomer (P01-29),"per 1000, standardisert",40.0541987205245
Hele landet,2018,kjønn samlet,0-14 år,Psykiske lidelser (P70-99),"per 1000, standardisert",20.6011844531785
Hele landet,2018,kjønn samlet,15-24 år,Psykiske symptomer og lidelser (P01-29 og P70-99),"per 1000, standardisert",155.421398824624
Hele landet,2018,kjønn samlet,15-24 år,Psykiske symptomer (P01-29),"per 1000, standardisert",97.2616240531696
Hele landet,2018,kjønn samlet,15-24 år,Psykiske lidelser (P70-99),"per 1000, standardisert",87.631817181284
Hele landet,2018,kjønn samlet,25-44 år,Psykiske symptomer og lidelser (P01-29 og P70-99),"per 1000, standardisert",181.748738371664
Hele landet,2018,kjønn samlet,25-44 år,Psykiske symptomer (P01-29),"per 1000, standardisert",121.053193955758
Hele landet,2018,kjønn samlet,25-44 år,Psykiske lidelser (P70-99),"per 1000, standardisert",95.5236497957705
Hele landet,2018,kjønn samlet,45-74 år,Psykiske symptomer og lidelser (P01-29 og P70-99),"per 1000, standardisert",173.414044010743
Hele landet,2018,kjønn samlet,45-74 år,Psykiske symptomer (P01-29),"per 1000, standardisert",124.314279629237
Hele landet,2018,kjønn samlet,45-74 år,Psykiske lidelser (P70-99),"per 1000, standardisert",75.2325660936389
Hele landet,2018,kjønn samlet,75-79 år,Psykiske symptomer og lidelser (P01-29 og P70-99),"per 1000, standardisert",174.43593788005
Hele landet,2018,kjønn samlet,75-79 år,Psykiske symptomer (P01-29),"per 1000, standardisert",127.456435342409
Hele landet,2018,kjønn samlet,75-79 år,Psykiske lidelser (P70-99),"per 1000, standardisert",69.304150903347
Hele landet,2018,menn,0-74 år,Psykiske symptomer og lidelser (P01-29 og P70-99),"per 1000, standardisert",129.411403028447
Hele landet,2018,menn,0-74 år,Psykiske symptomer (P01-29),"per 1000, standardisert",88.0049254543635
Hele landet,2018,menn,0-74 år,Psykiske lidelser (P70-99),"per 1000, standardisert",62.1641544303686
Hele landet,2018,menn,0-44 år,Psykiske symptomer og lidelser (P01-29 og P70-99),"per 1000, standardisert",122.105278025873
Hele landet,2018,menn,0-44 år,Psykiske symptomer (P01-29),"per 1000, standardisert",79.6257467424015
Hele landet,2018,menn,0-44 år,Psykiske lidelser (P70-99),"per 1000, standardisert",63.565501804813
Hele landet,2018,menn,0-24 år,Psykiske symptomer og lidelser (P01-29 og P70-99),"per 1000, standardisert",96.0008527652419
Hele landet,2018,menn,0-24 år,Psykiske symptomer (P01-29),"per 1000, standardisert",61.5946416050502
Hele landet,2018,menn,0-24 år,Psykiske lidelser (P70-99),"per 1000, standardisert",47.8887787683712
Hele landet,2018,menn,0-14 år,Psykiske symptomer og lidelser (P01-29 og P70-99),"per 1000, standardisert",67.621477045424
Hele landet,2018,menn,0-14 år,Psykiske symptomer (P01-29),"per 1000, standardisert",46.7802180441835
Hele landet,2018,menn,0-14 år,Psykiske lidelser (P70-99),"per 1000, standardisert",26.4012363249429
Hele landet,2018,menn,15-24 år,Psykiske symptomer og lidelser (P01-29 og P70-99),"per 1000, standardisert",133.185782449257
Hele landet,2018,menn,15-24 år,Psykiske symptomer (P01-29),"per 1000, standardisert",80.9815399019122
Hele landet,2018,menn,15-24 år,Psykiske lidelser (P70-99),"per 1000, standardisert",75.9474185678487
Hele landet,2018,menn,25-44 år,Psykiske symptomer og lidelser (P01-29 og P70-99),"per 1000, standardisert",148.751147525403
Hele landet,2018,menn,25-44 år,Psykiske symptomer (P01-29),"per 1000, standardisert",97.8954302236109
Hele landet,2018,menn,25-44 år,Psykiske lidelser (P70-99),"per 1000, standardisert",79.6690459457938
Hele landet,2018,menn,45-74 år,Psykiske symptomer og lidelser (P01-29 og P70-99),"per 1000, standardisert",140.872930146721
