Geografi,År,Kjønn,Alder,Dødsårsaker,Måltall,Verdi
Hele landet,2017,menn,alle aldre,Alle dødsårsaker,"per 100.000, standardisert",831.531406986108
Hele landet,2017,menn,alle aldre,Diabetes,"per 100.000, standardisert",12.6180340294973
Hele landet,2017,menn,alle aldre,Kreft,"per 100.000, standardisert",247.790691544229
Hele landet,2017,menn,alle aldre,Brystkreft,"per 100.000, standardisert",:
Hele landet,2017,menn,alle aldre,Føflekkreft,"per 100.000, standardisert",6.75766411837852
Hele landet,2017,menn,alle aldre,Lungekreft,"per 100.000, standardisert",50.2766512978761
Hele landet,2017,menn,alle aldre,Magekreft,"per 100.000, standardisert",7.47944116354691
Hele landet,2017,menn,alle aldre,Prostatakreft,"per 100.000, standardisert",40.5072374880003
Hele landet,2017,menn,alle aldre,Tykktarmskreft,"per 100.000, standardisert",24.9120399978703
Hele landet,2017,menn,alle aldre,Hjerte- og karsykdommer,"per 100.000, standardisert",210.864240460547
Hele landet,2017,menn,alle aldre,Lungesykdommer,"per 100.000, standardisert",92.5476475815129
Hele landet,2017,menn,alle aldre,Fordøyelsessykdommer,"per 100.000, standardisert",25.889863886234
Hele landet,2017,menn,alle aldre,Voldsomme dødsfall,"per 100.000, standardisert",57.5437878898127
Hele landet,2017,menn,alle aldre,Ulykker,"per 100.000, standardisert",41.3230837307726
Hele landet,2017,menn,alle aldre,Trafikkulykker,"per 100.000, standardisert",2.80440413590565
Hele landet,2017,menn,alle aldre,Selvmord,"per 100.000, standardisert",15.5956935076214
Hele landet,2017,menn,alle aldre,KOLS og lungekreft (røykerelaterte dødsfall),"per 100.000, standardisert",93.3234618860538
Hele landet,2017,menn,0-74 år,Alle dødsårsaker,"per 100.000, standardisert",310.5752527198
Hele landet,2017,menn,0-74 år,Diabetes,"per 100.000, standardisert",4.78334965842851
Hele landet,2017,menn,0-74 år,Kreft,"per 100.000, standardisert",116.750262372624
Hele landet,2017,menn,0-74 år,Brystkreft,"per 100.000, standardisert",:
Hele landet,2017,menn,0-74 år,Føflekkreft,"per 100.000, standardisert",3.18530583027041
Hele landet,2017,menn,0-74 år,Lungekreft,"per 100.000, standardisert",27.099765378976
Hele landet,2017,menn,0-74 år,Magekreft,"per 100.000, standardisert",4.30539086687099
Hele landet,2017,menn,0-74 år,Prostatakreft,"per 100.000, standardisert",8.77648513628184
Hele landet,2017,menn,0-74 år,Tykktarmskreft,"per 100.000, standardisert",11.94342487685
Hele landet,2017,menn,0-74 år,Hjerte- og karsykdommer,"per 100.000, standardisert",64.847181112572
Hele landet,2017,menn,0-74 år,Lungesykdommer,"per 100.000, standardisert",22.2974853346507
Hele landet,2017,menn,0-74 år,Fordøyelsessykdommer,"per 100.000, standardisert",10.9725675545494
Hele landet,2017,menn,0-74 år,Voldsomme dødsfall,"per 100.000, standardisert",36.8560101001225
Hele landet,2017,menn,0-74 år,Ulykker,"per 100.000, standardisert",21.0517735725432
Hele landet,2017,menn,0-74 år,Trafikkulykker,"per 100.000, standardisert",2.43773606204985
Hele landet,2017,menn,0-74 år,Selvmord,"per 100.000, standardisert",15.094805114288
Hele landet,2017,menn,0-74 år,KOLS og lungekreft (røykerelaterte dødsfall),"per 100.000, standardisert",40.7413144477363
Hele landet,2017,menn,0-44 år,Alle dødsårsaker,"per 100.000, standardisert",51.9721020927001
