Geografi,År,Kjønn,Alder,Krefttyper,Måltall,value
Hele landet,2009-2018,kjønn samlet,alle aldre,"Totalt alle krefttyper (C00-96, D32-33, D45-47)","per 100 000, standardisert",643.067475172724
Hele landet,2009-2018,kjønn samlet,alle aldre,Tykk- og endetarmskreft (C18-20),"per 100 000, standardisert",87.5494723716732
Hele landet,2009-2018,kjønn samlet,alle aldre,Lungekreft (C33-34),"per 100 000, standardisert",65.0527329227603
Hele landet,2009-2018,kjønn samlet,alle aldre,Hudkreft (C43-44),"per 100 000, standardisert",79.55238021831
Hele landet,2009-2018,kjønn samlet,alle aldre,Føflekkreft (malignt melanom),"per 100 000, standardisert",39.620063685565
Hele landet,2009-2018,kjønn samlet,alle aldre,Brystkreft (C50),"per 100 000, standardisert",65.1670745186028
Hele landet,2009-2018,kjønn samlet,alle aldre,"Livmorhalskreft, kvinner","per 100 000, standardisert",:
Hele landet,2009-2018,kjønn samlet,alle aldre,Prostatakreft (C61),"per 100 000, standardisert",:
Hele landet,2009-2018,kjønn samlet,0-74 år,"Totalt alle krefttyper (C00-96, D32-33, D45-47)","per 100 000, standardisert",457.252186606345
Hele landet,2009-2018,kjønn samlet,0-74 år,Tykk- og endetarmskreft (C18-20),"per 100 000, standardisert",53.9130730201253
Hele landet,2009-2018,kjønn samlet,0-74 år,Lungekreft (C33-34),"per 100 000, standardisert",44.2621574089195
Hele landet,2009-2018,kjønn samlet,0-74 år,Hudkreft (C43-44),"per 100 000, standardisert",47.0144510483642
Hele landet,2009-2018,kjønn samlet,0-74 år,Føflekkreft (malignt melanom),"per 100 000, standardisert",31.2880422772441
Hele landet,2009-2018,kjønn samlet,0-74 år,Brystkreft (C50),"per 100 000, standardisert",56.5550196629328
Hele landet,2009-2018,kjønn samlet,0-74 år,"Livmorhalskreft, kvinner","per 100 000, standardisert",:
Hele landet,2009-2018,kjønn samlet,0-74 år,Prostatakreft (C61),"per 100 000, standardisert",:
Hele landet,2009-2018,kjønn samlet,0-44 år,"Totalt alle krefttyper (C00-96, D32-33, D45-47)","per 100 000, standardisert",73.6567611228248
Hele landet,2009-2018,kjønn samlet,0-44 år,Tykk- og endetarmskreft (C18-20),"per 100 000, standardisert",4.55868355743069
Hele landet,2009-2018,kjønn samlet,0-44 år,Lungekreft (C33-34),"per 100 000, standardisert",0.851335899461483
Hele landet,2009-2018,kjønn samlet,0-44 år,Hudkreft (C43-44),"per 100 000, standardisert",9.70223958118564
Hele landet,2009-2018,kjønn samlet,0-44 år,Føflekkreft (malignt melanom),"per 100 000, standardisert",8.79665057461067
Hele landet,2009-2018,kjønn samlet,0-44 år,Brystkreft (C50),"per 100 000, standardisert",11.1973722535718
Hele landet,2009-2018,kjønn samlet,0-44 år,"Livmorhalskreft, kvinner","per 100 000, standardisert",:
Hele landet,2009-2018,kjønn samlet,0-44 år,Prostatakreft (C61),"per 100 000, standardisert",:
Hele landet,2009-2018,kjønn samlet,45-74 år,"Totalt alle krefttyper (C00-96, D32-33, D45-47)","per 100 000, standardisert",1070.27997945043
Hele landet,2009-2018,kjønn samlet,45-74 år,Tykk- og endetarmskreft (C18-20),"per 100 000, standardisert",133.020674587319
Hele landet,2009-2018,kjønn samlet,45-74 år,Lungekreft (C33-34),"per 100 000, standardisert",113.756697667873
Hele landet,2009-2018,kjønn samlet,45-74 år,Hudkreft (C43-44),"per 100 000, standardisert",106.290757638986
Hele landet,2009-2018,kjønn samlet,45-74 år,Føflekkreft (malignt melanom),"per 100 000, standardisert",66.984246297587
Hele landet,2009-2018,kjønn samlet,45-74 år,Brystkreft (C50),"per 100 000, standardisert",129.121367598224
Hele landet,2009-2018,kjønn samlet,45-74 år,"Livmorhalskreft, kvinner","per 100 000, standardisert",:
Hele landet,2009-2018,kjønn samlet,45-74 år,Prostatakreft (C61),"per 100 000, standardisert",:
Hele landet,2009-2018,kjønn samlet,75 år og eldre,"Totalt alle krefttyper (C00-96, D32-33, D45-47)","per 100 000, standardisert",2844.39242813839
