Geografi,År,Kjønn,Alder,Sykdomsgruppe,Måltall,value
Hele landet,2017,kjønn samlet,alle aldre,Hjerte og karsykdom (I00-I99),"per 1000, standardisert",18.5142327710724
Hele landet,2017,kjønn samlet,alle aldre,KOLS (J44),"per 1000, standardisert",1.65074580777291
Hele landet,2017,kjønn samlet,alle aldre,Sykdom i muskel-skjelettsystemet og bindevev (M00-M99),"per 1000, standardisert",17.8361862210992
Hele landet,2017,kjønn samlet,alle aldre,Personskader (S00-T78),"per 1000, standardisert",13.716733687877
Hele landet,2017,kjønn samlet,alle aldre,Hodeskader (S00-S09),"per 1000, standardisert",2.44371872002062
Hele landet,2017,kjønn samlet,alle aldre,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",1.89992262311631
Hele landet,2017,kjønn samlet,alle aldre,Forgiftninger (T36-T65),"per 1000, standardisert",0.856091425241688
Hele landet,2017,kjønn samlet,0-74 år,Hjerte og karsykdom (I00-I99),"per 1000, standardisert",11.5648070232431
Hele landet,2017,kjønn samlet,0-74 år,KOLS (J44),"per 1000, standardisert",0.869814701915959
Hele landet,2017,kjønn samlet,0-74 år,Sykdom i muskel-skjelettsystemet og bindevev (M00-M99),"per 1000, standardisert",15.9587992487964
Hele landet,2017,kjønn samlet,0-74 år,Personskader (S00-T78),"per 1000, standardisert",10.8507797581367
Hele landet,2017,kjønn samlet,0-74 år,Hodeskader (S00-S09),"per 1000, standardisert",1.99209696559651
Hele landet,2017,kjønn samlet,0-74 år,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",0.52372479131462
Hele landet,2017,kjønn samlet,0-74 år,Forgiftninger (T36-T65),"per 1000, standardisert",0.847509010224431
Hele landet,2017,kjønn samlet,0-44 år,Hjerte og karsykdom (I00-I99),"per 1000, standardisert",2.31858184006219
Hele landet,2017,kjønn samlet,0-44 år,KOLS (J44),"per 1000, standardisert",0.0265641095899235
Hele landet,2017,kjønn samlet,0-44 år,Sykdom i muskel-skjelettsystemet og bindevev (M00-M99),"per 1000, standardisert",8.15423794229916
Hele landet,2017,kjønn samlet,0-44 år,Personskader (S00-T78),"per 1000, standardisert",9.4213367226865
Hele landet,2017,kjønn samlet,0-44 år,Hodeskader (S00-S09),"per 1000, standardisert",2.06725518613127
Hele landet,2017,kjønn samlet,0-44 år,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",0.0441488125032862
Hele landet,2017,kjønn samlet,0-44 år,Forgiftninger (T36-T65),"per 1000, standardisert",0.934619793794087
Hele landet,2017,kjønn samlet,0-24 år,Hjerte og karsykdom (I00-I99),"per 1000, standardisert",0.88421396853415
Hele landet,2017,kjønn samlet,0-24 år,KOLS (J44),"per 1000, standardisert",0.0237977603267903
Hele landet,2017,kjønn samlet,0-24 år,Sykdom i muskel-skjelettsystemet og bindevev (M00-M99),"per 1000, standardisert",4.74300529068146
Hele landet,2017,kjønn samlet,0-24 år,Personskader (S00-T78),"per 1000, standardisert",10.4834217100992
Hele landet,2017,kjønn samlet,0-24 år,Hodeskader (S00-S09),"per 1000, standardisert",2.66346599671804
Hele landet,2017,kjønn samlet,0-24 år,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",0.0327890512244762
Hele landet,2017,kjønn samlet,0-24 år,Forgiftninger (T36-T65),"per 1000, standardisert",0.955880193399559
Hele landet,2017,kjønn samlet,0-14 år,Hjerte og karsykdom (I00-I99),"per 1000, standardisert",0.467226078642695
Hele landet,2017,kjønn samlet,0-14 år,KOLS (J44),"per 1000, standardisert",0.0314593297640007
Hele landet,2017,kjønn samlet,0-14 år,Sykdom i muskel-skjelettsystemet og bindevev (M00-M99),"per 1000, standardisert",2.34675107160138
Hele landet,2017,kjønn samlet,0-14 år,Personskader (S00-T78),"per 1000, standardisert",9.08966237731827
Hele landet,2017,kjønn samlet,0-14 år,Hodeskader (S00-S09),"per 1000, standardisert",2.67810535426073
Hele landet,2017,kjønn samlet,0-14 år,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",0.0351354835390983
Hele landet,2017,kjønn samlet,0-14 år,Forgiftninger (T36-T65),"per 1000, standardisert",0.279909432983659
Hele landet,2017,kjønn samlet,15-24 år,Hjerte og karsykdom (I00-I99),"per 1000, standardisert",1.43314726537179
Hele landet,2017,kjønn samlet,15-24 år,KOLS (J44),"per 1000, standardisert",0.0136901283981973
Hele landet,2017,kjønn samlet,15-24 år,Sykdom i muskel-skjelettsystemet og bindevev (M00-M99),"per 1000, standardisert",7.86798419265486
Hele landet,2017,kjønn samlet,15-24 år,Personskader (S00-T78),"per 1000, standardisert",12.3364404559621
Hele landet,2017,kjønn samlet,15-24 år,Hodeskader (S00-S09),"per 1000, standardisert",2.67971432272606
Hele landet,2017,kjønn samlet,15-24 år,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",0.0292045174132222
Hele landet,2017,kjønn samlet,15-24 år,Forgiftninger (T36-T65),"per 1000, standardisert",1.83722686346985
Hele landet,2017,kjønn samlet,25-44 år,Hjerte og karsykdom (I00-I99),"per 1000, standardisert",3.78559898936559
Hele landet,2017,kjønn samlet,25-44 år,KOLS (J44),"per 1000, standardisert",0.0292605210626973
Hele landet,2017,kjønn samlet,25-44 år,Sykdom i muskel-skjelettsystemet og bindevev (M00-M99),"per 1000, standardisert",11.6267854581631
Hele landet,2017,kjønn samlet,25-44 år,Personskader (S00-T78),"per 1000, standardisert",8.3781869493338
Hele landet,2017,kjønn samlet,25-44 år,Hodeskader (S00-S09),"per 1000, standardisert",1.48583068082937
Hele landet,2017,kjønn samlet,25-44 år,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",0.0557399706668833
Hele landet,2017,kjønn samlet,25-44 år,Forgiftninger (T36-T65),"per 1000, standardisert",0.91464202790189
Hele landet,2017,kjønn samlet,45-74 år,Hjerte og karsykdom (I00-I99),"per 1000, standardisert",25.7768708192819
Hele landet,2017,kjønn samlet,45-74 år,KOLS (J44),"per 1000, standardisert",2.164981150941
Hele landet,2017,kjønn samlet,45-74 år,Sykdom i muskel-skjelettsystemet og bindevev (M00-M99),"per 1000, standardisert",27.9305105537451
Hele landet,2017,kjønn samlet,45-74 år,Personskader (S00-T78),"per 1000, standardisert",13.0496949075684
Hele landet,2017,kjønn samlet,45-74 år,Hodeskader (S00-S09),"per 1000, standardisert",1.8637052380406
Hele landet,2017,kjønn samlet,45-74 år,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",1.26085904014637
Hele landet,2017,kjønn samlet,45-74 år,Forgiftninger (T36-T65),"per 1000, standardisert",0.714828438458473
Hele landet,2017,kjønn samlet,45-64 år,Hjerte og karsykdom (I00-I99),"per 1000, standardisert",17.8474402466322
Hele landet,2017,kjønn samlet,45-64 år,KOLS (J44),"per 1000, standardisert",0.942965316762989
Hele landet,2017,kjønn samlet,45-64 år,Sykdom i muskel-skjelettsystemet og bindevev (M00-M99),"per 1000, standardisert",25.5078516199922
Hele landet,2017,kjønn samlet,45-64 år,Personskader (S00-T78),"per 1000, standardisert",11.3302571961842
Hele landet,2017,kjønn samlet,45-64 år,Hodeskader (S00-S09),"per 1000, standardisert",1.61718274272211
Hele landet,2017,kjønn samlet,45-64 år,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",0.588048795697581
Hele landet,2017,kjønn samlet,45-64 år,Forgiftninger (T36-T65),"per 1000, standardisert",0.717782435052325
Hele landet,2017,kjønn samlet,65-74 år,Hjerte og karsykdom (I00-I99),"per 1000, standardisert",46.0589840282328
Hele landet,2017,kjønn samlet,65-74 år,KOLS (J44),"per 1000, standardisert",5.29149822806617
Hele landet,2017,kjønn samlet,65-74 år,Sykdom i muskel-skjelettsystemet og bindevev (M00-M99),"per 1000, standardisert",34.1048946577075
Hele landet,2017,kjønn samlet,65-74 år,Personskader (S00-T78),"per 1000, standardisert",17.4394539413552
Hele landet,2017,kjønn samlet,65-74 år,Hodeskader (S00-S09),"per 1000, standardisert",2.48988788961651
Hele landet,2017,kjønn samlet,65-74 år,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",2.98398725580728
Hele landet,2017,kjønn samlet,65-74 år,Forgiftninger (T36-T65),"per 1000, standardisert",0.709589170012882
Hele landet,2017,kjønn samlet,75 år+,Hjerte og karsykdom (I00-I99),"per 1000, standardisert",85.5394089956359
Hele landet,2017,kjønn samlet,75 år+,KOLS (J44),"per 1000, standardisert",9.02849672312119
Hele landet,2017,kjønn samlet,75 år+,Sykdom i muskel-skjelettsystemet og bindevev (M00-M99),"per 1000, standardisert",34.4002269448929
