10484: Persontransport med jernbane, etter år, statistikkvariabel og togstrekning;;;;
;;;;
;Passasjerer (påstigninger);;Transportarbeid (passasjerkm);
;260 InterCity - Oslo-Skien;321 Sørlandsbanen;260 InterCity - Oslo-Skien;321 Sørlandsbanen
2015;4634886;980529;301463776;274499861
2016;4883060;1014556;320031747;289752778
2017;6483619;963356;376868728;256265351
2018;6793149;984917;382598734;258418900
2019;7825452;1024564;420172278;262914111
2020;4039189;442996;213404149;134705604
2021;3920960;381908;200883425;98151109
2022;7003721;680442;382863998;177893572
2023;8214088;744541;489976853;186400759
;;;;
;;;;
Sist endret:;;;;
Passasjerer (påstigninger):;;;;
20240530 08:00;;;;
Transportarbeid (passasjerkm):;;;;
20240530 08:00;;;;
;;;;
Kilde:;;;;
Statistisk sentralbyrå;;;;
;;;;
Kontakt:;;;;
Passasjerer (påstigninger):;;;;
Jardar Andersen, Statistisk sentralbyrå;;;;
 +47 99700804;;;;
jrs@ssb.no;;;;
;;;;
;;;;
;;;;
;;;;
Måleenhet:;;;;
Passasjerer (påstigninger):;;;;
personer;;;;
Transportarbeid (passasjerkm):;;;;
passasjerkm;;;;
Målemetode:;;;;
Passasjerer (påstigninger):;;;;
Forløp (periodesum);;;;
Transportarbeid (passasjerkm):;;;;
Forløp (periodesum);;;;
;;;;
Referansetid:;;;;
Passasjerer (påstigninger);;;;
01.01-31.12;;;;
Transportarbeid (passasjerkm);;;;
01.01-31.12;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
Offisiell statistikk;;;;
;;;;
Database:;;;;
Ekstern PRODUKSJON;;;;
;;;;
Intern referansekode:;;;;
Passasjerer;;;;
