Kommune;Periode;År;Måned;Passasjerer
Drangedal;2024/06;2024;6;4 884
Fyresdal;2024/06;2024;6;742
Hjartdal;2024/06;2024;6;1 034
Kragerø;2024/06;2024;6;38 990
Kviteseid;2024/06;2024;6;2 729
Midt-Telemark;2024/06;2024;6;15 347
Nissedal;2024/06;2024;6;941
Nome;2024/06;2024;6;12 202
Notodden;2024/06;2024;6;13 364
Porsgrunn;2024/06;2024;6;150 421
Seljord;2024/06;2024;6;4 349
Siljan;2024/06;2024;6;4 244
Skien;2024/06;2024;6;188 210
Tinn;2024/06;2024;6;8 982
Tokke;2024/06;2024;6;2 264
Vinje;2024/06;2024;6;3 958
Agder;2024/05;2024;5;50
Bamble;2024/05;2024;5;41 487
Drangedal;2024/05;2024;5;6 593
Fyresdal;2024/05;2024;5;1 014
Hjartdal;2024/05;2024;5;1 670
Kragerø;2024/05;2024;5;38 746
Kviteseid;2024/05;2024;5;4 020
Midt-Telemark;2024/05;2024;5;19 239
Nissedal;2024/05;2024;5;1 172
Nome;2024/05;2024;5;15 085
Notodden;2024/05;2024;5;16 970
Porsgrunn;2024/05;2024;5;171 483
Seljord;2024/05;2024;5;5 357
Siljan;2024/05;2024;5;4 682
Skien;2024/05;2024;5;214 455
Tinn;2024/05;2024;5;11 150
Tokke;2024/05;2024;5;3 094
Vinje;2024/05;2024;5;5 615
Agder;2024/04;2024;4;59
Bamble;2024/04;2024;4;45 991
Drangedal;2024/04;2024;4;7 700
Fyresdal;2024/04;2024;4;1 288
Hjartdal;2024/04;2024;4;2 037
Kragerø;2024/04;2024;4;31 850
Kviteseid;2024/04;2024;4;4 708
Midt-Telemark;2024/04;2024;4;24 464
Nissedal;2024/04;2024;4;1 509
Nome;2024/04;2024;4;18 014
Notodden;2024/04;2024;4;20 867
Porsgrunn;2024/04;2024;4;186 160
Seljord;2024/04;2024;4;6 006
Siljan;2024/04;2024;4;5 914
Skien;2024/04;2024;4;249 572
Tinn;2024/04;2024;4;13 621
Tokke;2024/04;2024;4;3 923
Vinje;2024/04;2024;4;6 497
Agder;2024/03;2024;3;36
Bamble;2024/03;2024;3;40 045
Drangedal;2024/03;2024;3;5 835
Fyresdal;2024/03;2024;3;984
Hjartdal;2024/03;2024;3;1 620
Kragerø;2024/03;2024;3;30 721
Kviteseid;2024/03;2024;3;3 542
Midt-Telemark;2024/03;2024;3;20 212
Nissedal;2024/03;2024;3;1 260
Nome;2024/03;2024;3;15 070
Notodden;2024/03;2024;3;18 638
Porsgrunn;2024/03;2024;3;169 423
Seljord;2024/03;2024;3;4 866
Siljan;2024/03;2024;3;4 885
Skien;2024/03;2024;3;221 685
Tinn;2024/03;2024;3;11 615
Tokke;2024/03;2024;3;3 009
Vinje;2024/03;2024;3;5 603
Agder;2024/02;2024;2;38
Bamble;2024/02;2024;2;41 065
Drangedal;2024/02;2024;2;5 852
Fyresdal;2024/02;2024;2;972
Hjartdal;2024/02;2024;2;1 671
Kragerø;2024/02;2024;2;23 360
Kviteseid;2024/02;2024;2;3 298
Midt-Telemark;2024/02;2024;2;20 884
Nissedal;2024/02;2024;2;1 158
Nome;2024/02;2024;2;15 738
Notodden;2024/02;2024;2;19 052
Porsgrunn;2024/02;2024;2;173 758
Seljord;2024/02;2024;2;5 032
Siljan;2024/02;2024;2;4 874
Skien;2024/02;2024;2;233 357
Tinn;2024/02;2024;2;11 574
Tokke;2024/02;2024;2;2 993
Vinje;2024/02;2024;2;5 227
Agder;2024/01;2024;1;33
Bamble;2024/01;2024;1;42 707
Drangedal;2024/01;2024;1;7 029
Fyresdal;2024/01;2024;1;1 250
Hjartdal;2024/01;2024;1;2 052
Kragerø;2024/01;2024;1;27 490
Kviteseid;2024/01;2024;1;4 283
Midt-Telemark;2024/01;2024;1;22 486
Nissedal;2024/01;2024;1;1 439
Nome;2024/01;2024;1;16 547
Notodden;2024/01;2024;1;20 906
Porsgrunn;2024/01;2024;1;181 656
Seljord;2024/01;2024;1;5 707
Siljan;2024/01;2024;1;5 728
Skien;2024/01;2024;1;245 634
Tinn;2024/01;2024;1;12 897
Tokke;2024/01;2024;1;3 857
Vinje;2024/01;2024;1;6 729
Bamble;2023/12;2023;12;37075
Drangedal;2023/12;2023;12;5820
Fyresdal;2023/12;2023;12;1013
Færder;2023/12;2023;12;82319
Hjartdal;2023/12;2023;12;1469
Holmestrand;2023/12;2023;12;56111
Horten;2023/12;2023;12;74812
Kragerø;2023/12;2023;12;24850
Kviteseid;2023/12;2023;12;3294
Larvik;2023/12;2023;12;104796
Midt-Telemark;2023/12;2023;12;17961
Nissedal;2023/12;2023;12;1173
Nome;2023/12;2023;12;14293
Notodden;2023/12;2023;12;17434
Porsgrunn;2023/12;2023;12;158474
Sandefjord;2023/12;2023;12;135561
Seljord;2023/12;2023;12;4529
Siljan;2023/12;2023;12;4397
Skien;2023/12;2023;12;212146
Tinn;2023/12;2023;12;10765
Tokke;2023/12;2023;12;3039
Tønsberg;2023/12;2023;12;309668
Vinje;2023/12;2023;12;5130
Bamble;2023/11;2023;11;45862
Drangedal;2023/11;2023;11;7868
Fyresdal;2023/11;2023;11;1613
Færder;2023/11;2023;11;106027
Hjartdal;2023/11;2023;11;2389
Holmestrand;2023/11;2023;11;77670
Horten;2023/11;2023;11;99223
Kragerø;2023/11;2023;11;29796
Kviteseid;2023/11;2023;11;4746
Larvik;2023/11;2023;11;137281
Midt-Telemark;2023/11;2023;11;26140
Nissedal;2023/11;2023;11;1720
Nome;2023/11;2023;11;19424
Notodden;2023/11;2023;11;24009
Porsgrunn;2023/11;2023;11;203398
Sandefjord;2023/11;2023;11;177139
Seljord;2023/11;2023;11;6210
Siljan;2023/11;2023;11;6404
Skien;2023/11;2023;11;263952
Tinn;2023/11;2023;11;15303
Tokke;2023/11;2023;11;4305
Tønsberg;2023/11;2023;11;391617
Vinje;2023/11;2023;11;7087
Bamble;2023/10;2023;10;41344
Drangedal;2023/10;2023;10;6852
Fyresdal;2023/10;2023;10;1289
Færder;2023/10;2023;10;93128
Hjartdal;2023/10;2023;10;1813
Holmestrand;2023/10;2023;10;66502
Horten;2023/10;2023;10;88759
Kragerø;2023/10;2023;10;30205
Kviteseid;2023/10;2023;10;3978
Larvik;2023/10;2023;10;114372
Midt-Telemark;2023/10;2023;10;21798
Nissedal;2023/10;2023;10;1268
Nome;2023/10;2023;10;16086
Notodden;2023/10;2023;10;18899
Porsgrunn;2023/10;2023;10;188025
Sandefjord;2023/10;2023;10;143438
Seljord;2023/10;2023;10;5367
Siljan;2023/10;2023;10;5049
Skien;2023/10;2023;10;237119
Tinn;2023/10;2023;10;11913
Tokke;2023/10;2023;10;3556
Tønsberg;2023/10;2023;10;341214
Vinje;2023/10;2023;10;6018
Bamble;2023/09;2023;9;45650
Drangedal;2023/09;2023;9;8001
Fyresdal;2023/09;2023;9;1520
Færder;2023/09;2023;9;99756
Hjartdal;2023/09;2023;9;2298
Holmestrand;2023/09;2023;9;72412
Horten;2023/09;2023;9;93627
Kragerø;2023/09;2023;9;33287
Kviteseid;2023/09;2023;9;4818
Larvik;2023/09;2023;9;123160
Midt-Telemark;2023/09;2023;9;25006
Nissedal;2023/09;2023;9;1533
Nome;2023/09;2023;9;18665
Notodden;2023/09;2023;9;19684
Porsgrunn;2023/09;2023;9;192371
Sandefjord;2023/09;2023;9;146209
Seljord;2023/09;2023;9;6463
Siljan;2023/09;2023;9;5744
Skien;2023/09;2023;9;241370
Tinn;2023/09;2023;9;12886
Tokke;2023/09;2023;9;4494
Tønsberg;2023/09;2023;9;358676
Vinje;2023/09;2023;9;6780
Bamble;2023/08;2023;8;32791
Drangedal;2023/08;2023;8;3771
Fyresdal;2023/08;2023;8;656
Færder;2023/08;2023;8;76774
Hjartdal;2023/08;2023;8;1027
Holmestrand;2023/08;2023;8;42728
Horten;2023/08;2023;8;76049
Kragerø;2023/08;2023;8;34924
Kviteseid;2023/08;2023;8;2169
Larvik;2023/08;2023;8;90012
Midt-Telemark;2023/08;2023;8;14460
Nissedal;2023/08;2023;8;657
Nome;2023/08;2023;8;11395
Notodden;2023/08;2023;8;15669
Porsgrunn;2023/08;2023;8;150099
Sandefjord;2023/08;2023;8;104017
Seljord;2023/08;2023;8;3662
Siljan;2023/08;2023;8;3343
Skien;2023/08;2023;8;184252
Tinn;2023/08;2023;8;7251
Tokke;2023/08;2023;8;2158
Tønsberg;2023/08;2023;8;274450
Vinje;2023/08;2023;8;3440
Bamble;2023/07;2023;7;23306
Drangedal;2023/07;2023;7;583
Fyresdal;2023/07;2023;7;124
Færder;2023/07;2023;7;58956
Holmestrand;2023/07;2023;7;17433
Horten;2023/07;2023;7;44811
Kragerø;2023/07;2023;7;62692
Kviteseid;2023/07;2023;7;418
Larvik;2023/07;2023;7;70154
Midt-Telemark;2023/07;2023;7;9339
Nissedal;2023/07;2023;7;104
Nome;2023/07;2023;7;6078
Notodden;2023/07;2023;7;6622
Porsgrunn;2023/07;2023;7;97313
Sandefjord;2023/07;2023;7;66023
Seljord;2023/07;2023;7;2014
Siljan;2023/07;2023;7;1126
Skien;2023/07;2023;7;111530
Tinn;2023/07;2023;7;2954
Tokke;2023/07;2023;7;458
Tønsberg;2023/07;2023;7;183643
Vinje;2023/07;2023;7;680
Bamble;2023/06;2023;6;33225
Drangedal;2023/06;2023;6;4056
Fyresdal;2023/06;2023;6;703
Færder;2023/06;2023;6;82017
Hjartdal;2023/06;2023;6;968
Holmestrand;2023/06;2023;6;42832
Horten;2023/06;2023;6;70261
Kragerø;2023/06;2023;6;37550
Kviteseid;2023/06;2023;6;2411
Larvik;2023/06;2023;6;95206
Midt-Telemark;2023/06;2023;6;15111
Nissedal;2023/06;2023;6;876
Nome;2023/06;2023;6;10942
Notodden;2023/06;2023;6;12651
Porsgrunn;2023/06;2023;6;148381
Sandefjord;2023/06;2023;6;102112
Seljord;2023/06;2023;6;3142
Siljan;2023/06;2023;6;3634
Skien;2023/06;2023;6;179029
Tinn;2023/06;2023;6;7777
Tokke;2023/06;2023;6;1844
Tønsberg;2023/06;2023;6;285854
Vinje;2023/06;2023;6;3457
Bamble;2023/05;2023;5;38411
Drangedal;2023/05;2023;5;7027
Fyresdal;2023/05;2023;5;1038
Færder;2023/05;2023;5;88783
Hjartdal;2023/05;2023;5;1652
Holmestrand;2023/05;2023;5;56953
Horten;2023/05;2023;5;81339
Kragerø;2023/05;2023;5;39153
Kviteseid;2023/05;2023;5;4193
Larvik;2023/05;2023;5;106589
Midt-Telemark;2023/05;2023;5;20467
Nissedal;2023/05;2023;5;1214
Nome;2023/05;2023;5;14241
Notodden;2023/05;2023;5;17116
Porsgrunn;2023/05;2023;5;163691
Sandefjord;2023/05;2023;5;122786
Seljord;2023/05;2023;5;4370
Siljan;2023/05;2023;5;4442
Skien;2023/05;2023;5;208839
Tinn;2023/05;2023;5;10739
Tokke;2023/05;2023;5;3446
Tønsberg;2023/05;2023;5;313271
Vinje;2023/05;2023;5;5422
Bamble;2023/04;2023;4;33604
Drangedal;2023/04;2023;4;5692
Fyresdal;2023/04;2023;4;1151
Færder;2023/04;2023;4;79418
Hjartdal;2023/04;2023;4;1335
Holmestrand;2023/04;2023;4;50321
Horten;2023/04;2023;4;75088
Kragerø;2023/04;2023;4;32758
Kviteseid;2023/04;2023;4;3351
Larvik;2023/04;2023;4;97574
Midt-Telemark;2023/04;2023;4;17252
Nissedal;2023/04;2023;4;1040
Nome;2023/04;2023;4;11852
Notodden;2023/04;2023;4;15968
Porsgrunn;2023/04;2023;4;150471
Sandefjord;2023/04;2023;4;114179
Seljord;2023/04;2023;4;3780
Siljan;2023/04;2023;4;3954
Skien;2023/04;2023;4;189770
Tinn;2023/04;2023;4;9949
Tokke;2023/04;2023;4;3245
Tønsberg;2023/04;2023;4;278514
Vinje;2023/04;2023;4;4701
Bamble;2023/03;2023;3;47899
Drangedal;2023/03;2023;3;9134
Fyresdal;2023/03;2023;3;1771
Færder;2023/03;2023;3;104422
Hjartdal;2023/03;2023;3;2283
Holmestrand;2023/03;2023;3;76846
Horten;2023/03;2023;3;105018
Kragerø;2023/03;2023;3;32005
Kviteseid;2023/03;2023;3;5158
Larvik;2023/03;2023;3;141910
Midt-Telemark;2023/03;2023;3;27734
Nissedal;2023/03;2023;3;1594
Nome;2023/03;2023;3;18876
Notodden;2023/03;2023;3;23888
Porsgrunn;2023/03;2023;3;207994
Sandefjord;2023/03;2023;3;175493
Seljord;2023/03;2023;3;5347
Siljan;2023/03;2023;3;6155
Skien;2023/03;2023;3;271872
Tinn;2023/03;2023;3;14609
Tokke;2023/03;2023;3;4612
Tønsberg;2023/03;2023;3;389404
Vinje;2023/03;2023;3;7458
Bamble;2023/02;2023;2;36571
Drangedal;2023/02;2023;2;5977
Fyresdal;2023/02;2023;2;1154
Færder;2023/02;2023;2;83955
Hjartdal;2023/02;2023;2;1324
Holmestrand;2023/02;2023;2;55370
Horten;2023/02;2023;2;85868
Kragerø;2023/02;2023;2;24395
Kviteseid;2023/02;2023;2;3436
Larvik;2023/02;2023;2;111199
Midt-Telemark;2023/02;2023;2;19526
Nissedal;2023/02;2023;2;1046
Nome;2023/02;2023;2;13729
Notodden;2023/02;2023;2;17513
Porsgrunn;2023/02;2023;2;168177
Sandefjord;2023/02;2023;2;138446
Seljord;2023/02;2023;2;3986
Siljan;2023/02;2023;2;4392
Skien;2023/02;2023;2;218953
Tinn;2023/02;2023;2;9830
Tokke;2023/02;2023;2;3227
Tønsberg;2023/02;2023;2;311712
Vinje;2023/02;2023;2;5296
Bamble;2023/01;2023;1;43701
Drangedal;2023/01;2023;1;8388
Fyresdal;2023/01;2023;1;1455
Færder;2023/01;2023;1;97510
Hjartdal;2023/01;2023;1;2025
Holmestrand;2023/01;2023;1;70025
Horten;2023/01;2023;1;96451
Kragerø;2023/01;2023;1;28328
Kviteseid;2023/01;2023;1;4902
Larvik;2023/01;2023;1;127054
Midt-Telemark;2023/01;2023;1;24697
Nissedal;2023/01;2023;1;1664
Nome;2023/01;2023;1;16601
Notodden;2023/01;2023;1;21869
Porsgrunn;2023/01;2023;1;187750
Sandefjord;2023/01;2023;1;166991
Seljord;2023/01;2023;1;4910
Siljan;2023/01;2023;1;5740
Skien;2023/01;2023;1;253623
Tinn;2023/01;2023;1;12250
Tokke;2023/01;2023;1;5025
Tønsberg;2023/01;2023;1;368856
Vinje;2023/01;2023;1;6968
Bamble;2022/12;2022;12;36995
Drangedal;2022/12;2022;12;6322
Fyresdal;2022/12;2022;12;1382
Færder;2022/12;2022;12;82229
Hjartdal;2022/12;2022;12;1404
Holmestrand;2022/12;2022;12;55237
Horten;2022/12;2022;12;76567
Kragerø;2022/12;2022;12;25092
Kviteseid;2022/12;2022;12;3922
Larvik;2022/12;2022;12;102969
Midt-Telemark;2022/12;2022;12;14017
Nissedal;2022/12;2022;12;1290
Nome;2022/12;2022;12;9906
Notodden;2022/12;2022;12;16544
Porsgrunn;2022/12;2022;12;152771
Sandefjord;2022/12;2022;12;134789
Seljord;2022/12;2022;12;2223
Siljan;2022/12;2022;12;4309
Skien;2022/12;2022;12;207114
Tinn;2022/12;2022;12;10030
Tokke;2022/12;2022;12;4000
Tønsberg;2022/12;2022;12;309020
Vinje;2022/12;2022;12;5697
Bamble;2022/11;2022;11;44892
Drangedal;2022/11;2022;11;8604
Fyresdal;2022/11;2022;11;1342
Færder;2022/11;2022;11;99826
Hjartdal;2022/11;2022;11;1901
Holmestrand;2022/11;2022;11;72449
Horten;2022/11;2022;11;94624
Kragerø;2022/11;2022;11;30267
Kviteseid;2022/11;2022;11;5053
Larvik;2022/11;2022;11;125850
Midt-Telemark;2022/11;2022;11;18843
Nissedal;2022/11;2022;11;1921
Nome;2022/11;2022;11;13261
Notodden;2022/11;2022;11;20455
Porsgrunn;2022/11;2022;11;181697
Sandefjord;2022/11;2022;11;164868
Seljord;2022/11;2022;11;2909
Siljan;2022/11;2022;11;5527
Skien;2022/11;2022;11;246878
Tinn;2022/11;2022;11;12895
Tokke;2022/11;2022;11;5516
Tønsberg;2022/11;2022;11;361916
Vinje;2022/11;2022;11;7133
Bamble;2022/10;2022;10;37560
Drangedal;2022/10;2022;10;6431
Fyresdal;2022/10;2022;10;841
Færder;2022/10;2022;10;85285
Hjartdal;2022/10;2022;10;1355
Holmestrand;2022/10;2022;10;58666
Horten;2022/10;2022;10;85035
Kragerø;2022/10;2022;10;27499
Kviteseid;2022/10;2022;10;3776
Larvik;2022/10;2022;10;103721
Midt-Telemark;2022/10;2022;10;15185
Nissedal;2022/10;2022;10;1444
Nome;2022/10;2022;10;10607
Notodden;2022/10;2022;10;15722
Porsgrunn;2022/10;2022;10;166087
Sandefjord;2022/10;2022;10;130998
Seljord;2022/10;2022;10;2327
Siljan;2022/10;2022;10;4792
Skien;2022/10;2022;10;215435
Tinn;2022/10;2022;10;9965
Tokke;2022/10;2022;10;4188
Tønsberg;2022/10;2022;10;308815
Vinje;2022/10;2022;10;5458
Bamble;2022/09;2022;9;43156
Drangedal;2022/09;2022;9;8522
Fyresdal;2022/09;2022;9;1089
Færder;2022/09;2022;9;95500
Hjartdal;2022/09;2022;9;1682
Holmestrand;2022/09;2022;9;70436
Horten;2022/09;2022;9;91903
Kragerø;2022/09;2022;9;32754
Kviteseid;2022/09;2022;9;5403
Larvik;2022/09;2022;9;118399
Midt-Telemark;2022/09;2022;9;18406
Nissedal;2022/09;2022;9;1821
Nome;2022/09;2022;9;13606
Notodden;2022/09;2022;9;18787
Porsgrunn;2022/09;2022;9;168463
Sandefjord;2022/09;2022;9;142267
Seljord;2022/09;2022;9;2896
Siljan;2022/09;2022;9;5422
Skien;2022/09;2022;9;232431
Tinn;2022/09;2022;9;11713
Tokke;2022/09;2022;9;5531
Tønsberg;2022/09;2022;9;338339
Vinje;2022/09;2022;9;7188
Bamble;2022/08;2022;8;31740
Drangedal;2022/08;2022;8;4661
Fyresdal;2022/08;2022;8;816
Færder;2022/08;2022;8;77399
Hjartdal;2022/08;2022;8;825
Holmestrand;2022/08;2022;8;44307
Horten;2022/08;2022;8;74917
Kragerø;2022/08;2022;8;39611
Kviteseid;2022/08;2022;8;2724
Larvik;2022/08;2022;8;87075
Midt-Telemark;2022/08;2022;8;11421
Nissedal;2022/08;2022;8;935
Nome;2022/08;2022;8;7885
Notodden;2022/08;2022;8;16295
Porsgrunn;2022/08;2022;8;139901
Sandefjord;2022/08;2022;8;103429
Seljord;2022/08;2022;8;1624
Siljan;2022/08;2022;8;3662
Skien;2022/08;2022;8;181988
Tinn;2022/08;2022;8;7532
Tokke;2022/08;2022;8;3310
Tønsberg;2022/08;2022;8;264913
Vinje;2022/08;2022;8;3912
Bamble;2022/07;2022;7;20408
Drangedal;2022/07;2022;7;480
Fyresdal;2022/07;2022;7;128
Færder;2022/07;2022;7;55795
Holmestrand;2022/07;2022;7;15452
Horten;2022/07;2022;7;43278
Kragerø;2022/07;2022;7;56004
Kviteseid;2022/07;2022;7;363
Larvik;2022/07;2022;7;63199
Midt-Telemark;2022/07;2022;7;6515
Nissedal;2022/07;2022;7;150
Nome;2022/07;2022;7;2808
Notodden;2022/07;2022;7;5464
Porsgrunn;2022/07;2022;7;89491
Sandefjord;2022/07;2022;7;60053
Seljord;2022/07;2022;7;381
Siljan;2022/07;2022;7;1326
Skien;2022/07;2022;7;104109
Tinn;2022/07;2022;7;3024
Tokke;2022/07;2022;7;695
Tønsberg;2022/07;2022;7;169161
Vinje;2022/07;2022;7;543
Bamble;2022/06;2022;6;29606
Drangedal;2022/06;2022;6;3914
Fyresdal;2022/06;2022;6;629
Færder;2022/06;2022;6;74356
Hjartdal;2022/06;2022;6;649
Holmestrand;2022/06;2022;6;38388
Horten;2022/06;2022;6;63053
Kragerø;2022/06;2022;6;35828
Kviteseid;2022/06;2022;6;1984
Larvik;2022/06;2022;6;82497
Midt-Telemark;2022/06;2022;6;8928
Nissedal;2022/06;2022;6;1026
Nome;2022/06;2022;6;6716
Notodden;2022/06;2022;6;10932
Porsgrunn;2022/06;2022;6;121680
Sandefjord;2022/06;2022;6;92721
Seljord;2022/06;2022;6;1443
Siljan;2022/06;2022;6;3395
Skien;2022/06;2022;6;160976
Tinn;2022/06;2022;6;7265
Tokke;2022/06;2022;6;1960
Tønsberg;2022/06;2022;6;249827
Vinje;2022/06;2022;6;3120
Bamble;2022/05;2022;5;35439
Drangedal;2022/05;2022;5;6887
Fyresdal;2022/05;2022;5;1216
Færder;2022/05;2022;5;80744
Hjartdal;2022/05;2022;5;1364
Holmestrand;2022/05;2022;5;53268
Horten;2022/05;2022;5;72291
Kragerø;2022/05;2022;5;35875
Kviteseid;2022/05;2022;5;3942
Larvik;2022/05;2022;5;98151
Midt-Telemark;2022/05;2022;5;13258
Nissedal;2022/05;2022;5;1494
Nome;2022/05;2022;5;9910
Notodden;2022/05;2022;5;15334
Porsgrunn;2022/05;2022;5;145362
Sandefjord;2022/05;2022;5;118958
Seljord;2022/05;2022;5;2340
Siljan;2022/05;2022;5;4397
Skien;2022/05;2022;5;192358
Tinn;2022/05;2022;5;10351
Tokke;2022/05;2022;5;3775
Tønsberg;2022/05;2022;5;283081
Vinje;2022/05;2022;5;5457
Bamble;2022/04;2022;4;31133
Drangedal;2022/04;2022;4;5568
Fyresdal;2022/04;2022;4;1069
Færder;2022/04;2022;4;72134
Hjartdal;2022/04;2022;4;1211
Holmestrand;2022/04;2022;4;48047
Horten;2022/04;2022;4;66049
