Alle kommuner;Alle kommunenummer;Alle kommunenummer 4 siffer;Alle kommuner navn;Alle kommuner navn uten parentes;Kommuner 2020;Kommunenummer 2020;Kommunenavn 2020;Region;Region rekkefølge;Fylke
00 Hele landet;0;00;Hele landet;Hele landet;Hele landet;0;Hele landet;Hele landet;0;Hele landet
38 Vestfold og Telemark;38;38;Vestfold og Telemark;Vestfold og Telemark;Vestfold og Telemark;38;Vestfold og Telemark;Vestfold og Telemark;0;Vestfold og Telemark
07 Vestfold;7;07;Vestfold;Vestfold;Vestfold og Telemark;38;Vestfold og Telemark;Vestfold og Telemark;0;Vestfold og Telemark
08 Telemark;8;08;Telemark;Telemark;Vestfold og Telemark;38;Vestfold og Telemark;Vestfold og Telemark;0;Vestfold og Telemark
0701 Horten;701;0701;Horten;Horten;K-3801 Horten;3801;Horten;Horten;2;Vestfold
0702 Holmestrand;702;0702;Holmestrand;Holmestrand;K-3802 Holmestrand;3802;Holmestrand;Holmestrand;1;Vestfold
0703 Horten;703;0703;Horten;Horten;K-3801 Horten;3801;Horten;Horten;2;Vestfold
0704 Tønsberg;704;0704;Tønsberg;Tønsberg;K-3803 Tønsberg;3803;Tønsberg;Tønsberg og Færder;3;Vestfold
0705 Tønsberg;705;0705;Tønsberg;Tønsberg;K-3803 Tønsberg;3803;Tønsberg;Tønsberg og Færder;3;Vestfold
0706 Sandefjord;706;0706;Sandefjord;Sandefjord;K-3804 Sandefjord;3804;Sandefjord;Sandefjord;4;Vestfold
0707 Larvik;707;0707;Larvik;Larvik;K-3805 Larvik;3805;Larvik;Larvik;5;Vestfold
0708 Stavern;708;0708;Stavern;Stavern;K-3805 Larvik;3805;Larvik;Larvik;5;Vestfold
0709 Larvik;709;0709;Larvik;Larvik;K-3805 Larvik;3805;Larvik;Larvik;5;Vestfold
0710 Sandefjord;710;0710;Sandefjord;Sandefjord;K-3804 Sandefjord;3804;Sandefjord;Sandefjord;4;Vestfold
0712 Larvik;712;0712;Larvik;Larvik;K-3805 Larvik;3805;Larvik;Larvik;5;Vestfold
0713 Sande (Vestfold);713;0713;Sande (Vestfold);Sande (Vestfold);K-3802 Holmestrand;3802;Holmestrand;Holmestrand;1;Vestfold
0714 Hof;714;0714;Hof;Hof;K-3802 Holmestrand;3802;Holmestrand;Holmestrand;1;Vestfold
0715 Holmestrand;715;0715;Holmestrand;Holmestrand;K-3802 Holmestrand;3802;Holmestrand;Holmestrand;1;Vestfold
0716 Re;716;0716;Re;Re;K-3803 Tønsberg;3803;Tønsberg;Tønsberg og Færder;3;Vestfold
0717 Borre;717;0717;Borre;Borre;K-3801 Horten;3801;Horten;Horten;2;Vestfold
0718 Ramnes;718;0718;Ramnes;Ramnes;K-3803 Tønsberg;3803;Tønsberg;Tønsberg og Færder;3;Vestfold
0719 Andebu;719;0719;Andebu;Andebu;K-3804 Sandefjord;3804;Sandefjord;Sandefjord;4;Vestfold
0720 Stokke;720;0720;Stokke;Stokke;K-3804 Sandefjord;3804;Sandefjord;Sandefjord;4;Vestfold
0721 Sem;721;0721;Sem;Sem;K-3803 Tønsberg;3803;Tønsberg;Tønsberg og Færder;3;Vestfold
0722 Nøtterøy;722;0722;Nøtterøy;Nøtterøy;K-3811 Færder;3811;Færder;Tønsberg og Færder;3;Vestfold
0723 Tjøme;723;0723;Tjøme;Tjøme;K-3811 Færder;3811;Færder;Tønsberg og Færder;3;Vestfold
0725 Tjølling;725;0725;Tjølling;Tjølling;K-3805 Larvik;3805;Larvik;Larvik;5;Vestfold
0726 Brunlanes;726;0726;Brunlanes;Brunlanes;K-3805 Larvik;3805;Larvik;Larvik;5;Vestfold
0727 Larvik;727;0727;Larvik;Larvik;K-3805 Larvik;3805;Larvik;Larvik;5;Vestfold
0728 Lardal;728;0728;Lardal;Lardal;K-3805 Larvik;3805;Larvik;Larvik;5;Vestfold
0729 Færder;729;0729;Færder;Færder;K-3811 Færder;3811;Færder;Tønsberg og Færder;3;Vestfold
0805 Porsgrunn;805;0805;Porsgrunn;Porsgrunn;K-3806 Porsgrunn;3806;Porsgrunn;Grenland;6;Telemark
0806 Skien;806;0806;Skien;Skien;K-3807 Skien;3807;Skien;Grenland;6;Telemark
0807 Notodden;807;0807;Notodden;Notodden;K-3808 Notodden;3808;Notodden;Øst-Telemark;8;Telemark
0811 Siljan;811;0811;Siljan;Siljan;K-3812 Siljan;3812;Siljan;Grenland;6;Telemark
0814 Bamble;814;0814;Bamble;Bamble;K-3813 Bamble;3813;Bamble;Grenland;6;Telemark
0815 Kragerø;815;0815;Kragerø;Kragerø;K-3814 Kragerø;3814;Kragerø;Grenland;6;Telemark
0817 Drangedal;817;0817;Drangedal;Drangedal;K-3815 Drangedal;3815;Drangedal;Grenland;6;Telemark
0819 Nome;819;0819;Nome;Nome;K-3816 Nome;3816;Nome;Nome og Midt-Telemark;7;Telemark
0821 Bø (Telemark);821;0821;Bø (Telemark);Bø;K-3817 Midt-Telemark;3817;Midt-Telemark;Nome og Midt-Telemark;7;Telemark
0822 Sauherad;822;0822;Sauherad;Sauherad;K-3817 Midt-Telemark;3817;Midt-Telemark;Nome og Midt-Telemark;7;Telemark
0826 Tinn;826;0826;Tinn;Tinn;K-3818 Tinn;3818;Tinn;Øst-Telemark;8;Telemark
0827 Hjartdal;827;0827;Hjartdal;Hjartdal;K-3819 Hjartdal;3819;Hjartdal;Øst-Telemark;8;Telemark
0828 Seljord;828;0828;Seljord;Seljord;K-3820 Seljord;3820;Seljord;Vest-Telemark;9;Telemark
0829 Kviteseid;829;0829;Kviteseid;Kviteseid;K-3821 Kviteseid;3821;Kviteseid;Vest-Telemark;9;Telemark
0830 Nissedal;830;0830;Nissedal;Nissedal;K-3822 Nissedal;3822;Nissedal;Vest-Telemark;9;Telemark
0831 Fyresdal;831;0831;Fyresdal;Fyresdal;K-3823 Fyresdal;3823;Fyresdal;Vest-Telemark;9;Telemark
0833 Tokke;833;0833;Tokke;Tokke;K-3824 Tokke;3824;Tokke;Vest-Telemark;9;Telemark
0834 Vinje;834;0834;Vinje;Vinje;K-3825 Vinje;3825;Vinje;Vest-Telemark;9;Telemark
3801 Horten;3801;3801;Horten;Horten;K-3801 Horten;3801;Horten;Horten;2;Vestfold
3802 Holmestrand;3802;3802;Holmestrand;Holmestrand;K-3802 Holmestrand;3802;Holmestrand;Holmestrand;1;Vestfold
3803 Tønsberg;3803;3803;Tønsberg;Tønsberg;K-3803 Tønsberg;3803;Tønsberg;Tønsberg og Færder;3;Vestfold
3804 Sandefjord;3804;3804;Sandefjord;Sandefjord;K-3804 Sandefjord;3804;Sandefjord;Sandefjord;4;Vestfold
3805 Larvik;3805;3805;Larvik;Larvik;K-3805 Larvik;3805;Larvik;Larvik;5;Vestfold
3806 Porsgrunn;3806;3806;Porsgrunn;Porsgrunn;K-3806 Porsgrunn;3806;Porsgrunn;Grenland;6;Telemark
3807 Skien;3807;3807;Skien;Skien;K-3807 Skien;3807;Skien;Grenland;6;Telemark
