Navn,Org. nr.,Overordnet enhet,Antall ansatte,Dataset,Sektorkode,Sektor,Aktivitet,Forretningsadresse - Kommune,Postadresse - Kommune,Organisasjonsform,NACE 1,NACE 1 - Bransje,NACE 2,NACE 2 - Bransje,NACE 3,NACE 3 - Bransje,Organisasjonsform - Kode,Beliggenhetsadresse - Kommune,Parent in Telemark,Employees,Org. nr._str
Yara Norge as avd hydrovegen Porsgrunn,974100169,984015666,556.0,Underenhet,,,,,Porsgrunn,Underenhet til næringsdrivende og offentlig forvaltning,20.15,Produksjon av gjødsel og nitrogenforbindelser,,,,,BEDR,Porsgrunn,False,556.0,974100169
Universitetet i sørøst-norge campus Porsgrunn,974798190,911770709,483.0,Underenhet,,,,,Porsgrunn,Underenhet til næringsdrivende og offentlig forvaltning,85.401,Undervisning ved universiteter,,,,,BEDR,Porsgrunn,False,483.0,974798190
Universitetet i sørøst-norge campus bø i Telemark,974798239,911770709,325.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,85.401,Undervisning ved universiteter,,,,,BEDR,Midt-Telemark,False,325.0,974798239
Grenland politihus og namsfogden i sør-øst,974730642,983998178,290.0,Underenhet,,,,,Tønsberg,Underenhet til næringsdrivende og offentlig forvaltning,84.24,Aktiviteter utført av politi- og påtalemyndighet,,,,,BEDR,Skien,False,290.0,974730642
Vy buss as avd Telemark,874305812,976948394,254.0,Underenhet,,,,,Skien,Underenhet til næringsdrivende og offentlig forvaltning,49.31,Passasjertransport med rutebil,,,,,BEDR,Skien,False,254.0,874305812
Universitetet i sørøst-norge campus Notodden,974798220,911770709,203.0,Underenhet,,,,,Notodden,Underenhet til næringsdrivende og offentlig forvaltning,85.401,Undervisning ved universiteter,,,,,BEDR,Notodden,False,203.0,974798220
Heidelberg materials sement Norge as sementfabrikk dalen,974305461,934949145,196.0,Underenhet,,,,,Porsgrunn,Underenhet til næringsdrivende og offentlig forvaltning,23.51,Produksjon av sement,,,,,BEDR,Porsgrunn,False,196.0,974305461
Equinor asa avd tne rd forskningssenter,984042442,923609016,172.0,Underenhet,,,,,Porsgrunn,Underenhet til næringsdrivende og offentlig forvaltning,72.1,Forskning og eksperimentell utvikling innenfor naturvitenskap og teknikk,,,,,BEDR,Porsgrunn,False,172.0,984042442
Prima assistanse as avd Telemark,925512117,989748319,156.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,88.104,Brukerstyrt personlig assistanse (bpa),,,,,BEDR,Bamble,False,156.0,925512117
4service eir renhold as avd 461 vestfold/telemark,924953020,917719993,149.0,Underenhet,,,,,Oslo,Underenhet til næringsdrivende og offentlig forvaltning,81.21,Rengjøring av bygninger,,,,,BEDR,Porsgrunn,False,149.0,924953020
Telemark fengsel Skien avdeling,974730138,911830868,144.0,Underenhet,,,,,Sandnes,Underenhet til næringsdrivende og offentlig forvaltning,84.23,Aktiviteter i rettsvesen og kriminalomsorg,,,,,BEDR,Skien,False,144.0,974730138
Statens vegvesen Skien kontorsted,974730359,971032081,133.0,Underenhet,,,,,Arendal,Underenhet til næringsdrivende og offentlig forvaltning,84.13,Offentlig administrasjon tilknyttet næringsvirksomhet og arbeidsmarked,,,,,BEDR,Skien,False,133.0,974730359
Skatteetaten Skien,974730707,974761076,130.0,Underenhet,,,,,Oslo,Underenhet til næringsdrivende og offentlig forvaltning,84.11,Generell offentlig administrasjon,,,,,BEDR,Skien,False,130.0,974730707
Sykehuspartner avd Porsgrunn,995671190,914637651,126.0,Underenhet,,,,,Drammen,Underenhet til næringsdrivende og offentlig forvaltning,86.101,Somatiske sykehustjenester,,,,,BEDR,Porsgrunn,False,126.0,995671190
Yara international asa avd Porsgrunn,986625925,986228608,124.0,Underenhet,,,,,Porsgrunn,Underenhet til næringsdrivende og offentlig forvaltning,20.15,Produksjon av gjødsel og nitrogenforbindelser,,,,,BEDR,Porsgrunn,False,124.0,986625925
Gjensidige forsikring avd Skien,974145383,995568217,121.0,Underenhet,,,,,Skien,Underenhet til næringsdrivende og offentlig forvaltning,65.12,Skadeforsikring,,,,,BEDR,Skien,False,121.0,974145383
Insider facility solutions as Skien,986854274,834327082,121.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,81.21,Rengjøring av bygninger,,,,,BEDR,Skien,False,121.0,986854274
Iss facility services as avd renhold Porsgrunn,973102052,914791723,118.0,Underenhet,,,,,Porsgrunn,Underenhet til næringsdrivende og offentlig forvaltning,81.21,Rengjøring av bygninger,,,,,BEDR,Porsgrunn,False,118.0,973102052
Nav arbeid og ytelser avd Skien,992259930,999263550,114.0,Underenhet,,,,,Skien,Underenhet til næringsdrivende og offentlig forvaltning,84.3,Administrasjon av trygdeordninger underlagt offentlig forvaltning,,,,,BEDR,Skien,False,114.0,992259930
