Navn,Org. nr.,Overordnet enhet,Antall ansatte,Dataset,Sektorkode,Sektor,Aktivitet,Forretningsadresse - Kommune,Postadresse - Kommune,Organisasjonsform,NACE 1,NACE 1 - Bransje,NACE 2,NACE 2 - Bransje,NACE 3,NACE 3 - Bransje,Organisasjonsform - Kode,Beliggenhetsadresse - Kommune,Org. nr._str,Employees,In Combined Clean,Is Parent,Parent
Elis Norge as avd Skien,973114913,930151246.0,85.0,Underenhet,,,,,Oslo,Underenhet til næringsdrivende og offentlig forvaltning,96.1,Vaskeri- og renserivirksomhet,,,,,BEDR,Skien,973114913,85.0,True,False,930151246
Vianode as avd Porsgrunn,929387457,925971154.0,84.0,Underenhet,,,,,Porsgrunn,Underenhet til næringsdrivende og offentlig forvaltning,23.99,Produksjon av andre ikke-metalliske mineralprodukter ikke nevnt annet sted,,,,,BEDR,Porsgrunn,929387457,84.0,True,False,925971154
Ecura bpa as avd Porsgrunn,986083561,916122128.0,83.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,88.104,Brukerstyrt personlig assistanse (bpa),,,,,BEDR,Porsgrunn,986083561,83.0,True,False,916122128
Nav Skien,994706233,974241730.0,81.0,Underenhet,,,,,Skien,Underenhet til næringsdrivende og offentlig forvaltning,84.3,Administrasjon av trygdeordninger underlagt offentlig forvaltning,,,,,BEDR,Skien,994706233,81.0,True,False,974241730
Pipelife Norge as avd stathelle,973130889,980457575.0,80.0,Underenhet,,,,,Surnadal,Underenhet til næringsdrivende og offentlig forvaltning,22.21,"Produksjon av plater, film, rør og profiler av plast",,,,,BEDR,Bamble,973130889,80.0,True,False,980457575
Bufetat sør klokkerhuset,931229842,986128433.0,80.0,Underenhet,,,,,Tønsberg,Underenhet til næringsdrivende og offentlig forvaltning,87.991,Tjenester i barneverninstitusjoner,,,,,BEDR,Skien,931229842,80.0,True,False,986128433
Vy buss as avd Notodden,971793937,976948394.0,79.0,Underenhet,,,,,Oslo,Underenhet til næringsdrivende og offentlig forvaltning,49.31,Passasjertransport med rutebil,,,,,BEDR,Notodden,971793937,79.0,True,False,976948394
Skandinavisk kompetensservice ab,997709438,998534771.0,79.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,78.2,Utleie av arbeidskraft og andre personaladministrative tjenester,,,,,BEDR,Skien,997709438,79.0,True,False,998534771
Vygruppen as Skien,974710536,984661177.0,77.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,49.11,Passasjertransport med jernbane,,,,,BEDR,Skien,974710536,77.0,True,False,984661177
Mental helse avd Skien,973628569,971322926.0,76.0,Underenhet,,,,,Oslo,Underenhet til næringsdrivende og offentlig forvaltning,88.996,Andre sosialtjenester uten botilbud ellers,,,,,BEDR,Skien,973628569,76.0,True,False,971322926
Nav familie- og pensjonsytelser Porsgrunn avd frednesøya,934619110,993110469.0,75.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,84.3,Administrasjon av trygdeordninger underlagt offentlig forvaltning,,,,,BEDR,Porsgrunn,934619110,75.0,True,False,993110469
Metrostav Norge as avd Porsgrunn,931414259,924549092.0,73.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,42.11,Bygging av veier og motorveier,,,,,BEDR,Porsgrunn,931414259,73.0,True,False,924549092
Customer link as avd Porsgrunn,982584434,994460242.0,73.0,Underenhet,,,,,Porsgrunn,Underenhet til næringsdrivende og offentlig forvaltning,82.2,Telefonvakttjenester og telefonsalg,,,,,BEDR,Porsgrunn,982584434,73.0,True,False,994460242
Nor tekstil as avd Skien,971773936,988023868.0,73.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,96.1,Vaskeri- og renserivirksomhet,,,,,BEDR,Skien,971773936,73.0,True,False,988023868
Caverion Norge as avd herøya prosjekt,917503168,959069743.0,71.0,Underenhet,,,,,Porsgrunn,Underenhet til næringsdrivende og offentlig forvaltning,43.21,Elektrisk installasjonsarbeid,,,,,BEDR,Porsgrunn,917503168,71.0,True,False,959069743
Vistin pharma as avd Kragerø fikkjebakke,996675432,813120232.0,70.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,21.2,Produksjon av farmasøytiske preparater,,,,,BEDR,Kragerø,996675432,70.0,True,False,813120232
Hydro energi as Telemark,974840871,930187240.0,70.0,Underenhet,,,,,Oslo,Underenhet til næringsdrivende og offentlig forvaltning,35.121,Produksjon av elektrisitet fra vannkraft,,,,,BEDR,Tinn,974840871,70.0,True,False,930187240
Sykehusapoteket Skien,974633175,992281618.0,69.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,46.46,Engroshandel med apotekvarer og medisinske varer,,,,,BEDR,Skien,974633175,69.0,True,False,992281618
Statsforvalteren i Vestfold og Telemark avd Skien,974730677,974762501.0,69.0,Underenhet,,,,,Tønsberg,Underenhet til næringsdrivende og offentlig forvaltning,84.11,Generell offentlig administrasjon,,,,,BEDR,Skien,974730677,69.0,True,False,974762501
Læringsverkstedet maurtua Skien barnehage,890182852,930874620.0,69.0,Underenhet,,,,,Ullensaker,Underenhet til næringsdrivende og offentlig forvaltning,85.1,Førskoleundervisning og drift av barnehager,,,,,BEDR,Skien,890182852,69.0,True,False,930874620
Toyota bilia as avd Porsgrunn,927640716,980648915.0,67.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,47.81,Detaljhandel med motorvogner,,,,,BEDR,Porsgrunn,927640716,67.0,True,False,980648915
Visma enterprise as avd Porsgrunn,920484697,982410339.0,66.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,58.29,Utgivelse av annen programvare,,,,,BEDR,Porsgrunn,920484697,66.0,True,False,982410339
Mesta as åmot,986909656,992804440.0,65.0,Underenhet,,,,,Bærum,Underenhet til næringsdrivende og offentlig forvaltning,42.11,Bygging av veier og motorveier,,,,,BEDR,Vinje,986909656,65.0,True,False,992804440
Bravida Norge as Skien elektro,975041794,987582561.0,64.0,Underenhet,,,,,Oslo,Underenhet til næringsdrivende og offentlig forvaltning,43.21,Elektrisk installasjonsarbeid,,,,,BEDR,Skien,975041794,64.0,True,False,987582561
Bane nor eidanger,932303302,917082308.0,63.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,42.12,Bygging av jernbaner og undergrunnsbaner,,,,,BEDR,Porsgrunn,932303302,63.0,True,False,917082308
Nav Vestfold og Telemark,994706187,974241730.0,62.0,Underenhet,,,,,Porsgrunn,Underenhet til næringsdrivende og offentlig forvaltning,84.3,Administrasjon av trygdeordninger underlagt offentlig forvaltning,,,,,BEDR,Porsgrunn,994706187,62.0,True,False,974241730
Stendi as omsorgstjenester sør ot nenset,914443180,985194653.0,61.0,Underenhet,,,,,Bærum,Underenhet til næringsdrivende og offentlig forvaltning,87.201,Omsorgstjenester i botilbud for personer med psykiske helseproblemer og/eller rusmiddelproblemer,,,,,BEDR,Skien,914443180,61.0,True,False,985194653
Hydro aluminium as avd Porsgrunn,983851908,917537534.0,60.0,Underenhet,,,,,Porsgrunn,Underenhet til næringsdrivende og offentlig forvaltning,72.1,Forskning og eksperimentell utvikling innenfor naturvitenskap og teknikk,,,,,BEDR,Porsgrunn,983851908,60.0,True,False,917537534
Sats vest as avd klosterøya,916539711,948942003.0,58.0,Underenhet,,,,,Oslo,Underenhet til næringsdrivende og offentlig forvaltning,93.13,Treningssentervirksomhet,,,,,BEDR,Skien,916539711,58.0,True,False,948942003
Sparebank 1 sør-norge asa avd Skien,994329499,937895321.0,57.0,Underenhet,,,,,Sandefjord,Underenhet til næringsdrivende og offentlig forvaltning,64.19,Banker og kredittforetak,,,,,BEDR,Skien,994329499,57.0,True,False,937895321
Tyrilisenteret i Skien,987977205,961025311.0,57.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,86.103,Spesialisert rusbehandling,,,,,BEDR,Skien,987977205,57.0,True,False,961025311
Aider as avd Skien regnskap,972194220,922633452.0,56.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,69.202,Regnskapsføring og bokføring,,,,,BEDR,Skien,972194220,56.0,True,False,922633452
Kranringen as avd Skien,971678933,953069466.0,55.0,Underenhet,,,,,Skien,Underenhet til næringsdrivende og offentlig forvaltning,49.41,Godstransport på vei,,,,,BEDR,Skien,971678933,55.0,True,False,953069466
Haukeliseter fjellstue,973154451,946846856.0,55.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,55.1,Drift av hoteller,,,,,BEDR,Vinje,973154451,55.0,True,False,946846856
Hasås as avd produksjon telemarksbruket,974090104,934995953.0,54.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,16.11,Saging og høvling av tre,,,,,BEDR,Midt-Telemark,974090104,54.0,True,False,934995953
Nippon gases Norge as avd luftgassfabrikk rjukan,973083481,945772042.0,54.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,20.11,Produksjon av industrigasser,,,,,BEDR,Tinn,973083481,54.0,True,False,945772042
Asplan viak as avd Skien,873122722,910209205.0,54.0,Underenhet,,,,,Skien,Underenhet til næringsdrivende og offentlig forvaltning,71.121,Byggeteknisk konsulentvirksomhet,,,,,BEDR,Skien,873122722,54.0,True,False,910209205
Bravida Norge as Skien vvs,973207245,987582561.0,53.0,Underenhet,,,,,Oslo,Underenhet til næringsdrivende og offentlig forvaltning,43.22,VVS-arbeid,,,,,BEDR,Skien,973207245,53.0,True,False,987582561
Hima seafood management as avd rjukan,932194287,928734412.0,52.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,3.221,"Produksjon av fisk, bløtdyr, krepsdyr og andre dyr som lever i ferskvann",,,,,BEDR,Tinn,932194287,52.0,True,False,928734412
Universitetet i stavanger læringsmiljø og adferdsforskning avd Porsgrunn,874730262,971564679.0,51.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,85.202,Spesialskoleundervisning på grunnskolenivå,,,,,BEDR,Porsgrunn,874730262,51.0,True,False,971564679
Bufetat sør Telemark ungdomssenter kjørbekk,974568284,986128433.0,51.0,Underenhet,,,,,Tønsberg,Underenhet til næringsdrivende og offentlig forvaltning,87.991,Tjenester i barneverninstitusjoner,,,,,BEDR,Skien,974568284,51.0,True,False,986128433
Læringsverkstedet klyveskogen barnehage,983509347,930872962.0,50.0,Underenhet,,,,,Ullensaker,Underenhet til næringsdrivende og offentlig forvaltning,85.1,Førskoleundervisning og drift av barnehager,,,,,BEDR,Skien,983509347,50.0,True,False,930872962
Sats vest as avd porselensfabrikken,998054184,948942003.0,50.0,Underenhet,,,,,Oslo,Underenhet til næringsdrivende og offentlig forvaltning,93.13,Treningssentervirksomhet,,,,,BEDR,Porsgrunn,998054184,50.0,True,False,948942003
Bufetat sør Telemark ungdomssenter miljøheimen,976246578,986128433.0,49.0,Underenhet,,,,,Tønsberg,Underenhet til næringsdrivende og offentlig forvaltning,87.991,Tjenester i barneverninstitusjoner,,,,,BEDR,Vinje,976246578,49.0,True,False,986128433
Bilfinger Norway as avd rjukan,991466916,988996564.0,47.0,Underenhet,,,,,Tinn,Underenhet til næringsdrivende og offentlig forvaltning,33.12,Reparasjon og vedlikehold av maskiner,,,,,BEDR,Tinn,991466916,47.0,True,False,988996564
Peab bygg as avd Telemark,975865061,943672520.0,46.0,Underenhet,,,,,Skien,Underenhet til næringsdrivende og offentlig forvaltning,41.0,Oppføring av bygninger,,,,,BEDR,Skien,975865061,46.0,True,False,943672520
Biltema Norge as avd 213 Skien,984741359,882692302.0,46.0,Underenhet,,,,,Ullensaker,Underenhet til næringsdrivende og offentlig forvaltning,47.52,"Detaljhandel med jernvarer, byggevarer, fargevarer og glass",,,,,BEDR,Skien,984741359,46.0,True,False,882692302
Elkjøp Skien,971844493,947054600.0,46.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,47.54,Detaljhandel med elektriske husholdningsapparater,,,,,BEDR,Skien,971844493,46.0,True,False,947054600
Thon hotel høyers,974284235,938050732.0,46.0,Underenhet,,,,,Skien,Underenhet til næringsdrivende og offentlig forvaltning,55.1,Drift av hoteller,,,,,BEDR,Skien,974284235,46.0,True,False,938050732
Mcdonald's stathelle avd 91 rugtvedt,927716186,929910737.0,46.0,Underenhet,,,,,Oslo,Underenhet til næringsdrivende og offentlig forvaltning,56.11,Drift av restauranter,,,,,BEDR,Bamble,927716186,46.0,True,False,929910737
Norgesmøllene as avd Skien,973143581,885719422.0,45.0,Underenhet,,,,,Bergen,Underenhet til næringsdrivende og offentlig forvaltning,10.61,Produksjon av kornvarer,,,,,BEDR,Skien,973143581,45.0,True,False,885719422
Sts-isonor as avd Skien,971928131,991750282.0,45.0,Underenhet,,,,,Bergen,Underenhet til næringsdrivende og offentlig forvaltning,43.23,Installasjon av isoleringsmateriale,,,,,BEDR,Skien,971928131,45.0,True,False,991750282
Brastad solutions as avd Porsgrunn,921560982,967773778.0,44.0,Underenhet,,,,,Vestnes,Underenhet til næringsdrivende og offentlig forvaltning,33.15,Reparasjon og vedlikehold av sivile skip og båter,,,,,BEDR,Porsgrunn,921560982,44.0,True,False,967773778
Servicealliansen as Skien & Seljord,923778632,957246575.0,44.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,41.0,Oppføring av bygninger,,,,,BEDR,Porsgrunn,923778632,44.0,True,False,957246575
Bertel o. steen Vestfold og Telemark as avd Telemark,873143312,918707565.0,44.0,Underenhet,,,,,Skien,Underenhet til næringsdrivende og offentlig forvaltning,47.81,Detaljhandel med motorvogner,,,,,BEDR,Skien,873143312,44.0,True,False,918707565
Veidekke industri as dv Vestfold og Telemark,931665510,913536770.0,43.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,42.11,Bygging av veier og motorveier,,,,,BEDR,Skien,931665510,43.0,True,False,913536770
Sweco Norge as Seljord,973288504,967032271.0,43.0,Underenhet,,,,,Seljord,Underenhet til næringsdrivende og offentlig forvaltning,71.121,Byggeteknisk konsulentvirksomhet,,,,,BEDR,Seljord,973288504,43.0,True,False,967032271
Ibka Norge as avd herøya,992388439,952070533.0,42.0,Underenhet,,,,,Porsgrunn,Underenhet til næringsdrivende og offentlig forvaltning,38.11,Innsamling av ikke-farlig avfall,,,,,BEDR,Porsgrunn,992388439,42.0,True,False,952070533
Nav Vestfold og Telemark torggata 18 Skien,991357122,974241730.0,42.0,Underenhet,,,,,Skien,Underenhet til næringsdrivende og offentlig forvaltning,84.3,Administrasjon av trygdeordninger underlagt offentlig forvaltning,,,,,BEDR,Skien,991357122,42.0,True,False,974241730
Læringsverkstedet kongerød barnehage,992471174,930871834.0,42.0,Underenhet,,,,,Ullensaker,Underenhet til næringsdrivende og offentlig forvaltning,85.1,Førskoleundervisning og drift av barnehager,,,,,BEDR,Skien,992471174,42.0,True,False,930871834
Mova Skien fridtjof nansens gate,922749132,994588117.0,42.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,93.13,Treningssentervirksomhet,,,,,BEDR,Skien,922749132,42.0,True,False,994588117
Volmax as avd grenland,971983892,984674104.0,42.0,Underenhet,,,,,Sandefjord,Underenhet til næringsdrivende og offentlig forvaltning,95.31,Reparasjon og vedlikehold av motorvogner,,,,,BEDR,Porsgrunn,971983892,42.0,True,False,984674104
Norsk rikskringkasting as avd Porsgrunn,974825198,976390512.0,41.0,Underenhet,,,,,Porsgrunn,Underenhet til næringsdrivende og offentlig forvaltning,60.2,"Fjernsynsprogramvirksomhet, kringkasting og distribuering av audiovisuelle medier",,,,,BEDR,Porsgrunn,974825198,41.0,True,False,976390512
Norconsult Norge as avd Porsgrunn,973105426,962392687.0,41.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,71.121,Byggeteknisk konsulentvirksomhet,,,,,BEDR,Porsgrunn,973105426,41.0,True,False,962392687
Goodtech as avd Porsgrunn,971992034,984892071.0,41.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,71.129,Annen teknisk konsulentvirksomhet,,,,,BEDR,Porsgrunn,971992034,41.0,True,False,984892071
Læringsverkstedet harmonien doremi barnehage,995370530,930861510.0,41.0,Underenhet,,,,,Ullensaker,Underenhet til næringsdrivende og offentlig forvaltning,85.1,Førskoleundervisning og drift av barnehager,,,,,BEDR,Skien,995370530,41.0,True,False,930861510
Læringsverkstedet gvarv barnehage,998175976,930861634.0,41.0,Underenhet,,,,,Ullensaker,Underenhet til næringsdrivende og offentlig forvaltning,85.1,Førskoleundervisning og drift av barnehager,,,,,BEDR,Midt-Telemark,998175976,41.0,True,False,930861634
Vy buss as avd vest-telemark,822920632,976948394.0,39.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,49.31,Passasjertransport med rutebil,,,,,BEDR,Kviteseid,822920632,39.0,True,False,976948394
Ernst & young as avd Porsgrunn,973076736,976389387.0,39.0,Underenhet,,,,,Porsgrunn,Underenhet til næringsdrivende og offentlig forvaltning,69.201,Revisjon,,,,,BEDR,Porsgrunn,973076736,39.0,True,False,976389387
Norlandia akrobaten idrettsbarnehage,996140172,930202258.0,39.0,Underenhet,,,,,Moss,Underenhet til næringsdrivende og offentlig forvaltning,85.1,Førskoleundervisning og drift av barnehager,,,,,BEDR,Porsgrunn,996140172,39.0,True,False,930202258
Meny klosterfoss,973142852,879447232.0,38.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,47.11,Detaljhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler,,,,,BEDR,Skien,973142852,38.0,True,False,879447232
Hybeko as avd Skien,971732962,991729380.0,37.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,46.64,Engroshandel med maskiner og utstyr ellers,,,,,BEDR,Skien,971732962,37.0,True,False,991729380
Kystverket brevik,974732211,874783242.0,37.0,Underenhet,,,,,Ålesund,Underenhet til næringsdrivende og offentlig forvaltning,52.22,Andre tjenester tilknyttet sjøtransport,,,,,BEDR,Porsgrunn,974732211,37.0,True,False,874783242
Posten bring as stathelle,979852460,984661185.0,37.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,53.1,Landsdekkende posttjenester,,,,,BEDR,Bamble,979852460,37.0,True,False,984661185
Mcdonald's Porsgrunn avd 4,974381281,929910737.0,37.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,56.11,Drift av restauranter,,,,,BEDR,Porsgrunn,974381281,37.0,True,False,929910737
Sparebank 1 sør-norge asa avd Porsgrunn,994560492,937895321.0,37.0,Underenhet,,,,,Sandefjord,Underenhet til næringsdrivende og offentlig forvaltning,64.19,Banker og kredittforetak,,,,,BEDR,Porsgrunn,994560492,37.0,True,False,937895321
Iss facility services as avd renhold rjukan,971838779,914791723.0,37.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,81.21,Rengjøring av bygninger,,,,,BEDR,Tinn,971838779,37.0,True,False,914791723
Wood group Norway as avd herøya,998632722,976802357.0,36.0,Underenhet,,,,,Sandefjord,Underenhet til næringsdrivende og offentlig forvaltning,9.109,Andre tjenester tilknyttet utvinning av råolje og naturgass,,,,,BEDR,Porsgrunn,998632722,36.0,True,False,976802357
Brubakken as hovedkontor,974305356,930730556.0,36.0,Underenhet,,,,,Porsgrunn,Underenhet til næringsdrivende og offentlig forvaltning,33.12,Reparasjon og vedlikehold av maskiner,,,,,BEDR,Porsgrunn,974305356,36.0,True,False,930730556
Bilfinger Norway as avd rafnes,991466819,988996564.0,36.0,Underenhet,,,,,Porsgrunn,Underenhet til næringsdrivende og offentlig forvaltning,33.12,Reparasjon og vedlikehold av maskiner,,,,,BEDR,Bamble,991466819,36.0,True,False,988996564
Meny tuven,979203292,879447232.0,36.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,47.11,Detaljhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler,,,,,BEDR,Notodden,979203292,36.0,True,False,879447232
Bouvet Norge as avd grenland,982598222,996756246.0,36.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,62.1,Dataprogrammeringstjenester,,,,,BEDR,Porsgrunn,982598222,36.0,True,False,996756246
Heidelberg materials sement Norge as kalkstenbrudd,973142895,934949145.0,35.0,Underenhet,,,,,Porsgrunn,Underenhet til næringsdrivende og offentlig forvaltning,8.11,"Bryting av dekorstein, kalkstein, gips, skifer og annen stein",,,,,BEDR,Porsgrunn,973142895,35.0,True,False,934949145
Heidelberg materials miljø as avd brevik,980568652,935906865.0,35.0,Underenhet,,,,,Porsgrunn,Underenhet til næringsdrivende og offentlig forvaltning,38.22,Energigjenvinning,,,,,BEDR,Porsgrunn,980568652,35.0,True,False,935906865
