Nivå,Geografisk enhet,Arbeidsmarkedsstatus,Kjønn,Antall personer,Andel av arbeidsstyrken,Dato
Fylker,Agder,Arbeidssøkere på tiltak,Begge kjønn,725,0.005,2011-01-01
Fylker,Agder,Arbeidssøkere på tiltak,Kvinner,312,0.005,2011-01-01
Fylker,Agder,Arbeidssøkere på tiltak,Menn,413,0.005,2011-01-01
Fylker,Agder,Delvis ledige,Begge kjønn,1882,0.013,2011-01-01
Fylker,Agder,Delvis ledige,Kvinner,906,0.013,2011-01-01
Fylker,Agder,Delvis ledige,Menn,976,0.013,2011-01-01
Fylker,Agder,Helt ledige,Begge kjønn,5084,0.035,2011-01-01
Fylker,Agder,Helt ledige,Kvinner,1728,0.026,2011-01-01
Fylker,Agder,Helt ledige,Menn,3356,0.043,2011-01-01
Fylker,Akershus,Arbeidssøkere på tiltak,Begge kjønn,1725,0.005,2011-01-01
Fylker,Akershus,Arbeidssøkere på tiltak,Kvinner,884,0.006,2011-01-01
Fylker,Akershus,Arbeidssøkere på tiltak,Menn,841,0.005,2011-01-01
Fylker,Akershus,Delvis ledige,Begge kjønn,2305,0.007,2011-01-01
Fylker,Akershus,Delvis ledige,Kvinner,1234,0.008,2011-01-01
Fylker,Akershus,Delvis ledige,Menn,1071,0.007,2011-01-01
Fylker,Akershus,Helt ledige,Begge kjønn,7930,0.025,2011-01-01
Fylker,Akershus,Helt ledige,Kvinner,3159,0.021,2011-01-01
Fylker,Akershus,Helt ledige,Menn,4771,0.029,2011-01-01
Fylker,Buskerud,Arbeidssøkere på tiltak,Begge kjønn,783,0.006,2011-01-01
Fylker,Buskerud,Arbeidssøkere på tiltak,Kvinner,378,0.006,2011-01-01
Fylker,Buskerud,Arbeidssøkere på tiltak,Menn,405,0.006,2011-01-01
Fylker,Buskerud,Delvis ledige,Begge kjønn,1267,0.01,2011-01-01
Fylker,Buskerud,Delvis ledige,Kvinner,665,0.011,2011-01-01
Fylker,Buskerud,Delvis ledige,Menn,602,0.009,2011-01-01
Fylker,Buskerud,Helt ledige,Begge kjønn,3861,0.03,2011-01-01
Fylker,Buskerud,Helt ledige,Kvinner,1586,0.026,2011-01-01
Fylker,Buskerud,Helt ledige,Menn,2275,0.034,2011-01-01
