Navn,Org. nr.,Overordnet enhet,Antall ansatte,firfirmaid,Bedriftsstatus,Organisasjonsform,konsernopporgnr,Navn på overliggende enhet,Orgnr til toppenhet,Fylkesnavn,fylkesnavn,kommune_id,Kommunenummer,kommunenavn,Kommunenavn,Intervallkode antall ansatte,Omsetning i hele tusen,Driftsresultat i hele tusen,Dato for etablering,Sektorkode fra SSB,Privat eller offentlig,Nace_1_navn,Nace_5_navn,Nace_5_nr,Y (UTM33),X (UTM33),load_date,Lon,Lat
Netica AS Konkursbo,938179816,938179808,,18103933,9,,,,,Telemark,Telemark,4003,4003,Skien,SKIEN,0-1,,,2026-07-29,,,Forretningsmessig tjenesteyting,Utvendig rengjøring av bygninger og industriell rengjøring,81.220,6580993.6252,190397.00930000003,2026-08-05 03:37:01,"9,5671620005355","59,25425400083564"
Nybu Maskin & Landbrukservice,938178178,,,18103856,1,Enkeltpersonforetak,,,,Telemark,Telemark,4003,4003,Skien,SKIEN,0-1,,,2026-07-29,Personlig næringsdrivende,Privat sektor,,,00.000,6572954.794199999,196134.92119999975,2026-08-05 03:37:01,"9,678573000006487","59,18652900113869"
Fagertun Bigård,938177988,,,18103840,1,Enkeltpersonforetak,,,,Telemark,Telemark,4010,4010,Siljan,SILJAN,0-1,,,2026-07-29,Personlig næringsdrivende,Privat sektor,,,00.000,6578632.5134,204113.6069,2026-08-05 03:37:01,"9,809905499790716","59,242941000703986"
Strimp Media,938172501,937841191,,18103623,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4012,4012,Bamble,BAMBLE,0-1,,,2026-06-01,,,"Kulturell virksomhet, idrett og fritidsaktiviteter",Andre tjenester tilknyttet kunstnerisk virksomhet og underholdningsvirksomhet,90.390,6555272.5265,197203.05250000022,2026-08-05 03:37:01,"9,721615500623777","59,02917300124788"
Nikiza Dinrental,938171874,937771789,,18103584,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4012,4012,Bamble,BAMBLE,0-1,,,2026-06-30,,,Forretningsmessig tjenesteyting,Utleie og leasing av biler og andre lette motorvogner,77.110,6554831.531199999,196317.11539999954,2026-08-05 03:37:01,"9,706855500365489","59,024601000518565"
Lindgren Mekaniske,938171815,937836120,,18103579,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4018,4018,Nome,NOME,0-1,,,2026-06-05,,,Industri,Reparasjon og vedlikehold av maskiner,33.120,6584293.679099999,174359.95930000022,2026-08-05 03:37:01,"9,282374999412303","59,271723001062966"
Norboost Høvset,938171777,937769393,,18103575,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4001,4001,Porsgrunn,PORSGRUNN,0-1,,,2026-05-23,,,Varehandel,Detaljhandel med bredt vareutvalg ellers,47.120,6568451.930500001,195011.7745000003,2026-08-05 03:37:01,"9,665293500211058","59,14546200039321"
Rebecca Ekholdt - Hosekholdt,838172512,937841310,,18103515,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4012,4012,Bamble,BAMBLE,0-1,,,2026-06-06,,,"Faglig, vitenskapelig og teknisk tjenesteyting",Reklamebyråvirksomhet,73.110,6555120.030300001,197362.19400000013,2026-08-05 03:37:01,"9,724585500015648","59,027922000831"
Gunleksen Sporthorses,938174156,937853246,,18103482,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4003,4003,Skien,SKIEN,0-1,,,2026-06-08,,,"Jordbruk, skogbruk og fiske",Hestehold,01.430,6570326.5517,196402.2659,2026-08-05 03:37:01,"9,68688900076349","59,16321900111845"
Veterinær Sara Celine Torsdal,938174148,937853203,,18103481,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4005,4005,Notodden,NOTODDEN,0-1,,,2026-06-08,,,"Faglig, vitenskapelig og teknisk tjenesteyting",Veterinærtjenester,75.000,6615246.601199999,177600.5159,2026-08-05 03:37:01,"9,29245500054534","59,55079500112506"
Delecto Leverer AS,938173834,937850409,,18103461,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4014,4014,Kragerø,KRAGERØ,0-1,,,2026-07-28,,,Industri,Produksjon av næringsmidler ikke nevnt annet sted,10.890,6540093.41,177197.50200000033,2026-08-05 03:37:01,"9,39686850016654","58,878873000821294"
"Nutsi´s Cookies, Nino Kobakhidze Fjeld",838173772,937849176,,18103397,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4020,4020,Midt-Telemark,MIDT-TELEMARK,0-1,,,2026-07-01,,,Industri,Produksjon av brød og ferske konditorvarer,10.710,6600247.9564,163883.96140000038,2026-08-05 03:37:01,"9,074700001007706","59,406048000449964"
Nina Therese Berg Holding AS,838170722,938168954,,18103312,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4003,4003,Skien,SKIEN,0-1,,,2026-06-11,,,,,00.000,6569775.6779,195386.70849999972,2026-08-05 03:37:01,"9,66997350051613","59,157567000747285"
Sinja Gallefos Hockey Coaching,938174725,,,18103308,1,Enkeltpersonforetak,,,,Telemark,Telemark,4003,4003,Skien,SKIEN,0-1,,,2026-07-29,Personlig næringsdrivende,Privat sektor,Undervisning,Undervisning innenfor idrett og rekreasjon,85.510,6575483.8072999995,192739.33559999987,2026-08-05 03:37:01,"9,615842999549475","59,20669800066642"
Sara Smith,938174636,,,18103304,1,Enkeltpersonforetak,,,,Telemark,Telemark,4022,4022,Seljord,SELJORD,0-1,,,2026-07-29,Personlig næringsdrivende,Privat sektor,"Faglig, vitenskapelig og teknisk tjenesteyting",Fotografvirksomhet,74.200,6610416.249399999,137701.7430999996,2026-08-05 03:37:01,"8,59916250064281","59,47509600108933"
Lunde Næringsselskap AS,838168922,,,18103286,1,Aksjeselskap,,,,Telemark,Telemark,4018,4018,Nome,NOME,0-1,,,2026-04-27,Private aksjeselskaper mv.,Privat sektor,Eiendomsvirksomhet,Utleie av egen eller leid fast eiendom,68.200,6587921.134500001,160660.8038999997,2026-08-05 03:37:01,"9,03763800062573","59,2933680009605"
Leonard Kups Data Solutions,938028648,,,18103269,1,Enkeltpersonforetak,,,,Telemark,Telemark,4018,4018,Nome,NOME,0-1,,,2026-07-28,Personlig næringsdrivende,Privat sektor,,,00.000,6584324.51,175618.38999999966,2026-08-05 03:37:01,"9,304297811608158","59,272964460267815"
Kommuneguiden AS,938077746,,,18103175,1,Aksjeselskap,,,,Telemark,Telemark,4030,4030,Nissedal,NISSEDAL,0-1,,,2026-06-08,Private aksjeselskaper mv.,Privat sektor,"Telekommunikasjon, dataprogrammering, konsulentvirksomhet, datainfrastruktur og andre tjenester tilk",Dataprogrammeringstjenester,62.100,6562287.970000001,127958.36000000034,2026-08-05 03:37:01,"8,510803594115478","59,03718158687865"
Hans Erik Rue,938166064,,,18103153,1,Enkeltpersonforetak,,,,Telemark,Telemark,4026,4026,Tinn,TINN,0-1,,,2026-07-28,Personlig næringsdrivende,Privat sektor,,,00.000,6666938.029999999,152227.5700000003,2026-08-05 03:37:01,"8,760361572995535","59,9919563972128"
Citadel Skien AS,938072752,,,18103062,1,Aksjeselskap,,,,Telemark,Telemark,4003,4003,Skien,SKIEN,0-1,,,2026-06-18,Private aksjeselskaper mv.,Privat sektor,Eiendomsvirksomhet,Kjøp og salg av egen fast eiendom,68.110,6575632.83,192392.1900000004,2026-08-05 03:37:01,"9,609580504532508","59,20777893232612"
Amora Studio AS,938167400,,,18103039,1,Aksjeselskap,,,,Telemark,Telemark,4001,4001,Porsgrunn,PORSGRUNN,0-1,,,2026-07-16,Private aksjeselskaper mv.,Privat sektor,"Faglig, vitenskapelig og teknisk tjenesteyting","Industri-, produkt- og motedesignvirksomhet",74.110,6566021.91,194480.08000000007,2026-08-05 03:37:01,"9,65943361892113","59,12335270166292"
Sagmyra Apotek AS,938162840,938142408,,18102847,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4012,4012,Bamble,BAMBLE,0-1,,,2026-07-01,,,Varehandel,Detaljhandel med apotekvarer,47.730,6556630.66,195838.88999999966,2026-08-05 03:37:01,"9,696077459067189","59,04034911750001"
Øvre Flatdal Veglag Sameige,938160821,838085792,,18102815,9,,,,,Telemark,Telemark,4022,4022,Seljord,SELJORD,0-1,,,2026-07-11,,,Eiendomsvirksomhet,Eiendomsforvaltning på oppdrag,68.320,6618602.51,137536.00999999978,2026-08-05 03:37:01,"8,582339019621246","59,54800526249353"
Min My Gap Aasland,938159475,938159467,,18102803,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4003,4003,Skien,SKIEN,0-1,,,2026-07-26,,,"Faglig, vitenskapelig og teknisk tjenesteyting",Bedriftsrådgivning og annen administrativ rådgivning,70.200,6576190.51,189668.83999999985,2026-08-05 03:37:01,"9,561310104795968","59,21078227185138"
MS Flis og Bygg AS,938161275,938025703,,18102707,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4003,4003,Skien,SKIEN,0-1,,,2026-07-27,,,Bygge- og anleggsvirksomhet,Gulvlegging og tapetsering,43.330,6569503.77,193831.45999999996,2026-08-05 03:37:01,"9,643278649558143","59,154019073980095"
