Navn,Org. nr.,Overordnet enhet,Antall ansatte,Sektorkode,Sektor,Aktivitet,Forretningsadresse - Kommune,Postadresse - Kommune,Organisasjonsform,NACE 1,NACE 1 - Bransje,NACE 2,NACE 2 - Bransje,NACE 3,NACE 3 - Bransje
Pop inn AS,920674801,,12,2100,Private aksjeselskaper mv.,,Skien,Skien,Aksjeselskap,46.900,Uspesifisert engroshandel,,,,
Fyresdal mat AS,931314874,,12,2100,Private aksjeselskaper mv.,,Fyresdal,,Aksjeselskap,47.111,Butikkhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler,,,,
Menstad mat AS,931713507,,12,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,47.111,Butikkhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler,,,,
Sunniva grava AS,826139692,,12,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,47.111,Butikkhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler,,,,
Drangedal autosenter AS,917077150,,12,2100,Private aksjeselskaper mv.,,Drangedal,,Aksjeselskap,47.300,Detaljhandel med drivstoff til motorvogner,,,,
Nenseth verksted AS,945046481,,12,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,47.300,Detaljhandel med drivstoff til motorvogner,,,,
Stasjonsdrift Skien AS,984128460,,12,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,47.300,Detaljhandel med drivstoff til motorvogner,,,,
Elkjøp Tinn AS,975377636,,12,2100,Private aksjeselskaper mv.,,Tinn,,Aksjeselskap,47.540,Butikkhandel med elektriske husholdningsapparater,,,,
Sport 1 gaustablikk AS,915957544,,12,2100,Private aksjeselskaper mv.,,Tinn,,Aksjeselskap,47.641,Butikkhandel med sportsutstyr,,,,
Extra leker Skien AS,987729678,,12,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,47.650,Butikkhandel med spill og leker,,,,
Cigill AS,996952169,,12,2100,Private aksjeselskaper mv.,,Nome,Nome,Aksjeselskap,47.710,Butikkhandel med klær,,,,
Sverre ruud manufaktur AS,931965662,,12,2100,Private aksjeselskaper mv.,,Kviteseid,Kviteseid,Aksjeselskap,47.710,Butikkhandel med klær,,,,
Svanen apotek AS,930943053,,12,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,47.730,Butikkhandel med apotekvarer,,,,
Blomen Vinje AS,925581534,,12,2100,Private aksjeselskaper mv.,,Vinje,,Aksjeselskap,47.761,Butikkhandel med blomster og planter,,,,
Solsikka Notodden AS,985862362,,12,2100,Private aksjeselskaper mv.,,Notodden,,Aksjeselskap,47.761,Butikkhandel med blomster og planter,,,,
Strandgata blomster og interiør AS,917041644,,12,2100,Private aksjeselskaper mv.,,Bamble,,Aksjeselskap,47.761,Butikkhandel med blomster og planter,,,,
Loppo kristiansand AS,932934345,,12,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,47.799,Butikkhandel med brukte varer ellers,,,,
Magnus nordskog,991253882,,12,8200,Personlig næringsdrivende,,Nome,,Enkeltpersonforetak,49.320,Drosjebiltransport,,,,
Gaustaekspressen AS,926338072,,12,2100,Private aksjeselskaper mv.,,Tinn,,Aksjeselskap,49.392,Turbiltransport,,,,
Bård langkaas transport AS,987473061,,12,2100,Private aksjeselskaper mv.,,Midt-Telemark,,Aksjeselskap,49.410,Godstransport på vei,,,,
Herman hermansen as transportforretning,930671142,,12,2100,Private aksjeselskaper mv.,,Nome,,Aksjeselskap,49.410,Godstransport på vei,,,,
M.l.transport AS,921320795,,12,2100,Private aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,53.200,Andre post- og budtjenester,,,,
Bobben spiseri og vinbar AS,930570958,,12,2100,Private aksjeselskaper mv.,,Bamble,,Aksjeselskap,56.101,Drift av restauranter og kafeer,,,,
Brian boru Skien AS,931538713,,12,2100,Private aksjeselskaper mv.,,Skien,Porsgrunn,Aksjeselskap,56.101,Drift av restauranter og kafeer,,,,
Danys cafe AS,919967633,,12,2100,Private aksjeselskaper mv.,,Notodden,,Aksjeselskap,56.101,Drift av restauranter og kafeer,,,,
Kikuthytta cafe og selskapslokaler AS,916817738,,12,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,56.101,Drift av restauranter og kafeer,,,,
Playa bar monica kittilsen,993536296,,12,8200,Personlig næringsdrivende,,Drangedal,Drangedal,Enkeltpersonforetak,56.101,Drift av restauranter og kafeer,,,,
The bull inn AS,995464063,,12,2100,Private aksjeselskaper mv.,,Midt-Telemark,,Aksjeselskap,56.101,Drift av restauranter og kafeer,,,,
Perry bar AS,894813032,,12,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,56.102,Drift av gatekjøkken,,,,
Sailors inn AS,996907120,,12,2100,Private aksjeselskaper mv.,,Porsgrunn,Porsgrunn,Aksjeselskap,56.301,Drift av puber,,,,
Itum Notodden AS,991586253,,12,2100,Private aksjeselskaper mv.,,Notodden,Notodden,Aksjeselskap,62.020,Konsulentvirksomhet tilknyttet informasjonsteknologi,,,,
Rising regnskap AS,992438681,,12,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,69.201,Regnskap og bokføring,,,,
Ranold AS,985987483,,12,2100,Private aksjeselskaper mv.,,Porsgrunn,Porsgrunn,Aksjeselskap,71.129,Annen teknisk konsulentvirksomhet,,,,
Strukturas AS,963175094,,12,2100,Private aksjeselskaper mv.,,Porsgrunn,Porsgrunn,Aksjeselskap,71.129,Annen teknisk konsulentvirksomhet,,,,
Nord taksering AS,986593640,,12,2100,Private aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,74.901,Takseringsvirksomhet,,,,
Trimco group (norway) AS,919278692,,12,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,74.909,"Annen faglig, vitenskapelig og teknisk virksomhet ikke nevnt annet sted",,,,
Personaltjenester Telemark AS,983807801,,12,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,78.200,Utleie av arbeidskraft,,,,
Visit Telemark AS,913193423,,12,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,79.901,Turistkontorvirksomhet og destinasjonsselskaper,,,,
Telemark opplevelser AS,983751024,,12,2100,Private aksjeselskaper mv.,,Tinn,,Aksjeselskap,79.902,Guider og reiseledere,,,,
"Vestfold, Telemark og agder kontrollutvalgssekreteriat iks",987993766,,12,6500,Kommuneforvaltningen,,Midt-Telemark,Midt-Telemark,Interkommunalt selskap,84.110,Generell offentlig administrasjon,,,,
Hjartdal montessoriskule,920187765,,12,2100,Private aksjeselskaper mv.,,Hjartdal,,Stiftelse,85.201,Ordinær grunnskoleundervisning,,,,
Opaas kompetansesenter AS,913000315,,12,2100,Private aksjeselskaper mv.,,Notodden,,Aksjeselskap,85.530,Trafikkskoleundervisning,,,,
Nooa AS,998587883,,12,2100,Private aksjeselskaper mv.,,Kragerø,,Aksjeselskap,85.599,Annen undervisning ikke nevnt annet sted,,,,
Solkysten tannhelse AS,986620117,,12,2100,Private aksjeselskaper mv.,,Bamble,,Aksjeselskap,86.230,Tannhelsetjenester,,,,
Kapitelberget natur - og kulturbarnehage sa,961346126,,12,2100,Private aksjeselskaper mv.,,Skien,,Samvirkeforetak,88.911,Barnehager,,,,
Notodden fotballklubb,981946944,,12,7000,Ideelle organisasjoner,,Notodden,Notodden,Forening/lag/innretning,93.120,Idrettslag og -klubber,,,,
Pinsekirken tabernaklet Skien,971491205,,12,7000,Ideelle organisasjoner,,Skien,Skien,Forening/lag/innretning,94.910,Religiøse organisasjoner,88.911,Barnehager,,
In line frisør AS,924438223,,12,2100,Private aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,96.020,Frisering og annen skjønnhetspleie,,,,
Sørsmolt AS,921136846,,11,2100,Private aksjeselskaper mv.,,Kragerø,Sandefjord,Aksjeselskap,03.222,Produksjon av yngel og settefisk i ferskvannsbasert fiskeoppdrett,,,,
Telemark bakeri AS,923232109,,11,2100,Private aksjeselskaper mv.,,Bamble,,Aksjeselskap,10.710,Produksjon av brød og ferske konditorvarer,,,,
Øyfjell sag og høvleri AS,913519469,,11,2100,Private aksjeselskaper mv.,,Vinje,,Aksjeselskap,16.100,"Saging, høvling og impregnering av tre",,,,
Rorgemoen råbygg AS,920578845,,11,2100,Private aksjeselskaper mv.,,Vinje,,Aksjeselskap,16.231,Produksjon av monteringsferdige hus,,,,
Wera AS,987598867,,11,2100,Private aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,18.120,Trykking ellers,,,,
Gromstad båtservice AS,987923423,,11,2100,Private aksjeselskaper mv.,,Kragerø,,Aksjeselskap,33.150,Reparasjon og vedlikehold av skip og båter,,,,
Løvenskiold fossum kraft,982699614,,11,8200,Personlig næringsdrivende,,Skien,,Enkeltpersonforetak,35.111,Produksjon av elektrisitet fra vannkraft,,,,
Byggmester h.kiste AS,919634774,,11,2100,Private aksjeselskaper mv.,,Skien,Skien,Aksjeselskap,41.200,Oppføring av bygninger,,,,
Frier byggservice AS,919910666,,11,2100,Private aksjeselskaper mv.,,Bamble,,Aksjeselskap,41.200,Oppføring av bygninger,,,,
Brødrene fossheim transport AS,929570391,,11,2100,Private aksjeselskaper mv.,,Tinn,Tinn,Aksjeselskap,43.120,Grunnarbeid,,,,
Kåsastul maskin AS,932402750,,11,2100,Private aksjeselskaper mv.,,Notodden,,Aksjeselskap,43.120,Grunnarbeid,,,,
O sveinsson gravemaskindrift AS,916459629,,11,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,43.120,Grunnarbeid,,,,
Stabil varme service AS,998726530,,11,2100,Private aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,43.221,Rørleggerarbeid,,,,
Vestmar rør AS,985548226,,11,2100,Private aksjeselskaper mv.,,Kragerø,,Aksjeselskap,43.221,Rørleggerarbeid,,,,
Dørautomatikk AS,825822062,,11,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,43.290,Annet installasjonsarbeid,,,,
Entreprenørfirma leif øygarden AS,981402278,,11,2100,Private aksjeselskaper mv.,,Kragerø,,Aksjeselskap,43.990,Annen spesialisert bygge- og anleggsvirksomhet,,,,
Grenland betongsaging AS,991063579,,11,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,43.990,Annen spesialisert bygge- og anleggsvirksomhet,,,,
Murmester gulliksen AS,961560446,,11,2100,Private aksjeselskaper mv.,,Porsgrunn,Skien,Aksjeselskap,43.990,Annen spesialisert bygge- og anleggsvirksomhet,,,,
Viking tak og bygg AS,816361362,,11,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,43.990,Annen spesialisert bygge- og anleggsvirksomhet,,,,
Tresland bilskade AS,982933544,,11,2100,Private aksjeselskaper mv.,,Midt-Telemark,,Aksjeselskap,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",,,,
Farstad & co AS,921752075,,11,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,46.341,Engroshandel med vin og brennevin,,,,
Matkammeret AS,877329712,,11,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,46.390,Engroshandel med bredt utvalg av nærings- og nytelsesmidler,,,,
Unic nettverk AS,863847672,,11,2100,Private aksjeselskaper mv.,,Skien,Skien,Aksjeselskap,46.510,"Engroshandel med datamaskiner, tilleggsutstyr til datamaskiner samt programvare",,,,
Ntt AS,941614418,,11,2100,Private aksjeselskaper mv.,,Nome,,Aksjeselskap,46.620,Engroshandel med maskinverktøy,,,,
Seljord landbruk og maskin AS,993148881,,11,2100,Private aksjeselskaper mv.,,Seljord,,Aksjeselskap,46.620,Engroshandel med maskinverktøy,,,,
Thrace polybulk AS,983435963,,11,2100,Private aksjeselskaper mv.,,Porsgrunn,Porsgrunn,Aksjeselskap,46.769,Engroshandel med innsatsvarer ikke nevnt annet sted,,,,
Duestien kolonial AS,926202057,,11,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,47.111,Butikkhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler,,,,
Hks AS,823192452,,11,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,47.111,Butikkhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler,,,,
Lars norrman AS,989838083,,11,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,47.111,Butikkhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler,,,,
Mathuset hesselbergsgate AS,927722240,,11,2100,Private aksjeselskaper mv.,,Skien,Skien,Aksjeselskap,47.111,Butikkhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler,,,,
Mathuset sjøbua AS,977341787,,11,2100,Private aksjeselskaper mv.,,Bamble,,Aksjeselskap,47.111,Butikkhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler,,,,
Åmotsdalsbui AS,925025666,,11,2100,Private aksjeselskaper mv.,,Seljord,,Aksjeselskap,47.111,Butikkhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler,,,,
Seljord auto-senter AS,929948351,,11,2100,Private aksjeselskaper mv.,,Seljord,Seljord,Aksjeselskap,47.300,Detaljhandel med drivstoff til motorvogner,,,,
Rauland trelast AS,928826120,,11,2100,Private aksjeselskaper mv.,,Vinje,Vinje,Aksjeselskap,47.521,"Butikkhandel med bredt utvalg av jernvarer, fargevarer og andre byggevarer",,,,
Salingstrand byggsenter AS,985915989,,11,2100,Private aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,47.521,"Butikkhandel med bredt utvalg av jernvarer, fargevarer og andre byggevarer",,,,
Steintøy og parfymeri AS,916239734,,11,2100,Private aksjeselskaper mv.,,Midt-Telemark,Midt-Telemark,Aksjeselskap,47.593,"Butikkhandel med kjøkkenutstyr, glass og steintøy",,,,
Eltempo AS,916685521,,11,2100,Private aksjeselskaper mv.,,Skien,Skien,Aksjeselskap,47.641,Butikkhandel med sportsutstyr,,,,
Intersport brotorvet AS,926534890,,11,2100,Private aksjeselskaper mv.,,Bamble,,Aksjeselskap,47.641,Butikkhandel med sportsutstyr,,,,
Sport outlet bø 41 AS,919512385,,11,2100,Private aksjeselskaper mv.,,Midt-Telemark,Bjørnafjorden,Aksjeselskap,47.641,Butikkhandel med sportsutstyr,,,,
Sporten Fyresdal AS,994614150,,11,2100,Private aksjeselskaper mv.,,Fyresdal,,Aksjeselskap,47.641,Butikkhandel med sportsutstyr,,,,
Pasquinell AS,948035871,,11,2100,Private aksjeselskaper mv.,,Porsgrunn,Porsgrunn,Aksjeselskap,47.710,Butikkhandel med klær,,,,
Midt-Telemark synssenter AS,986925910,,11,2100,Private aksjeselskaper mv.,,Midt-Telemark,,Aksjeselskap,47.782,Butikkhandel med optiske artikler,,,,
Hagen logistikk & transport,912662411,,11,8200,Personlig næringsdrivende,,Skien,,Enkeltpersonforetak,49.320,Drosjebiltransport,,,,
Malix transport AS,934351843,,11,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,49.320,Drosjebiltransport,,,,
Rue arne,870384092,,11,8200,Personlig næringsdrivende,,Skien,,Enkeltpersonforetak,49.320,Drosjebiltransport,,,,
Thomas haugland,927852446,,11,8200,Personlig næringsdrivende,,Seljord,,Enkeltpersonforetak,49.320,Drosjebiltransport,,,,
Godstransport AS,829030012,,11,2100,Private aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,49.410,Godstransport på vei,,,,
Haugarne maskin AS,923106413,,11,2100,Private aksjeselskaper mv.,,Vinje,,Aksjeselskap,49.410,Godstransport på vei,,,,
Kushar transport AS,928957896,,11,2100,Private aksjeselskaper mv.,,Skien,Skien,Aksjeselskap,49.410,Godstransport på vei,,,,
Langerud transport AS,918370846,,11,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,49.410,Godstransport på vei,,,,
Oppkjøpsentralen AS,980428907,,11,2100,Private aksjeselskaper mv.,,Porsgrunn,Porsgrunn,Aksjeselskap,49.410,Godstransport på vei,,,,
Transportservice Skien AS,977082781,,11,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,49.410,Godstransport på vei,,,,
Bø taxi AS,977559057,,11,2100,Private aksjeselskaper mv.,,Midt-Telemark,,Aksjeselskap,52.214,Drift av taxisentraler og annen formidling av persontransport,,,,
Telemarkskanalen fkf,990599386,821227062,11,1510,Kommunale foretak med ubegrenset ansvar,,Nome,Skien,Fylkeskommunalt foretak,52.229,Tjenester tilknyttet sjøtransport ellers,,,,
Seljord hotell AS,911711346,,11,2100,Private aksjeselskaper mv.,,Seljord,,Aksjeselskap,55.101,"Drift av hoteller, pensjonater og moteller med restaurant",,,,
Eidkilen AS,927082098,,11,2100,Private aksjeselskaper mv.,,Kragerø,,Aksjeselskap,55.202,Drift av ferieleiligheter,,,,
Olavsberget camping og badeplass AS,926781316,,11,2100,Private aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,55.300,Drift av campingplasser,,,,
Bjaaland bygderestaurant AS,926018361,,11,2100,Private aksjeselskaper mv.,,Kviteseid,,Aksjeselskap,56.101,Drift av restauranter og kafeer,,,,
Gastrokjell AS,933042332,,11,2100,Private aksjeselskaper mv.,,Bamble,Bamble,Aksjeselskap,56.101,Drift av restauranter og kafeer,,,,
Gregorius selskapsmat AS,932915391,,11,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,56.101,Drift av restauranter og kafeer,,,,
Linger AS,912413594,,11,2100,Private aksjeselskaper mv.,,Nome,,Aksjeselskap,56.101,Drift av restauranter og kafeer,,,,
Stavelin bakeriutsalg Kragerø AS,917991839,,11,2100,Private aksjeselskaper mv.,,Kragerø,Kristiansand,Aksjeselskap,56.101,Drift av restauranter og kafeer,,,,
Tollboden hotell AS,929405307,,11,2100,Private aksjeselskaper mv.,,Kragerø,,Aksjeselskap,56.101,Drift av restauranter og kafeer,,,,
Topp kebab AS,925510335,,11,2100,Private aksjeselskaper mv.,,Notodden,,Aksjeselskap,56.102,Drift av gatekjøkken,,,,
Marianne's bistro v/marianne marker haraldsen,988095281,,11,8200,Personlig næringsdrivende,,Skien,,Enkeltpersonforetak,56.301,Drift av puber,,,,
Union bar AS,934094336,,11,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,56.301,Drift av puber,,,,
Loppo Skien AS,929307313,,11,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,68.209,Utleie av egen eller leid fast eiendom ellers,,,,
Midt-Telemark kommunale eigedom AS,963198752,,11,1520,Kommunalt eide aksjeselskaper mv.,,Midt-Telemark,,Aksjeselskap,68.209,Utleie av egen eller leid fast eiendom ellers,,,,
Telemarksmegleren AS,985420785,,11,2100,Private aksjeselskaper mv.,,Kragerø,Kragerø,Aksjeselskap,68.310,Eiendomsmegling,,,,
Kragerø og grenland økonomiservice AS,998711282,,11,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,69.201,Regnskap og bokføring,,,,
Vest Telemark økonomi og rekneskap AS,981034007,,11,2100,Private aksjeselskaper mv.,,Kviteseid,Kviteseid,Aksjeselskap,69.201,Regnskap og bokføring,,,,
Revisjonsselskapet AS,974481596,,11,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,69.202,Revisjon,,,,
Real byggteknikk AS,929474929,,11,2100,Private aksjeselskaper mv.,,Porsgrunn,Porsgrunn,Aksjeselskap,71.121,Byggeteknisk konsulentvirksomhet,,,,
Generoc AS,927809141,,11,2100,Private aksjeselskaper mv.,,Notodden,,Aksjeselskap,71.129,Annen teknisk konsulentvirksomhet,,,,
Skiltmaker haugen AS,944294198,,11,2100,Private aksjeselskaper mv.,,Skien,Skien,Aksjeselskap,74.102,Grafisk og visuell kommunikasjonsdesign,,,,
Rauland vaktservice AS,911913232,,11,2100,Private aksjeselskaper mv.,,Vinje,,Aksjeselskap,80.100,Private vakttjenester,,,,
Telemark vaktselskap AS,990728283,,11,2100,Private aksjeselskaper mv.,,Midt-Telemark,,Aksjeselskap,80.100,Private vakttjenester,,,,
Grenland vaktmesterkompani AS,989700251,,11,2100,Private aksjeselskaper mv.,,Bamble,,Aksjeselskap,81.101,Vaktmestertjenester,,,,
Rent miljø i grenland AS,922957177,,11,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,81.210,Rengjøring av bygninger,,,,
Landskapsentreprenøren AS,922021694,,11,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,81.300,Beplantning av hager og parkanlegg,,,,
Peder aarø AS,911608545,,11,2100,Private aksjeselskaper mv.,,Kragerø,,Aksjeselskap,81.300,Beplantning av hager og parkanlegg,,,,
Jørn t pedersen,971483024,,11,8200,Personlig næringsdrivende,,Notodden,,Enkeltpersonforetak,86.230,Tannhelsetjenester,,,,
Delecto arbeidsinkludering AS,928154890,,11,1520,Kommunalt eide aksjeselskaper mv.,,Kragerø,,Aksjeselskap,88.993,Arbeidstrening for ordinært arbeidsmarked,16.290,"Produksjon av andre trevarer og varer av kork, strå og flettematerialer",,
Haukelifjell skisenter AS,988453404,,11,2100,Private aksjeselskaper mv.,,Vinje,,Aksjeselskap,93.110,Drift av idrettsanlegg,,,,
Skien svømmeklubb,984545878,,11,7000,Ideelle organisasjoner,,Skien,Skien,Forening/lag/innretning,93.120,Idrettslag og -klubber,,,,
Urædd fotballklubb,974984091,,11,7000,Ideelle organisasjoner,,Porsgrunn,Porsgrunn,Forening/lag/innretning,93.120,Idrettslag og -klubber,,,,
Drangedal kirkelige fellesråd,976991486,,11,6500,Kommuneforvaltningen,,Drangedal,,Den norske kirke,94.910,Religiøse organisasjoner,,,,
Pinsekirken evangeliehuset,971491191,,11,7000,Ideelle organisasjoner,,Porsgrunn,,Forening/lag/innretning,94.910,Religiøse organisasjoner,,,,
Stiftelsen skjærgårdsgospel,955190173,,11,7000,Ideelle organisasjoner,,Kragerø,Kragerø,Stiftelse,94.910,Religiøse organisasjoner,,,,
Riise elektro ans,975945383,,11,2300,Personlige foretak,,Porsgrunn,,Ansvarlig selskap med solidarisk ansvar,95.220,Reparasjon av husholdningsvarer og hageredskaper,,,,
Frisør benny ofstad AS,987996862,,11,2100,Private aksjeselskaper mv.,,Tinn,,Aksjeselskap,96.020,Frisering og annen skjønnhetspleie,,,,
Susås gård da,995811251,,10,2300,Personlige foretak,,Nome,Nome,Ansvarlig selskap med delt ansvar,01.110,"Dyrking av korn (unntatt ris), belgvekster og oljeholdige vekster",01.452,Geitehold,,
Gjermund leikvoll gartneri,954785548,,10,8200,Personlig næringsdrivende,,Nome,,Enkeltpersonforetak,01.190,Dyrking av ettårige vekster ellers,,,,
Tollehaugen gård AS,926305948,,10,2100,Private aksjeselskaper mv.,,Midt-Telemark,,Aksjeselskap,01.471,Hold av verpehøner for konsumeggproduksjon,,,,
T midgaard & co AS,979861699,,10,2100,Private aksjeselskaper mv.,,Skien,Skien,Aksjeselskap,16.290,"Produksjon av andre trevarer og varer av kork, strå og flettematerialer",47.789,Butikkhandel ikke nevnt annet sted,74.200,Fotografvirksomhet
Kristiansen betongpumping AS,974536331,,10,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,23.630,Produksjon av ferdigblandet betong,,,,
Norsk everit AS,940374790,,10,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,25.610,Overflatebehandling av metaller,,,,
Eltavle grenland AS,981117131,,10,2100,Private aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,27.120,Produksjon av elektriske fordelings- og kontrolltavler og paneler,,,,
Levo maskin og mekanikk AS,944179933,,10,2100,Private aksjeselskaper mv.,,Tinn,Tinn,Aksjeselskap,28.920,Produksjon av maskiner og utstyr til bergverksdrift og bygge- og anleggsvirksomhet,,,,
Grindberg trevarefabrikk AS,912098389,,10,2100,Private aksjeselskaper mv.,,Fyresdal,Kristiansand,Aksjeselskap,31.090,Produksjon av møbler ellers,,,,
Notodden energi holding AS,999266371,,10,1520,Kommunalt eide aksjeselskaper mv.,,Notodden,Notodden,Aksjeselskap,35.130,Distribusjon av elektrisitet,,,,
Kraftanmelding AS,995764555,,10,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,35.140,Handel med elektrisitet,,,,
Bygg faktum AS,923186050,,10,2100,Private aksjeselskaper mv.,,Siljan,,Aksjeselskap,41.200,Oppføring av bygninger,,,,
Byggmester olesrud AS,921757263,,10,2100,Private aksjeselskaper mv.,,Tinn,,Aksjeselskap,41.200,Oppføring av bygninger,,,,
Byggmester t.a. gustavsen AS,991558101,,10,2100,Private aksjeselskaper mv.,,Seljord,,Aksjeselskap,41.200,Oppføring av bygninger,,,,
Fasadeteknikk AS,924570695,,10,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,41.200,Oppføring av bygninger,,,,
Flatdal handlaft AS,989232096,,10,2100,Private aksjeselskaper mv.,,Seljord,,Aksjeselskap,41.200,Oppføring av bygninger,,,,
Gt-bygg AS,995079917,,10,2100,Private aksjeselskaper mv.,,Notodden,,Aksjeselskap,41.200,Oppføring av bygninger,,,,
Lunde bygg AS,914087457,,10,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,41.200,Oppføring av bygninger,,,,
Telemark byggteam AS,911663775,,10,2100,Private aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,41.200,Oppføring av bygninger,,,,
Lundsett & walle dykkerservice AS,929027256,,10,2100,Private aksjeselskaper mv.,,Bamble,,Aksjeselskap,42.210,Bygging av vann- og kloakkanlegg,,,,
Jamtveit entreprenør AS,930186309,,10,2100,Private aksjeselskaper mv.,,Notodden,,Aksjeselskap,43.120,Grunnarbeid,,,,
Jv entreprenør AS,928996301,,10,2100,Private aksjeselskaper mv.,,Drangedal,,Aksjeselskap,43.120,Grunnarbeid,,,,
Murstad entreprenørservice AS,916721528,,10,2100,Private aksjeselskaper mv.,,Notodden,Notodden,Aksjeselskap,43.120,Grunnarbeid,,,,
Per ole moen AS,980778932,,10,2100,Private aksjeselskaper mv.,,Nome,,Aksjeselskap,43.120,Grunnarbeid,,,,
El service grenland AS,892961662,,10,2100,Private aksjeselskaper mv.,,Bamble,,Aksjeselskap,43.210,Elektrisk installasjonsarbeid,,,,
Elektroinstallatør terje jørgensen AS,992293233,,10,2100,Private aksjeselskaper mv.,,Kragerø,,Aksjeselskap,43.210,Elektrisk installasjonsarbeid,,,,
Fiber.no AS,914275504,,10,2100,Private aksjeselskaper mv.,,Kragerø,,Aksjeselskap,43.210,Elektrisk installasjonsarbeid,,,,
Grenland elektro AS,946186368,,10,2100,Private aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,43.210,Elektrisk installasjonsarbeid,,,,
Installatør per øverland AS,919811714,,10,2100,Private aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,43.210,Elektrisk installasjonsarbeid,,,,
Vrådal elektro AS,912230198,,10,2100,Private aksjeselskaper mv.,,Kviteseid,,Aksjeselskap,43.210,Elektrisk installasjonsarbeid,,,,
Vinje rør AS,914988977,,10,2100,Private aksjeselskaper mv.,,Vinje,,Aksjeselskap,43.221,Rørleggerarbeid,,,,
Tele blikk AS,924608056,,10,2100,Private aksjeselskaper mv.,,Notodden,,Aksjeselskap,43.223,Ventilasjonsarbeid,,,,
Snekkerservice grenland AS,999184251,,10,2100,Private aksjeselskaper mv.,,Skien,Skien,Aksjeselskap,43.320,Snekkerarbeid,,,,
Bø maling AS,933320057,,10,2100,Private aksjeselskaper mv.,,Midt-Telemark,,Aksjeselskap,43.341,Malerarbeid,,,,
Pipehatt AS,918098747,,10,2100,Private aksjeselskaper mv.,,Notodden,,Aksjeselskap,43.911,Blikkenslagerarbeid på tak,,,,
Uni tak AS,912235319,,10,2100,Private aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,43.919,Takarbeid ellers,,,,
