Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),Prosent av arbeidsstyrken i fjor,År,Måned
April 2015,,,,,,2015,april
I alt,79636.0,3.0,5011.0,7.0,2.8,2015,april
Østfold,5077.0,3.6,-380.0,-7.0,3.8,2015,april
Akershus,8047.0,2.6,657.0,9.0,2.4,2015,april
Oslo,13029.0,3.6,270.0,2.0,3.6,2015,april
Hedmark,2600.0,2.7,-271.0,-9.0,3.0,2015,april
Oppland,2146.0,2.2,-137.0,-6.0,2.4,2015,april
Buskerud,4074.0,2.8,-58.0,-1.0,2.9,2015,april
Vestfold,3715.0,3.0,-202.0,-5.0,3.2,2015,april
Telemark,3102.0,3.6,188.0,6.0,3.4,2015,april
Aust-Agder,2069.0,3.6,96.0,5.0,3.4,2015,april
Vest-Agder,3095.0,3.4,517.0,20.0,2.8,2015,april
Rogaland,8010.0,3.2,2869.0,56.0,2.0,2015,april
Hordaland,7175.0,2.7,1050.0,17.0,2.3,2015,april
Sogn og Fjordane,1219.0,2.1,16.0,1.0,2.1,2015,april
Møre og Romsdal,3396.0,2.5,451.0,15.0,2.1,2015,april
Sør-Trøndelag,4362.0,2.7,265.0,6.0,2.5,2015,april
Nord-Trøndelag,1872.0,2.7,21.0,1.0,2.7,2015,april
Nordland,3275.0,2.7,-212.0,-6.0,2.8,2015,april
Troms,1914.0,2.2,-43.0,-2.0,2.3,2015,april
Finnmark,1318.0,3.4,-119.0,-8.0,3.7,2015,april
Øvrige områder,19.0,,,,,2015,april
Ukjent,122.0,,17.0,16.0,,2015,april
