Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),År,Måned
Mai 2014,,,,,2014,mai
I alt,72495.0,2.7,6947.0,11.0,2014,mai
Østfold,5328.0,3.7,697.0,15.0,2014,mai
Akershus,7326.0,2.4,829.0,13.0,2014,mai
Oslo,12643.0,3.5,1182.0,10.0,2014,mai
Hedmark,2697.0,2.8,104.0,4.0,2014,mai
Oppland,2136.0,2.2,-28.0,-1.0,2014,mai
Buskerud,4076.0,2.8,542.0,15.0,2014,mai
Vestfold,3691.0,3.0,229.0,7.0,2014,mai
Telemark,2899.0,3.3,246.0,9.0,2014,mai
Aust-Agder,1891.0,3.3,202.0,12.0,2014,mai
Vest-Agder,2489.0,2.7,174.0,8.0,2014,mai
Rogaland,5120.0,2.0,927.0,22.0,2014,mai
Hordaland,5914.0,2.2,815.0,16.0,2014,mai
Sogn og Fjordane,1076.0,1.9,5.0,0.0,2014,mai
Møre og Romsdal,2881.0,2.1,247.0,9.0,2014,mai
Sør-Trøndelag,3948.0,2.4,531.0,16.0,2014,mai
Nord-Trøndelag,1760.0,2.6,297.0,20.0,2014,mai
Nordland,3337.0,2.7,-98.0,-3.0,2014,mai
Troms,1861.0,2.2,-60.0,-3.0,2014,mai
Finnmark,1306.0,3.3,25.0,2.0,2014,mai
Øvrige områder,3.0,,0.0,0.0,2014,mai
Ukjent,113.0,,81.0,253.0,2014,mai
