Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),År,Måned
Akershus,7176.0,2.47584651464276,-133.0,-1.81967437405937,2011,februar
Oslo,12392.0,3.70697881988993,-12.0,-0.09674298613349999,2011,februar
Hedmark,2918.0,3.02711367460218,-46.0,-1.5519568151147098,2011,februar
Oppland,2472.0,2.56312272956395,22.0,0.8979591836734601,2011,februar
Buskerud,3959.0,2.85187438633645,-85.0,-2.10187932739861,2011,februar
Vestfold,4191.0,3.47614710324641,86.0,2.09500609013398,2011,februar
Telemark,3061.0,3.53441747846459,8.0,0.26203734032099,2011,februar
Aust-Agder,2060.0,3.7117595967544297,-50.0,-2.3696682464454897,2011,februar
Vest-Agder,2716.0,3.08107696345344,-227.0,-7.71321780496092,2011,februar
Rogaland,5567.0,2.38822634185856,-857.0,-13.34059775840597,2011,februar
Hordaland,6902.0,2.69576081300927,78.0,1.14302461899179,2011,februar
Sogn og Fjordane,1280.0,2.28677061039553,-32.0,-2.4390243902439,2011,februar
Møre og Romsdal,3503.0,2.63487320197358,84.0,2.4568587306229803,2011,februar
Sør-Trøndelag,4871.0,3.13030552565952,-53.0,-1.07636068237205,2011,februar
Nord-Trøndelag,1884.0,2.82023684600518,-316.0,-14.36363636363636,2011,februar
Nordland,3760.0,3.1261178105598697,241.0,6.848536516055689,2011,februar
Troms,2098.0,2.52344184862971,-70.0,-3.22878228782287,2011,februar
Finnmark,1237.0,3.2586261458305503,-203.0,-14.09722222222222,2011,februar
Ikke i et fylkesdistrikt,48.0,,4.0,9.09090909090909,2011,februar
Riket,77374.0,2.98979006708005,-1388.0,-1.7622711459841,2011,februar
