Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),Prosent av arbeidsstyrken i fjor,År,Måned
Mai 2018,,,,,,2018,mai
I alt,60008.0,2.2,-10919.0,-15.0,2.6,2018,mai
Østfold,3690.0,2.6,-238.0,-6.0,2.7,2018,mai
Akershus,5903.0,1.8,-467.0,-7.0,2.0,2018,mai
Oslo,9010.0,2.4,-961.0,-10.0,2.6,2018,mai
Hedmark,1653.0,1.7,-257.0,-13.0,1.9,2018,mai
Oppland,1431.0,1.5,-28.0,-2.0,1.5,2018,mai
Buskerud,3237.0,2.2,-319.0,-9.0,2.4,2018,mai
Vestfold,3362.0,2.7,-314.0,-9.0,2.9,2018,mai
Telemark,1959.0,2.3,-414.0,-17.0,2.8,2018,mai
Aust-Agder,1346.0,2.4,-318.0,-19.0,2.9,2018,mai
Vest-Agder,2168.0,2.3,-592.0,-21.0,3.0,2018,mai
Rogaland,6572.0,2.6,-3275.0,-33.0,3.9,2018,mai
Hordaland,6900.0,2.5,-1288.0,-16.0,2.9,2018,mai
Sogn og Fjordane,780.0,1.3,-75.0,-9.0,1.4,2018,mai
Møre og Romsdal,3067.0,2.2,-656.0,-18.0,2.6,2018,mai
Nordland,2125.0,1.7,-443.0,-17.0,2.1,2018,mai
Troms Romsa,1335.0,1.5,-298.0,-18.0,1.8,2018,mai
Finnmark Finnmárku,1072.0,2.7,-139.0,-11.0,3.0,2018,mai
Trøndelag,4394.0,1.8,-832.0,-16.0,2.2,2018,mai
Øvrige områder,4.0,,-4.0,-50.0,,2018,mai
Ukjent,,,,,,2018,mai
