region,alder,kjønn,landbakgrunn,statistikkvariabel,år,value
Porsgrunn,15-74 år,Begge kjønn,Alle innvandrere,Sysselsatte i prosent av personer i alt i hver gruppe,2023,
Skien,15-74 år,Begge kjønn,Alle innvandrere,Sysselsatte i prosent av personer i alt i hver gruppe,2023,
Notodden,15-74 år,Begge kjønn,Alle innvandrere,Sysselsatte i prosent av personer i alt i hver gruppe,2023,
Siljan,15-74 år,Begge kjønn,Alle innvandrere,Sysselsatte i prosent av personer i alt i hver gruppe,2023,
Bamble,15-74 år,Begge kjønn,Alle innvandrere,Sysselsatte i prosent av personer i alt i hver gruppe,2023,
Kragerø,15-74 år,Begge kjønn,Alle innvandrere,Sysselsatte i prosent av personer i alt i hver gruppe,2023,
Drangedal,15-74 år,Begge kjønn,Alle innvandrere,Sysselsatte i prosent av personer i alt i hver gruppe,2023,
Nome,15-74 år,Begge kjønn,Alle innvandrere,Sysselsatte i prosent av personer i alt i hver gruppe,2023,
Midt-Telemark,15-74 år,Begge kjønn,Alle innvandrere,Sysselsatte i prosent av personer i alt i hver gruppe,2023,
Seljord,15-74 år,Begge kjønn,Alle innvandrere,Sysselsatte i prosent av personer i alt i hver gruppe,2023,
Hjartdal,15-74 år,Begge kjønn,Alle innvandrere,Sysselsatte i prosent av personer i alt i hver gruppe,2023,
Tinn,15-74 år,Begge kjønn,Alle innvandrere,Sysselsatte i prosent av personer i alt i hver gruppe,2023,
Kviteseid,15-74 år,Begge kjønn,Alle innvandrere,Sysselsatte i prosent av personer i alt i hver gruppe,2023,
Nissedal,15-74 år,Begge kjønn,Alle innvandrere,Sysselsatte i prosent av personer i alt i hver gruppe,2023,
Fyresdal,15-74 år,Begge kjønn,Alle innvandrere,Sysselsatte i prosent av personer i alt i hver gruppe,2023,
Tokke,15-74 år,Begge kjønn,Alle innvandrere,Sysselsatte i prosent av personer i alt i hver gruppe,2023,
Vinje,15-74 år,Begge kjønn,Alle innvandrere,Sysselsatte i prosent av personer i alt i hver gruppe,2023,
