Region;Navn;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 10+ år;Botid i Norge: 10+ år;Botid i Norge: 10+ år;Botid i Norge: 10+ år;Botid i Norge: 10+ år;Botid i Norge: 10+ år;Botid i Norge: 10+ år;Botid i Norge: 10+ år;Botid i Norge: 10+ år;Botid i Norge: 10+ år;Botid i Norge: 10+ år;Botid i Norge: 10+ år;Botid i Norge: 10+ år;Botid i Norge: 10+ år;Botid i Norge: 10+ år;Botid i Norge: 10+ år;Botid i Norge: 10+ år;Botid i Norge: 10+ år;Botid i Norge: 10+ år;Botid i Norge: 10+ år;Botid i Norge: 10+ år;Botid i Norge: 10+ år;Botid i Norge: 10+ år;Botid i Norge: 10+ år;Botid i Norge: 10+ år;Botid i Norge: 10+ år;Botid i Norge: 10+ år;Botid i Norge: 5-9 år;Botid i Norge: 5-9 år;Botid i Norge: 5-9 år;Botid i Norge: 5-9 år;Botid i Norge: 5-9 år;Botid i Norge: 5-9 år;Botid i Norge: 5-9 år;Botid i Norge: 5-9 år;Botid i Norge: 5-9 år;Botid i Norge: 5-9 år;Botid i Norge: 5-9 år;Botid i Norge: 5-9 år;Botid i Norge: 5-9 år;Botid i Norge: 5-9 år;Botid i Norge: 5-9 år;Botid i Norge: 5-9 år;Botid i Norge: 5-9 år;Botid i Norge: 5-9 år;Botid i Norge: 5-9 år;Botid i Norge: 5-9 år;Botid i Norge: 5-9 år;Botid i Norge: 5-9 år;Botid i Norge: 5-9 år;Botid i Norge: 5-9 år;Botid i Norge: 5-9 år;Botid i Norge: 5-9 år;Botid i Norge: 5-9 år;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: undefined;Botid i Norge: undefined;Botid i Norge: undefined;Botid i Norge: undefined;Botid i Norge: undefined;Botid i Norge: undefined;Botid i Norge: undefined;Botid i Norge: undefined;Botid i Norge: undefined;Botid i Norge: undefined;Botid i Norge: undefined;Botid i Norge: undefined;Botid i Norge: undefined;Botid i Norge: undefined;Botid i Norge: undefined;Botid i Norge: undefined;Botid i Norge: undefined;Botid i Norge: undefined;Botid i Norge: undefined;Botid i Norge: undefined;Botid i Norge: undefined;Botid i Norge: undefined;Botid i Norge: undefined;Botid i Norge: undefined;Botid i Norge: undefined;Botid i Norge: undefined;Botid i Norge: undefined
K3814;Kragerø;173;173;160;137;126;100;94;90;91;223;220;254;254;254;238;229;179;133;396;393;414;391;380;338;323;269;224;189;203;217;237;256;268;280;303;327;121;130;157;168;187;203;213;219;253;310;333;374;405;443;471;493;522;580;114;130;155;161;149;127;129;116;100;113;112;88;109;124;144;161;184;211;227;242;243;270;273;271;290;300;311;476;506;532;535;531;495;503;509;518;457;462;499;531;565;585;603;582;597;933;968;1031;1066;1096;1080;1106;1091;1115;0;506;;;;;;;;0;462;;;;;;;;0;968;;;;;;;
K3815;Drangedal;71;66;64;48;32;33;23;24;32;66;58;77;93;95;91;89;78;75;137;124;141;141;127;124;112;102;107;52;52;52;60;93;103;117;126;133;18;24;22;23;30;38;41;48;56;70;76;74;83;123;141;158;174;189;81;84;89;90;73;60;52;49;46;26;25;33;37;44;49;41;56;69;107;109;122;127;117;109;93;105;115;204;202;205;198;198;196;192;199;211;110;107;132;153;169;178;171;182;200;314;309;337;351;367;374;363;381;411;0;202;;;;;;;;0;107;;;;;;;;0;309;;;;;;;
K3816;Nome;160;157;128;98;86;52;39;49;54;132;140;132;172;187;158;163;133;93;292;297;260;270;273;210;202;182;147;79;85;90;99;129;167;176;210;236;122;128;138;146;151;153;166;174;182;201;213;228;245;280;320;342;384;418;77;97;128;148;165;162;159;122;88;77;71;58;57;77;72;73;78;94;154;168;186;205;242;234;232;200;182;316;339;346;345;380;381;374;381;378;331;339;328;375;415;383;402;385;369;647;678;674;720;795;764;776;766;747;0;339;;;;;;;;0;339;;;;;;;;0;678;;;;;;;
K3818;Tinn;94;90;82;71;63;51;48;46;54;166;152;206;205;208;167;148;112;103;260;242;288;276;271;218;196;158;157;132;137;147;148;159;164;166;167;176;119;120;120;120;124;124;134;149;163;251;257;267;268;283;288;300;316;339;55;55;57;65;66;61;61;64;59;26;36;46;49;64;86;86;99;88;81;91;103;114;130;147;147;163;147;281;282;286;284;288;276;275;277;289;311;308;372;374;396;377;368;360;354;592;590;658;658;684;653;643;637;643;0;282;;;;;;;;0;308;;;;;;;;0;590;;;;;;;
K3819;Hjartdal;35;42;39;37;22;19;9;6;10;10;19;35;41;48;53;47;32;25;45;61;74;78;70;72;56;38;35;14;12;11;13;18;18;15;18;24;5;5;4;5;4;5;6;7;8;19;17;15;18;22;23;21;25;32;7;9;15;15;20;23;31;28;25;0;.;0;0;3;7;7;24;30;7;9;15;15;23;30;38;52;55;56;63;65;65;60;60;55;52;59;15;.;39;46;55;65;60;63;63;71;87;104;111;115;125;115;115;122;0;63;;;;;;;;0;.;;;;;;;;0;87;;;;;;;
K3820;Seljord;76;73;57;43;40;36;29;31;32;36;44;46;55;76;75;64;60;62;112;117;103;98;116;111;93;91;94;36;35;38;38;48;54;63;76;94;12;18;24;22;25;29;29;37;35;48;53;62;60;73;83;92;113;129;35;44;49;68;53;57;52;38;28;22;25;22;23;20;19;19;25;34;57;69;71;91;73;76;71;63;62;147;152;144;149;141;147;144;145;154;70;87;92;100;121;123;112;122;131;217;239;236;249;262;270;256;267;285;0;152;;;;;;;;0;87;;;;;;;;0;239;;;;;;;
K3821;Kviteseid;67;46;39;29;23;19;11;11;18;6;8;6;19;29;28;27;28;25;73;54;45;48;52;47;38;39;43;41;49;50;52;63;75;85;86;95;13;13;20;23;23;20;23;25;27;54;62;70;75;86;95;108;111;122;38;49;51;47;46;40;33;27;26;19;18;11;9;5;9;9;10;19;57;67;62;56;51;49;42;37;45;146;144;140;128;132;134;129;124;139;38;39;37;51;57;57;59;63;71;184;183;177;179;189;191;188;187;210;0;144;;;;;;;;0;39;;;;;;;;0;183;;;;;;;
K3822;Nissedal;33;42;41;38;33;29;19;17;27;4;4;20;40;48;50;50;37;19;37;46;61;78;81;79;69;54;46;18;19;38;45;47;48;43;42;51;6;6;6;7;7;11;9;8;10;24;25;44;52;54;59;52;50;61;43;43;26;23;30;29;41;33;25;4;4;3;4;4;4;4;13;19;47;47;29;27;34;33;45;46;44;94;104;105;106;110;106;103;92;103;14;14;29;51;59;65;63;58;48;108;118;134;157;169;171;166;150;151;0;104;;;;;;;;0;14;;;;;;;;0;118;;;;;;;
K3823;Fyresdal;21;18;28;26;22;17;13;3;5;24;28;42;49;57;47;37;14;0;45;46;70;75;79;64;50;17;6;34;47;53;50;62;59;59;61;58;3;3;3;4;3;3;4;4;3;37;50;56;54;65;62;63;65;61;44;29;19;18;8;9;12;21;15;0;.;6;6;8;10;16;23;24;44;29;25;24;16;19;28;44;38;99;94;100;94;92;85;84;85;78;27;.;51;59;68;60;57;41;27;126;125;151;153;160;145;141;126;105;0;94;;;;;;;;0;.;;;;;;;;0;125;;;;;;;
K3824;Tokke;24;24;15;14;11;9;17;21;20;4;6;19;38;50;49;48;31;18;28;30;34;52;61;58;65;52;38;29;31;35;46;46;67;72;78;74;23;28;27;25;25;27;26;28;26;52;59;62;71;71;94;98;106;100;36;37;44;41;42;20;21;15;16;14;3;5;6;6;7;8;19;25;50;40;49;47;48;27;29;34;41;89;92;94;101;99;96;110;114;110;41;37;51;69;81;83;82;78;69;130;129;145;170;180;179;192;192;179;0;92;;;;;;;;0;37;;;;;;;;0;129;;;;;;;
K3825;Vinje;110;101;88;63;58;56;37;31;56;29;38;54;68;72;77;76;79;75;139;139;142;131;130;133;113;110;131;56;51;50;52;60;66;72;93;109;48;46;45;46;46;47;54;57;58;104;97;95;98;106;113;126;150;167;30;39;57;75;74;73;68;53;31;7;11;14;17;20;29;30;39;45;37;50;71;92;94;102;98;92;76;196;191;195;190;192;195;177;177;196;84;95;113;131;138;153;160;175;178;280;286;308;321;330;348;337;352;374;0;191;;;;;;;;0;95;;;;;;;;0;286;;;;;;;
K3805;Larvik (f.o.m. 2018);;;;;750;685;545;471;492;;;;;732;755;705;604;512;;;;;1482;1440;1250;1075;1004;;;;;1086;1252;1408;1552;1662;;;;;1458;1527;1608;1712;1784;;;;;2544;2779;3016;3264;3446;;;;;843;753;771;757;705;;;;;508;512;528;589;660;;;;;1351;1265;1299;1346;1365;;;;;2679;2690;2724;2780;2859;;;;;2698;2794;2841;2905;2956;;;;;5377;5484;5565;5685;5815;;;;;;;;;;;;;;;;;;;;;;;;;;;
K3811;Færder;;;;;297;261;220;189;206;;;;;467;476;444;416;330;;;;;764;737;664;605;536;;;;;693;766;781;867;950;;;;;733;753;808;879;956;;;;;1426;1519;1589;1746;1906;;;;;404;393;388;364;289;;;;;260;284;335;377;458;;;;;664;677;723;741;747;;;;;1394;1420;1389;1420;1445;;;;;1460;1513;1587;1672;1744;;;;;2854;2933;2976;3092;3189;;;;;;;;;;;;;;;;;;;;;;;;;;;
K3802;Holmestrand (f.o.m. 2020);;;;;;;356;338;373;;;;;;;330;291;216;;;;;;;686;629;589;;;;;;;814;959;1136;;;;;;;555;588;678;;;;;;;1369;1547;1814;;;;;;;645;602;537;;;;;;;225;267;351;;;;;;;870;869;888;;;;;;;1815;1899;2046;;;;;;;1110;1146;1245;;;;;;;2925;3045;3291;;;;;;;;;;;;;;;;;;;;;;;;;;;
K3803;Tønsberg (f.o.m. 2020);;;;;;;728;720;758;;;;;;;967;897;656;;;;;;;1695;1617;1414;;;;;;;1665;1881;2067;;;;;;;1842;1978;2067;;;;;;;3507;3859;4134;;;;;;;993;890;778;;;;;;;659;747;970;;;;;;;1652;1637;1748;;;;;;;3386;3491;3603;;;;;;;3468;3622;3693;;;;;;;6854;7113;7296;;;;;;;;;;;;;;;;;;;;;;;;;;;
K3817;Midt-Telemark;;;;;;;262;255;285;;;;;;;264;217;179;;;;;;;526;472;464;;;;;;;189;231;284;;;;;;;269;284;295;;;;;;;458;515;579;;;;;;;182;200;171;;;;;;;157;192;236;;;;;;;339;392;407;;;;;;;633;686;740;;;;;;;690;693;710;;;;;;;1323;1379;1450;;;;;;;;;;;;;;;;;;;;;;;;;;;
