Kommunenummer,Kommune,Nytt kommunenummer,Nummer og navn,Nytt nummer og navn,Nye kommunenavn,Nytt kommunenummer og navn
805,Porsgrunn,3806,0805 Porsgrunn,K-3806 Porsgrunn,Porsgrunn,3806 Porsgrunn
806,Skien,3807,0806 Skien,K-3807 Skien,Skien,3807 Skien
807,Notodden,3808,0807 Notodden,K-3808 Notodden,Notodden,3808 Notodden
811,Siljan,3812,0811 Siljan,K-3812 Siljan,Siljan,3812 Siljan
814,Bamble,3813,0814 Bamble,K-3813 Bamble,Bamble,3813 Bamble
815,Kragerø,3814,0815 Kragerø,K-3814 Kragerø,Kragerø,3814 Kragerø
817,Drangedal,3815,0817 Drangedal,K-3815 Drangedal,Drangedal,3815 Drangedal
819,Nome,3816,0819 Nome,K-3816 Nome,Nome,3816 Nome
821,Bø,3817,0821 Bø (Telemark),K-3817 Midt-Telemark,Midt-Telemark,3817 Midt-Telemark
822,Sauherad,3817,0822 Sauherad,K-3817 Midt-Telemark,Midt-Telemark,3817 Midt-Telemark
826,Tinn,3818,0826 Tinn,K-3818 Tinn,Tinn,3818 Tinn
827,Hjartdal,3819,0827 Hjartdal,K-3819 Hjartdal,Hjartdal,3819 Hjartdal
828,Seljord,3820,0828 Seljord,K-3820 Seljord,Seljord,3820 Seljord
829,Kviteseid,3821,0829 Kviteseid,K-3821 Kviteseid,Kviteseid,3821 Kviteseid
830,Nissedal,3822,0830 Nissedal,K-3822 Nissedal,Nissedal,3822 Nissedal
831,Fyresdal,3823,0831 Fyresdal,K-3823 Fyresdal,Fyresdal,3823 Fyresdal
833,Tokke,3824,0833 Tokke,K-3824 Tokke,Tokke,3824 Tokke
834,Vinje,3825,0834 Vinje,K-3825 Vinje,Vinje,3825 Vinje
