Kommune,statistikkvariabel,år,Antall sysselsatte,sektor,Label
Bamble,Sysselsatte personer etter arbeidssted,2016,1691,Offentlig sektor,Bamble
Bamble,Sysselsatte personer etter arbeidssted,2017,1698,Offentlig sektor,Bamble
Bamble,Sysselsatte personer etter arbeidssted,2018,1670,Offentlig sektor,Bamble
Bamble,Sysselsatte personer etter arbeidssted,2019,1648,Offentlig sektor,Bamble
Bamble,Sysselsatte personer etter arbeidssted,2020,1612,Offentlig sektor,Bamble
Bamble,Sysselsatte personer etter arbeidssted,2021,1629,Offentlig sektor,Bamble
Bamble,Sysselsatte personer etter arbeidssted,2022,1599,Offentlig sektor,Bamble
Bamble,Sysselsatte personer etter arbeidssted,2023,1659,Offentlig sektor,Bamble
Bamble,Sysselsatte personer etter arbeidssted,2016,3233,Privat sektor,Bamble
Bamble,Sysselsatte personer etter arbeidssted,2017,3221,Privat sektor,Bamble
Bamble,Sysselsatte personer etter arbeidssted,2018,3315,Privat sektor,Bamble
Bamble,Sysselsatte personer etter arbeidssted,2019,3319,Privat sektor,Bamble
Bamble,Sysselsatte personer etter arbeidssted,2020,3371,Privat sektor,Bamble
Bamble,Sysselsatte personer etter arbeidssted,2021,3337,Privat sektor,Bamble
Bamble,Sysselsatte personer etter arbeidssted,2022,3377,Privat sektor,Bamble
Bamble,Sysselsatte personer etter arbeidssted,2023,3433,Privat sektor,Bamble
Drangedal,Sysselsatte personer etter arbeidssted,2016,588,Offentlig sektor,Drangedal
Drangedal,Sysselsatte personer etter arbeidssted,2017,577,Offentlig sektor,Drangedal
Drangedal,Sysselsatte personer etter arbeidssted,2018,575,Offentlig sektor,Drangedal
Drangedal,Sysselsatte personer etter arbeidssted,2019,592,Offentlig sektor,Drangedal
Drangedal,Sysselsatte personer etter arbeidssted,2020,590,Offentlig sektor,Drangedal
Drangedal,Sysselsatte personer etter arbeidssted,2021,594,Offentlig sektor,Drangedal
Drangedal,Sysselsatte personer etter arbeidssted,2022,622,Offentlig sektor,Drangedal
Drangedal,Sysselsatte personer etter arbeidssted,2023,643,Offentlig sektor,Drangedal
Drangedal,Sysselsatte personer etter arbeidssted,2016,663,Privat sektor,Drangedal
Drangedal,Sysselsatte personer etter arbeidssted,2017,675,Privat sektor,Drangedal
Drangedal,Sysselsatte personer etter arbeidssted,2018,651,Privat sektor,Drangedal
Drangedal,Sysselsatte personer etter arbeidssted,2019,652,Privat sektor,Drangedal
Drangedal,Sysselsatte personer etter arbeidssted,2020,665,Privat sektor,Drangedal
Drangedal,Sysselsatte personer etter arbeidssted,2021,661,Privat sektor,Drangedal
Drangedal,Sysselsatte personer etter arbeidssted,2022,621,Privat sektor,Drangedal
Drangedal,Sysselsatte personer etter arbeidssted,2023,644,Privat sektor,Drangedal
Fyresdal,Sysselsatte personer etter arbeidssted,2016,251,Offentlig sektor,Fyresdal
Fyresdal,Sysselsatte personer etter arbeidssted,2017,251,Offentlig sektor,Fyresdal
Fyresdal,Sysselsatte personer etter arbeidssted,2018,245,Offentlig sektor,Fyresdal
Fyresdal,Sysselsatte personer etter arbeidssted,2019,240,Offentlig sektor,Fyresdal
Fyresdal,Sysselsatte personer etter arbeidssted,2020,231,Offentlig sektor,Fyresdal
Fyresdal,Sysselsatte personer etter arbeidssted,2021,210,Offentlig sektor,Fyresdal
Fyresdal,Sysselsatte personer etter arbeidssted,2022,209,Offentlig sektor,Fyresdal
Fyresdal,Sysselsatte personer etter arbeidssted,2023,224,Offentlig sektor,Fyresdal
Fyresdal,Sysselsatte personer etter arbeidssted,2016,267,Privat sektor,Fyresdal
Fyresdal,Sysselsatte personer etter arbeidssted,2017,268,Privat sektor,Fyresdal
Fyresdal,Sysselsatte personer etter arbeidssted,2018,264,Privat sektor,Fyresdal
Fyresdal,Sysselsatte personer etter arbeidssted,2019,287,Privat sektor,Fyresdal
Fyresdal,Sysselsatte personer etter arbeidssted,2020,278,Privat sektor,Fyresdal
Fyresdal,Sysselsatte personer etter arbeidssted,2021,291,Privat sektor,Fyresdal
Fyresdal,Sysselsatte personer etter arbeidssted,2022,296,Privat sektor,Fyresdal
Fyresdal,Sysselsatte personer etter arbeidssted,2023,297,Privat sektor,Fyresdal
Hjartdal,Sysselsatte personer etter arbeidssted,2016,266,Offentlig sektor,Hjartdal
Hjartdal,Sysselsatte personer etter arbeidssted,2017,251,Offentlig sektor,Hjartdal
Hjartdal,Sysselsatte personer etter arbeidssted,2018,254,Offentlig sektor,Hjartdal
Hjartdal,Sysselsatte personer etter arbeidssted,2019,252,Offentlig sektor,Hjartdal
