Level,Org. nr.,Navn,Parent Employees,Children Count,Children Sum,Difference,Matches
1 vs 2,938759839,Skien kommune,7252.0,14,7404.0,-152.0,False
1 vs 2,939991034,Porsgrunn kommune,4954.0,144,4989.0,-35.0,False
1 vs 2,983975267,Sykehuset Telemark HF,4592.0,39,4592.0,0.0,True
1 vs 2,938583986,Notodden kommune,2364.0,8,2364.0,0.0,True
1 vs 2,940244145,Bamble kommune,2022.0,6,2022.0,0.0,True
1 vs 2,929882989,Telemark fylkeskommune,2003.0,38,2016.0,-13.0,False
1 vs 2,920297293,Midt-Telemark kommune,1767.0,53,1762.0,5.0,False
1 vs 2,963946902,Kragerø kommune,1562.0,6,1562.0,0.0,True
1 vs 2,988996564,Bilfinger Norway AS,1241.0,4,829.0,412.0,False
1 vs 2,964963371,Nome kommune,1116.0,4,1116.0,0.0,True
1 vs 2,864963552,Tinn kommune,972.0,53,988.0,-16.0,False
1 vs 2,964964610,Vinje kommune,943.0,51,922.0,21.0,False
1 vs 2,921186037,Abb electrification Norway AS,942.0,1,884.0,58.0,False
1 vs 2,933277461,Drangedal kommune,721.0,4,721.0,0.0,True
1 vs 2,964963738,Seljord kommune,675.0,5,675.0,0.0,True
1 vs 2,980518647,Eramet Norway AS,667.0,1,205.0,462.0,False
1 vs 2,974241730,Nav Vestfold og Telemark,649.0,17,285.0,364.0,False
1 vs 2,971325429,Landbrukstjenester Telemark sa,601.0,1,601.0,0.0,True
1 vs 2,918523480,Rtc consultancy AS,548.0,1,548.0,0.0,True
1 vs 2,913164776,Rtc offshore AS,521.0,1,521.0,0.0,True
1 vs 2,964964521,Tokke kommune,515.0,5,515.0,0.0,True
1 vs 2,964963827,Kviteseid kommune,458.0,4,458.0,0.0,True
1 vs 2,979422679,Lede AS,429.0,2,288.0,141.0,False
1 vs 2,964964343,Nissedal kommune,408.0,5,404.0,4.0,False
1 vs 2,928214311,Grep arbeid AS,399.0,4,399.0,0.0,True
1 vs 2,864953042,Siljan kommune,383.0,4,383.0,0.0,True
1 vs 2,926049860,Eiffage Norge nuf,365.0,1,365.0,0.0,True
1 vs 2,981701046,Inovyn Norge AS,362.0,2,362.0,0.0,True
1 vs 2,988251399,Ts group AS,350.0,1,283.0,67.0,False
1 vs 2,983594506,Stena recycling AS,346.0,2,38.0,308.0,False
1 vs 2,939772766,Fyresdal kommune,342.0,4,342.0,0.0,True
1 vs 2,964963649,Hjartdal kommune,326.0,6,325.0,1.0,False
1 vs 2,912580202,Maskineriet AS,319.0,1,139.0,180.0,False
1 vs 2,982726387,Ineos rafnes AS,247.0,2,247.0,0.0,True
1 vs 2,925739251,Grenland brann og redning iks,234.0,5,234.0,0.0,True
1 vs 2,981240987,Tango drift AS,232.0,10,84.0,148.0,False
1 vs 2,971450231,Blå kors klinikk Skien AS,230.0,3,230.0,0.0,True
1 vs 2,933603628,Vivaserve AS,227.0,1,227.0,0.0,True
1 vs 2,981083032,Ulefos AS,226.0,2,144.0,82.0,False
1 vs 2,945662506,Westcontrol berget AS,218.0,3,218.0,0.0,True
1 vs 2,821116422,Spot AS,201.0,1,201.0,0.0,True
1 vs 2,980786706,Millba AS,192.0,1,192.0,0.0,True
1 vs 2,912185877,Nel hydrogen electrolyser AS,185.0,2,185.0,0.0,True
1 vs 2,928764745,Isola AS,178.0,3,178.0,0.0,True
1 vs 2,980495302,Skagerak energi AS,176.0,1,169.0,7.0,False
1 vs 2,981275721,Stiftelsen betanien hospital Skien,172.0,2,172.0,0.0,True
1 vs 2,968144405,Ineos Bamble AS,163.0,1,163.0,0.0,True
1 vs 2,979563531,Skagerak kraft AS,163.0,8,138.0,25.0,False
1 vs 2,930400580,Enrx AS,155.0,1,155.0,0.0,True
1 vs 2,937891245,Skagerrak sparebank,147.0,1,147.0,0.0,True
1 vs 2,881489392,Elektro 4 AS,144.0,1,144.0,0.0,True
1 vs 2,974761335,Forbrukertilsynet,143.0,1,92.0,51.0,False
1 vs 2,959310459,Quality skjærgården hotel og badepark AS,139.0,1,139.0,0.0,True
1 vs 2,992126191,Bakeverket AS,135.0,1,135.0,0.0,True
1 vs 2,964715378,Laugstol AS,131.0,1,95.0,36.0,False
1 vs 2,989383167,Bypost AS,129.0,1,31.0,98.0,False
1 vs 2,979326416,Tipp transport AS,128.0,3,128.0,0.0,True
1 vs 2,918695079,Pasientreiser HF,127.0,1,88.0,39.0,False
1 vs 2,891680422,Gausta ski & resort AS,126.0,2,126.0,0.0,True
1 vs 2,819075832,Erik tanche nilssen AS,121.0,4,121.0,0.0,True
1 vs 2,946054224,Håkanes maskin a/s,120.0,1,120.0,0.0,True
1 vs 2,948310716,Emerson automation solutions AS,119.0,2,119.0,0.0,True
1 vs 2,993880787,Kragerø resort drift AS,118.0,1,118.0,0.0,True
1 vs 2,913936175,Höganäs borgestad AS,117.0,1,107.0,10.0,False
1 vs 2,991589767,Aasmundsens bakeri telemarksbakern efft. AS,112.0,9,107.0,5.0,False
1 vs 2,918506519,Gumpens auto grenland AS,111.0,2,111.0,0.0,True
1 vs 2,915617344,Seltor AS,110.0,1,110.0,0.0,True
1 vs 2,830036032,Grenland rail AS,110.0,1,95.0,15.0,False
1 vs 2,916242220,Bandak AS,107.0,1,107.0,0.0,True
1 vs 2,913289951,Systemblokk AS,105.0,1,105.0,0.0,True
1 vs 2,995203707,Sandvik transport AS,104.0,1,104.0,0.0,True
1 vs 2,933392414,Industri fokus AS,98.0,2,98.0,0.0,True
1 vs 2,982732638,Agility AS,94.0,1,94.0,0.0,True
1 vs 2,989086642,At skog sa,94.0,6,34.0,60.0,False
1 vs 2,976991273,Skien kirkelige fellesråd,94.0,2,94.0,0.0,True
1 vs 2,910402722,Alf johansen AS,92.0,1,6.0,86.0,False
1 vs 2,919767367,Sac drift AS,92.0,1,14.0,78.0,False
1 vs 2,963310439,Dnv imatis AS,92.0,1,92.0,0.0,True
1 vs 2,970946047,Telemark museum sti,88.0,1,88.0,0.0,True
1 vs 2,953069466,Kranringen AS,87.0,1,55.0,32.0,False
1 vs 2,898736032,Norner AS,86.0,1,86.0,0.0,True
1 vs 2,988982857,Kvitsund gymnas AS,86.0,1,86.0,0.0,True
1 vs 2,987259760,Hrl entreprenør AS,85.0,1,85.0,0.0,True
1 vs 2,993823317,Set linings international s. a.,85.0,1,85.0,0.0,True
1 vs 2,825886842,Idea kompetanse arbeid og inkludering AS,85.0,6,81.0,4.0,False
